ETC_20150317_000001	Kepa	케파
ETC_20151102_017386	การตั้งค่า Protective Barrier Crystal	보호 결계 수정 설치 중
ETC_20151102_017387	ได้ตั้งค่าThe Protective Barrier Crystal แล้ว	보호 결계 수정을 설치했습니다
ETC_20151102_017388	คุณได้ดื่ม น้ำศักดิ์สิทธิ์Namott แล้ว {nl} ปีศาจจะมองไม่เห็นตัวคุณชั่วคราว	나모트 성수를 마셨습니다{nl}당분간 마족들에게 보이지 않습니다!
ETC_20151102_017389	Namott Sculpture	나모트 문양
ETC_20151102_017390	[Wizard Submaster]{nl}Dejamis	[위저드 서브 마스터]{nl}데어미스
ETC_20151102_017391	[Pyromancer Submaster]{nl}Cathy Naimos	[파이로맨서 서브 마스터]{nl}캐시 나이머스 
ETC_20151102_017392	[Cryomancer Submaster]{nl}Octavia Iflynn	[크리오맨서 서브 마스터]{nl}옥타비아 이프린
ETC_20151102_017393	[Psychokino Master]{nl}Ili Terid	[사이코키노 마스터]{nl}일리 테리드
ETC_20151102_017394	[Linker Master]{nl}Winona Ende	[링커 마스터]{nl}위노나 엔데
ETC_20151102_017395	[Thaumaturge Submaster]{nl}Diemer Fallon	[쏘마터지 서브 마스터]{nl}디머 팔론
ETC_20151102_017396	[Elementalist Master]{nl}Wican Celestic	[엘리멘탈리스트 마스터]{nl}위칸 셀레스틱
ETC_20151102_017397	[Archer Submaster]{nl}Gunnison	[아처 서브 마스터]{nl}거니슨
ETC_20151102_017398	[Ranger Submaster]{nl}Sheba	[레인저 서브 마스터]{nl}쉬바
ETC_20151102_017399	[Quarrel Shooter Submaster]{nl}Shorris	[쿼렐슈터 서브 마스터]{nl}쇼리스
ETC_20151102_017400	[Sapper Submaster]{nl}Zubin Katal	[새퍼 서브 마스터]{nl}주빈 케타르
ETC_20151102_017401	[Hunter Submaster]{nl}Belkin Vellon	[헌터 서브 마스터]{nl}발킨 브론
ETC_20151102_017402	[Wugushi Master]{nl}Wor Pat	[무고사 마스터]{nl}워 팻
ETC_20151102_017403	[Scout Submaster]{nl}Suina	[스카우트 서브 마스터]{nl}쉬나
ETC_20151102_017404	เหยื่อการทดลอง (1)	실험 피해자(1)
ETC_20151102_017405	เหยื่อการทดลอง (2)	실험 피해자(2)
ETC_20151102_017406	XX Villager (1)	XX 마을 주민(1)
ETC_20151102_017407	XX Villager (2)	XX 마을 주민(2)
ETC_20151102_017408	XX Villager (3)	XX 마을 주민(3)
ETC_20151102_017409	XX Villager (4)	XX 마을 주민(4)
ETC_20151102_017410	XX Villager (5)	XX 마을 주민(5)
ETC_20151102_017411	XX Villager (6)	XX 마을 주민(6)
ETC_20151102_017412	Experiment Victim	실험피해자
ETC_20151102_017413	เครื่องมือทดลองของปีศาจ	마족의 실험 도구
ETC_20151102_017414	โซนที่ 5  Cursed Totem	5지역 저주 토템
ETC_20151102_017415	โซนที่ 2 Cursed Totem	2지역 저주 토템
ETC_20151102_017416	โซนที่ 3 Cursed Totem	3지역 저주 토템
ETC_20151102_017417	โซนที่ 4 Cursed Totem	4지역 저주 토템
ETC_20151102_017418	Cursed Totem Sculpture	저주 토템 조각
ETC_20151102_017419	Hidden Chamber Entrance	숨겨진 방 입구
ETC_20151102_017420	โซนที่ 4 Observation Totem	4지역 감시 토템
ETC_20151102_017421	โซนที่ 5 Observation Totem	5지역 감시 토템
ETC_20151102_017422	Hermit Spot	은거지
ETC_20151102_017423	Draznie's Fleet	드라즈니에의 함정
ETC_20151102_017424	Ward Cursed Totem ที่2	2구역 저주 토템
ETC_20151102_017425	Ward Cursed Totem ที่ 1	1구역 저주 토템
ETC_20151102_017426	บทความของ Pastorที่ขาดหายไป	행방불명된 사제의 물품
ETC_20151102_017427	Laswi	라쉬
ETC_20151102_017428	Hard Building Stone	단단한 석재
ETC_20151102_017429	Magic Supply Device	마력공급장치
ETC_20151102_017430	Hunter Testing Case	헌터 시험용 상자
ETC_20151102_017431	Castle Dungeon 67_1	캐슬던전 67_1
ETC_20151102_017432	Coastal Fortress	연안 요새
ETC_20151102_017433	Namott Altar	나모트 제단
ETC_20151102_017434	Namott Altar Post	나모트 제단 자리
ETC_20151102_017435	Redemption Ward	구속구
ETC_20151102_017436	Shiny Sapling	빛나는 묘목
ETC_20151102_017437	Bishop Urbonas' Memo	주교 우르보나스의 쪽지
ETC_20151102_017438	Extinguished Bonfire	꺼진 모닥불
ETC_20151102_017439	Abandoned Bag	주인없는 가방
ETC_20151102_017440	Burnt Memo	불타버린 쪽지
ETC_20151102_017441	Ominous Magic Circle	불길한 마법진
ETC_20151102_017442	Namott Barrier	나모트 결계
ETC_20151102_017443	ปกป้อง Namott Barrier จาก Pantos {nl} ไปยังตำแหน่งถัดไป!	판토들로부터 나모트 결계를 지켜냈습니다.{nl}다음 장소로 이동하세요!
ETC_20151224_017444	นี่ไม่ใช่มอนสเตอร์ที่แข็งแกร่ง แต่คุณอาจจะเสียนํ้าตาได้หากโจมตีมันโดยประมาท	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다.
ETC_20151224_017445	Poisoned Kepa	오염된 케파
ETC_20151224_017446	มันมีพิษเหมือน Chinency อย่างไรก็ตามยาพิษของมันมีผลร้ายแรงน้อยกว่า Chinency	다른 치넨시처럼 독성을 지니고 있습니다. 다만 이 독성은 하급의 치넨시들을 지배하는 효과도 있다고 합니다.
ETC_20151224_017447	เป็นรูปปีศาจที่ดวงวิญญาณสัมผัสกับความชั่วร้าย หลักที่แตกต่างกันคือมันได้รับความเสียหายที่จะผสมผสานวิญญาณของปีศาจไม่ได้ผสมเข้ากับจิตวิญญาณของมนุษย์เลยกลายเป็นความชั่วร้าย	마계와 접촉한 영혼이 악령으로 변한 형태입니다. 특기할 사항은 인간의 영혼이 사악하게 된 것이 아니라 마족의 영혼과 섞여 타락했다는 차이가 있습니다. 
ETC_20151224_017448	ยากที่จะมองข้ามของภารกิจเทพธิดา Austeja ได้ หลังจากนั้น มอนสเตอร์เหล่านี้ได้การปรากฏตัวเหนืออำนาจของเทพธิดา	아우스테야 여신께서 그 임무를 살피기 어려워지시면서 여신의 손길에서 벗어난 이러한 몬스터들이 나타나기 시작했습니다. 
ETC_20151224_017449	Dionia ได้รับการสะกดที่แข็งแกร่งโดย Demon Master Bramble ดังนั้นดูเหมือนว่าเดิมแปลงเป็นมอนสเตอร์จากพืช แต่บางทีสิ่งนี้ต้องเป็นของปีศาจอยู่แล้ว	디오니아는 마군주 브람블에 의해 강한 마력을 얻었습니다. 따라서 본래 식물이 변형된 몬스터이지만, 마족에 속한다고도 볼 수 있습니다.
ETC_20151224_017450	Dioniaรู้ว่าความฉลาดของเขาคือจุดอ่อน แต่เขามักจะแสดงต่อสปอร์ของเขาเท่านั้น เป็นสถานการณ์แปลก ๆ เมื่อพิจารณาถึงชนิดของพืช	디오니아는 지능이나 자의식이 약하다고 알려졌지만, 이상하게 자신의 포자에 대해서는 애정을 보인다고 합니다. 식물형치고는 꽤 괴상한 일입니다.
ETC_20151224_017451	Golem ในโลกที่สร้างขึ้นมาเพื่อวัตถุประสงค์ที่ดี แต่ตอนนี้ พวกเขาได้ถูกใช้งานจากจิตวิญญาณชั่วร้าย	세계에 존재하는 대부분의 골렘은 본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이게 되었습니다.
ETC_20151224_017452	Ellaganos ถูกสร้างขึ้นด้วยพลังและรูปแบบที่แข็งแกร่ง หลังจากสิ่งอมตะเฉพาะผสมเข้ากับความตายและหินที่ใช้ในหลุมฝังศพเป็นเวลาหลายปี	엘라가노스는 무덤에 쓰인 석재와 죽은 자가 결합한 특이한 형태의 언데드가 오랜 세월을 지낸 후에 더 강력한 힘과 형태를 갖추어 생깁니다. 
ETC_20151224_017453	มีความคิดเห็นที่มีที่เป็นที่รู้จักโดยใครบางคนว่าสัตว์ประหลาดตัวนี้ยากที่จะกินและปกป้อง	누군가 이 종에 속하는 몬스터를 품평한 말이 유명합니다, 막기도 먹기도 어려운 몬스터.
ETC_20151224_017454	Mirtis ถือว่าเป็นDemon Lordที่ระดับต่ำสุดถ้าเทียบกับตัวอื่นๆ เหตุผลที่อาจเป็นเพราะเธอล้มเหลวหลายภารกิจที่ได้รับให้เธอจาก Giltine ในภารกิจครั้งสุดท้ายของเธอเธอถูกปิดผนึกโดยมนุษย์ เนื่องจาก Medzio Diena เธอจึงมีโอกาสได้แก้มือในภารกิจที่เธอล้มเหลวอีกครั้ง	미르티스는 마군주 가운데 지위가 낮은 편에 속하고, 여러 번 길티네가 맡긴 임무를 그르쳤으며, 결국에는 마지막 임무에 실패하여 인간에게 역으로 봉인까지 당했습니다. 신수의 날이 닥친 덕분에 자유를 찾자 실패한 임무를 만회하려 노력하고 있습니다.
ETC_20151224_017455	มีบาง Demon Lords ที่สร้างโคลนนิ่งของตนเองหรือแยกอำนาจของตนเอง นี่เป็นหนึ่งในกรณีดังกล่าว นอกจากนี้ข้อดีของนักเวทมนตร์จะได้รับประโยชน์โดยการใช้เวทมนตร์ที่คล้ายกันซึ่งปีศาจใช้กัน	마군주의 일부는 자신의 분신체를 만들거나 권능을 나누어 다른 사역을 하도록 하는 일이 있습니다. 이 경우도 그런 사례입니다. 부언하자면 소서러는 이런 마족의 특성을 이용하는 마법을 통해 이득을 보기도 합니다.  
ETC_20151224_017456	Molich ประสบความสำเร็จเป็นอย่างมากรับใช้Demon Lord มาหลายปีแล้วและเขาได้มีโอกาสที่จะยกระดับของตนไม่นานมานี้ นักวิชาการที่รู้ประวัติความเป็นมาของปีศาจว่าจะเกิดอะไรขึ้นเมื่อ Molich ยกระดับเหนือเหล่าDemon Lord ระดับตํ่า เช่น Bramble และ Mirtis	몰렉은 수백년간 여러 마군주를 섬기며 많은 공적을 세웠으며, 장차 더 높은 지위에 오를 가능성이 높습니다. 마족의 역사에 밝은 학자들은 만약 그런 일이 생긴다면 브람블이나 미르티스 같은  낮은 지위의 마군주를 넘어서지도 모른다고 예상하고 있습니다. 
ETC_20151224_017457	Yellow Old Kepa	노란 늙은케파
ETC_20151224_017458	ใบของพืชชนิดนี้แข็งแรงกว่าหนัง โดยเฉพาะอย่างยิ่งเช่นใบเก่ามีความแข็งแรงมากๆ	이 식물의 잎은 가죽보다 강합니다. 특히 이렇게 오래 묵은 것이면 더합니다.
ETC_20151224_017459	Raffly ล่าแมลงตัวเล็ก ๆ แม้หลังจากที่Rafflyเปลี่ยนร่างแล้ว	라플리는 변이된 후에도 작은 곤충을 사냥합니다.
ETC_20151224_017460	ไม่มีทางล้มแม้กระทั่งจะโจมตีที่ขา  แต่ไม่มีทางอื่นแล้ว	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다.
ETC_20151224_017461	ผีที่เกิดจากปีศาจอาจเพิ่มอันดับขึ้นโดยได้รับพลังที่แข็งแกร่งขึ้นหากมีระยะเวลานานกว่า 100 ปี	마족의 영향을 받은 망령이 백 년 이상의 세월을 견뎌내면 더 큰 힘을 부여받고 지위가 상승되기도 합니다.
ETC_20151224_017462	ผีที่เกิดจากปีศาจมีหลายรูปแบบแบ่งได้จากลักษณะและสีต่างๆ	마족의 영향을 받은 유령은 다양한 형태의 외모와 색상을 지니고 나타납니다. 
ETC_20151224_017463	Woodspirit แต่ละชิ้นมีบุคลิกที่หลากหลาย ไม่เหมือนจากสีเค้าร่างมีหลายอย่างเช่นเล่นเดี่ยวและเป็นเพื่อนกับปีศาจ แต่ไม่มี Woodspirit ที่มีลักษณะคล้ายกับมนุษย์	우드스피릿은 개체마다 성격이 천차만별입니다. 이는 겉모습이나 빛깔에 관계없으며, 독자성향부터 마족의 하수인까지 다양합니다. 다만 인간에게 우호적인 개체는 없다고 알려졌습니다.
ETC_20151224_017464	โชคดีที่ Woodsman ไม่ใช่มอนสเตอร์ที่เปิดใช้งานอยู่	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다.
ETC_20151224_017465	Bramble ไม่ได้ฉลาดที่สุดในบรรดา Demon Lords อื่น ๆ อย่างไรก็ตามGestiชอบบุคลิกภาพของเขาและได้ให้เขามีพลังอำนาจจำนวนมาก ตามเรื่องราว Bramble ได้พยายามขโมยของที่ระลึกของเทพธิดาเทพธิดาที่ Demon Lords ทำล้มเหลว	브람블은 마군주 가운데 가장 총명하지 못합니다. 그렇지만 제스티는 우직한 성격을 높이 사서 많은 힘을 부여했습니다. 일설에 따르면 브람블은 다른 마군주들이 대부분 실패한 여신의 유물을 거의 탈취한 적도 있다고 합니다. 
ETC_20151224_017466	ตามเรื่องราวWillowซึ่งเป็นโรคเฉพาะที่ Medzio Diena ได้เปลี่ยนไปเป็นแบบนี้จากพืช	일설에 따르면 특이한 질병에 걸린 상태에서 신수의 날을 맞이한 버드나무가 이 형태의 식물 몬스터가 된다고 합니다.
ETC_20151224_017467	สิ่งที่แตกต่างระหว่าง Golem ปกติคือการปฏิบัติตามกฎปกติ แม้แต่คนในยุคนี้ยังไม่เข้าใจ	평범한 골렘과 다른 점은 이들이 일정한 법칙을 따른다는 점입니다. 비록 지금 시대의 인간들이 그 법칙을 파악하지 못해도 말입니다.
ETC_20151224_017468	ตั้งแต่ Medzio Dienaเกิดขึ้น สัตว์ประหลาดมากมายหลายชนิดได้ปรากฏตัว แต่ก็ไม่แน่ใจว่า Golemนั้นเกิดจากเวทมนตร์หรือเปลี่ยนแปลงของสิ่งมีชีวิต	신수의 날 이후에 세상에 매우 많은 변종 몬스터가 출현했으므로, 이것이 마법 등으로 만들어진 골렘의 일종인지 생물체가 변형을 일으킨 것인지 불확실합니다. 
ETC_20151224_017469	เมื่อ cacti กลายพันธุ์ Tontus การใช้ชีวิตของผู้อยู่อาศัยในสิ่งแวดล้อมของทะเลทรายนั้นแย่ลง	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다.
ETC_20151224_017470	บางส่วนของมอนสเตอร์มีอำนาจมาก โดยการเปลี่ยนรูปแบบที่ Medzio Diena พยายามที่จะให้ความร่วมมือกับ Demon หรือได้รับการว่าจ้างจากปีศาจโดยMedzio Diena	신수의 날에 변형을 일으켜 강력한 힘을 지니게 된 몬스터들 가운데 일부는 이 녀석처럼 마족과 협력관계를 맺거나 그 수하로 들어가기도 했습니다.
ETC_20151224_017471	มอนสเตอร์ตัวนี้ไม่ได้เป็นศัตรูแค่มนุษย์ แต่มันจะโจมตีสัตว์ทุกตัวที่มีเลือดอุ่นๆไหลเวียนอยู่ในร่าง	이 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.
ETC_20151224_017472	ไม่เหมือนกับคุณลักษณะนี้ มอนสเตอร์จะปรากฏเฉพาะภายใต้สภาวะที่ซับซ้อนและในกรณีพิเศษเท่านั้น	보기와 달리 이 몬스터는 복잡한 조건과 특정한 환경에서만 발생합니다. 
ETC_20151224_017473	เป็นมอนสเตอร์ที่เกิดจากการผูก aninal กับ minenal ในช่วงไม่กี่ปีที่ผ่านมามีการค้นพบรูปแบบต่างๆเกิดขึ้น	동물과 광물이 결합한 몬스터이며 최근에 이 몬스터의 다양한 변형이 발견되고 있습니다.
ETC_20151224_017474	สิ่งที่น่ากลัวกว่าของDandel's softก็คือ เส้นผมเคราตินที่แข็งและมีชีวิตชีวา	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다.
ETC_20151224_017475	ไม่มีความหมายของคำถามว่าเทียนจะเปลี่ยนมอนสเตอร์หรือมอนสเตอร์เพื่อเปลี่ยนเทียน ตั้งแต่Medzio Diena สัตว์ประหลาดจำนวนมากจได้เปลี่ยนเป้าหมายเพื่อฆ่าไม่แช่แค่สงสัยอีกต่อไป	양초가 야수로 변한 것이냐 야수가 양초와 결합한 것이냐는 질문은 의미가 없습니다. 신수의 날 이후 나타난 수많은 변형 몬스터는 호기심이 아니라 퇴치의 대상입니다.
ETC_20151224_017476	นี่ไม่ใช่ผลที่ได้จากการที่ดอกไม้บานจากศพ มันเป็นเรื่องน่าอายเล็กน้อยที่จะบอกว่ามันบานจาก 'ผลไม้'	엄밀히 말하면 시체에서 피어난 꽃이 아니라 결과물입니다. 그렇다고 열매라고 하기에도 어색하기는 합니다.
ETC_20151224_017477	ไม่เลวที่ว่ามอนสเตอร์ที่เสียรูปจำนวนมากขนาดนี้ โดยพิจารณาจากมอสที่อาศัยอยู่ในภูมิภาคกลางต่างๆ	이끼가 여러 기후대와 지역에 걸쳐 서식한다는 점을 생각하면 몬스터로 변이된 종류가 이 정도라는 것은 다행입니다.
ETC_20151224_017478	หมดหวังที่มันจะปรากฏตัวของมันสิ่งมีชีวิตนี้ ล่องหนจากข้างใน	잎방개의 속은 비어있지 않습니다.
ETC_20151224_017479	นักเวทย์ได้เปลี่ยนมนุษย์เหล่านี้ซึ่งเป็นพ่อมดหลังจากได้แสดงความสนใจในอาณาจักรปีศาจ	마계에서는 받지 못하던 관심을 인간 마법사인 소서러들에게서 받고 있습니다.
ETC_20151224_017480	ปีศาจที่อ่อนแอจะถูกเรียกโดยผู้บังคับบัญชาปีศาจเพื่อบุกเข้าสู่หอคอย	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다.
ETC_20151224_017481	มันถูกสร้างขึ้นเพื่อปกป้องมนุษย์โดย Dievdirbys Master แต่มันกลายเป็นมอนสเตอร์ที่เป็นอันตรายโดยการเปลี่ยนคุณสมบัติ	딥디르비 명인이 인간을 지키도록 제작하였으나 그 성질이 나쁘게 변하여 해로운 몬스터가 되었습니다.
ETC_20151224_017482	สถานะเดิมที่เทพธิดาได้ทิ้งไว้ที่นี่นั้นจะดูดซึมปีศาจ	여신의 신성이 떠난 지 오래 된 신상에 마족이 스며들어 생깁니다.
ETC_20151224_017483	จำนวนของ Bagworms ไม่ได้เพิ่มขึ้น แต่จำนวประชากรในปัจจุบันก็ไม่ต้องกังวลกับการสูญพันธุ์	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다.
ETC_20151224_017484	มอนสเตอร์ชนิดนี้จะไม่ถูกค้นพบอีกต่อไป แต่จำนวนของมอนสเตอร์เหล่านี้ที่ยังมีชีวิตอยู่ดูเหมือนจะบ่งชี้ว่าไม่ต้องกังวลกับการสูญพันธุ์	이 몬스터의 종류는 더 이상 발생하지 않습니다. 그러나 이미 발생한 개체수만으로도 멸종을 염려할 필요가 없을 정도로 많습니다.
ETC_20151224_017485	มันเคยเป็นเบ็ดที่ใช้ในการตกมอนสเตอร์ขนาดใหญ่ที่จะมาจากอาณาจักรปีศาจและได้ผ่านการเปลี่ยนแปลงมานักต่อนัก	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다.
ETC_20151224_017486	แม้ว่าจะมีกิจกรรมการเข้าสู่ระบบน้อย  มอนสเตอร์ที่เกิดจากตอไม้ก็ยังคงแสดงตัวขึ้น มันปรากฏว่าเกิดขึ้นจากสิ่งตกค้างของมอนสเตอร์ประเภทพืช	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다.
ETC_20151224_017487	สายตาไม่เลวนี้ไม่เหมือนกับชื่อของมัน	이름에서 연상되는 것과 달리 시력이 나쁘지 않습니다. 
ETC_20151224_017488	หมวดย่อยของ Hanaming ค้นพบล่าสุดและปัจจุบันยังอยู่ระหว่างการวิจัย	하나밍의 아종으로 최근에 발견되어 아직 연구가 진행중입니다. 
ETC_20151224_017489	ปีศาจลอร์ด Mirtis กล่าวว่าชายคนนั้นคือคนรับใช้ของเขา บางคนบอกว่ามันเป็นโคลนของเธอ ...	마군주 미르티스가 정찰을 위해 내보내는 부하라고 합니다. 일각에서는 분신으로 보는 사람도 있습니다. 
ETC_20151224_017490	The Quarrel Shooterใช้มันบางเวลา	쿼렐슈터가 사용하기도 합니다.
ETC_20151224_017491	ดูเหมือนว่าชื่อนี้มีลักษณะเฉพาะ แต่ผลคล้ายกับระเบิดอีกลูกนึง	명칭은 그럴 듯하지만 특별히 다른 폭탄과 다르지 않습니다.
ETC_20151224_017492	Bomb Score	폭탄점수
ETC_20151224_017493	แต่ก็มีความหมายเช่นเดียวกับชื่อ ไม่มีอะไรพิเศษ	명칭 그대로의 의미입니다. 특기할 사항은 없습니다.
ETC_20151224_017494	พวกเขาเป็น Vubbes แน่นอน แต่พวกเขาใช้ชีวิตอีกแบบ	이들은 분명 부베이긴 하지만 본레 종족과는 무관한 삶을 삽니다.
ETC_20151224_017495	ยากที่จะระบุได้ว่าบทบาทการทำเหมืองแร่ของพวกเขามีความถาวร เนื่องจากไม่ค่อยรู้จักระบบสังคมของ Vubbe เลย	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다.
ETC_20151224_017496	ตอนแรกพวกเขาสร้างขึ้นโดยบังเอิญโดยการใช้เวทมนตร์ผิด แต่หลังจากที่พ่อมดและปีศาจที่เป็นอันตรายได้เริ่มสร้างมันโดยเจตนา	처음에는 마법제조의 실수나 부작용으로만 창조되었으나 이후 일부 악의적인 마법사나 마족이 고의적으로 탄생시키기도 했습니다.
ETC_20151224_017497	มอนสเตอร์เป็นของกลุ่มของ Infro Rocktor	인프로락터의 아종에 속하는 몬스터입니다.
ETC_20151224_017498	การวิจัยเพื่อหาว่าทำไมบาง Kepas เปลี่ยนไปเช่นนี้กำลังคืบหน้าไป แม้การวิจัยเพื่อดูว่าถ้ามันนั้นกินได้ แต่ก็ยังไม่มีอะไรแน่นอน	왜 어떤 케파들이 이렇게 변형이 되는지 연구가 행해지고 있습니다. 게중에는 먹을 수 있도록 하는 연구도 포함되지만, 성과는 기대하기 어렵습니다. 
ETC_20151224_017499	Poata พยายามที่จะหาโอกาสที่จะแสดงให้ปีศาจได้เห็รเพื่อที่จะได้รับพลังมากขึ้นจากมอนสเตอร์ที่มีต้นกำเนิดจากพืช	포아타는 식물에서 기원한 몬스터로 더 강한 힘을 얻기 위해 마족에게 잘 보일 기회를 찾고 있습니다.
ETC_20151224_017500	มอนสเตอร์ที่กลับมาจากความตายได้นั้น ถ้าจะพูดให้ถูกต้องก็คือมอนสเตอร์ที่ฟื้นคืนชีพขึ้นมากลายเป็นปีศาจหลังจากที่มันตาย	죽음에서 되돌아온 몬스터라고 하지만, 정확하게 말하면 죽음을 거쳐 다시 마족으로 태어난 몬스터입니다. 
ETC_20151224_017501	มอนสเตอร์ที่มีอยู่ก่อน Medzio Diena เคยมีความชื่นชอบต่อมนุษย์ในอดีต แต่ความรู้สึกนี้จางหายไปตามกาลเวลาจนมาถึงยุคปัจจุบัน	신수의 날 이전에도 존재하던 몬스터로 예전에는 비록 소수라도 사람과 친한 개체도 있었으나 지금은 전혀 그렇지 않습니다.
ETC_20151224_017502	โดยทั่วไปมันเกิดในภูมิภาคเย็นหลังจาก Medzio Diena จะทำงานอย่างรอบๆ เพราะมีอยู่ในหลายพื้นที่	본시 추운 지방에서 태어났으며 신수의 날 이후에 여러 곳에서 목격된 것으로 보아 활발하게 돌아다니는 것 같습니다.
ETC_20151224_017503	Ginklasในปัจจุบันถูกจับได้โดยความบ้าคลั่งดังนั้นจึงไม่มีโอกาสที่จะแสดงให้เห็นเจตนารมเดิมของเขา	현재의 긴클라스는 광기에 물들어 있으며 따라서 본시 있던 이성이 드러날 가능성은 없습니다.
ETC_20151224_017504	ยังไม่เป็นที่แน่ชัดว่าทำไมStone Whaleจึงมีรูปแบบของปลาวาฬแม้ว่าจะมีการกลายพันธุ์จากที่เคยตัวเล็กกว่านี้	광물에서 변이된 몬스터인 석화고래가 별 연관이 없는 고래의 형태를 띤 이유는 밝혀지지 않았습니다. 
ETC_20151224_017505	ตั้งแต่ Medzio Diena สัตว์ครึ่งบกครึ่งน้ำได้กลายเป็นรูปแบบต่างๆ ดังนั้น Tutu จึงดูเหมือนกับรูปแบบเดิมจอย่างที่เคยเป็นมา แน่นอนมันเป็นดุร้าย	신수의 날 이후 양서류들은 매우 여러 형태로 변형되었기 때문에 투투는 상대적으로 본래 원형에 가깝습니다. 물론 그렇다고 흉폭하지 않은 것은 아닙니다.
ETC_20151224_017506	ความแตกต่างระหว่าง Zolem กับ Golem คือการเคลื่อนไหวด้วยจิตวิญญาณไม่ใช่เวทมนตร์	졸렘이 일반 골렘과 다른 차이점은 마법이 아닌 다른 기운에 의해 움직인다는 점입니다.
ETC_20151224_017507	ภูติและวิญญาณหลายดวงเลือกที่จะเข้าข้างปีศาจและไม่เพียงฝั่งมนุษย์หรือฝั่งเทพธิดาก็เช่นกัน ส่วนที่เหลือถูกซ่อนไว้และดักรอ และGenieเองก็เป็นหนึ่งในนั้น	많은 요정과 정령들이 인간과 여신이 아닌 마족의 편에 섰으며, 그렇지 않은 소수는 숨어서 관망중입니다. 지니 역시 이러한 흐름에서 벗어나지 않습니다. 
ETC_20151224_017508	มอนสเตอร์แมลงที่กลายพันธุ์ที่ Medzio Diena บางตัวมี เอกลักษณ์ราชินีและเอกลักษณ์ของอาจารย์	신수의 날에 변형된 곤충형 몬스터는 대부분 여왕이나 군주에 해당하는 개체가 존재합니다. 
ETC_20151224_017509	ข้อได้เปรียบที่สามารถพบได้คือมอนสเตอร์ที่ทรงพลังหลายคนไม่สามารถย้ายไปอยู่ที่อื่นได้	강력한 식물 몬스터들에게서 찾을 수 있는 장점은 대개 그들이 움직이지 못하는 고정형이라는 사실 정도입니다.
ETC_20151224_017510	ป่ากลายเป็นที่น่ากลัวหลังจาก Medzio Diena ส่วนใหญ่เกิดจากมอนสเตอร์ขนาดใหญ่ที่ยากจะเอาชนะได้	신수의 날 이후 숲은 인간에게 공포가 되었습니다. 바로 이러한 감당하기 어려운 대형 몬스터들의 영향이 큽니다.
ETC_20151224_017511	ในอดีต สัตว์ตัวนี้ค่อนข้างเป็นมิตรกับมนุษย์ แต่ตอนนี้มันอันตรายกว่าปีศาจเสียอีก	이들은 한때는 인간에게 친숙한 동물이었지만, 지금은 곰보다 위험한 생물이며, 마족만큼 사악합니다.
ETC_20151224_017512	ด้วยเหตุผลที่ไม่อาจทราบได้นั้น มันกลายพันธุ์หลังจาก Medzio Diena และแสดงให้เห็นว่าเป็นศัตรูอย่างมาก	이유는 알 수 없지만, 신수의 날로 변형된 이후 여신들에게 강한 적대감을 드러냅니다. 
ETC_20151224_017513	มันไม่สำคัญกับมนุษย์ แต่พวกเขาไม่ชอบแมลงชนิดอื่นโดยเฉพาะอย่างยิ่งมอนสเตอร์ประเภทผึ้ง	어차피 인간에게는 무관한 일이지만, 자신 외에 다른 곤충형을 좋아하지 않으며 특히 벌종류의 몬스터들을 싫어합니다. 
ETC_20151224_017514	มันเป็นเรื่องคลุมเครือเล็กๆน้อยๆของประเภทของสิ่งชีวิตที่กลายเป็นแหล่งของ Gaigalas  มันยังเป็นที่สงสัยว่ามันยังมีอยู่อยู่ในโลกของเรา	가이갈라스의 기원이 되는 생물이 무엇인지 모호합니다. 심지어 본래 우리 세상에 속하던 생물인지도 의심스럽습니다.
ETC_20151224_017515	แมลงชนิดที่มีพลังอำนาที่กลายเป็นคนฆ่าหรือพยายามที่จะกลายเป็นผู้มีอิทธิพล ในช่วงหลังกลายเป็นอันตรายอย่างยิ่งตั้งแต่พวกมันร่วมมือกับปีศาจและ Throneweaver อยู่ในประเภทนี้	강한 힘을 지닌 곤충형은 본능에 충실한 살육자가 되거나 영향력을 얻으려 합니다. 후자가 특히 위험한 이유는 대개 마족과 손을 잡기 때문이며 쓰론위버가 이 경우에 해당합니다. 
