SKILL_20150317_000001	Attack	공격
SKILL_20161005_006700	ATK: #{SkillAtkAdd}#{nl}ค่าความเสียหายพิเศษ: #{CaptionRatio}#%	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}
SKILL_20161005_006701	{#DD5500}{ol}[มิสไซส์]{/}{/}{nl}ยิงลูกธนูขึ้นไปในอากาศหลายครั้งสร้างพายุลูกธนู ศัตรูในระยะได้รับความเสียหายทุกครั้งที่ถูกลูกธนูที่ตกลงมา	{#DD5500}{ol}[미사일]{/}{/}{nl}여러발의 화살을 공중을 향해 쏴서 지정된 범위에 잠시 동안 화살들이 비처럼 쏟아지게 합니다. 범위 내의 적들은 떨어지는 화살에 맞을때 마다 피해를 받습니다.
SKILL_20161005_006702	โจมตี #{SkillAtkAdd}#{nl}โจมตีพิเศษ #{CaptionRatio}#%{nl}ระยะเวลา Arrow Rain เป็นเวลา 3 วินาที	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}화살비 유지시간 3초
SKILL_20161005_006703	Jump Shot	도약 사격
SKILL_20161005_006704	{#DD5500}{ol}[มิสไซส์]{/}{/}{nl}กระโดดสูงขึ้นในอากาศและยิงลูกธนูไปข้างหน้า ศัตรูที่อยู่ในเส้นทางได้รับความเสียหาย และความเร็วเคลื่อนที่ลดลงในอัตราหนึ่ง	{#DD5500}{ol}[미사일]{/}{/}{nl}높이 점프하여 전방 범위에 화살을 발사합니다. 일직선상에 있던 적들은 피해를 받고 확률적으로 이동속도가 감소합니다.
SKILL_20161005_006705	โจมตี #{SkillAtkAdd}#{nl}โจมตีพิเศษ #{CaptionRatio}#%{nl}อัตรา AoE #{SkillSR}#{nl}ลดความเร็วเคลื่อนที่ของศัตรูในอัตรา #{CaptionRatio2}#%	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}광역 공격 비율 #{SkillSR}#{nl}적 이동속도 감소 확률 #{CaptionRatio2}#%
SKILL_20161005_006706	Parthian Shaft	파르티안 샤프트
SKILL_20161005_006707	{#DD5500}{ol}[มิสไซส์]{/}{/}{nl}เข้าโจมตีด้านหน้าแต่โจมตีในทิศทางตรงกันข้าม ใช้ได้ขณะขี่สหาย	{#DD5500}{ol}[미사일]{/}{/}{nl}앞으로 전진하면서 후방을 향해 활 공격을 합니다. 이동 중일 때만 사용 가능합니다.
SKILL_20161005_006708	ร่ายวงเวทย์ลงด้านหน้า เป้าหมายของสกิลจะได้รับความเสียหายแทนผู้ร่าย แต่จะได้รับการฟื้น HP, SPและ STA เพิ่มขึ้นแทน	수호성인 마법진을 생성합니다. 마법진의 효과를 받은 대상은 시전자의 피해를 대신 받게 되며, 효과가 유지되는 동안 회복력과 스태미너 회복력이 증가합니다.
SKILL_20161005_006709	Savior	세이비어
SKILL_20161005_006710	Lycanthropy	라이칸스로피
SKILL_20161005_006711	แปลงร่างเป็นหมาป่าระยะเวลาหนึ่ง และใช้ SP อย่างต่อเนื่องในสถานะแปลงร่าง	일시적으로 늑대로 변신합니다. 변신 상태에서는 지속적으로 SP를 소모합니다.
SKILL_20161005_006712	ใช้สกิลหมาป่าได้{nl}โจมตีพิเศษ #{SkillAtkAdd}#{nl}ระยะเวลาสูงสุด #{CaptionTime}# นาที{nl}ใช้ SP ในอัตรา 2% ต่อนาที	늑대 스킬을 사용할 수 있음{nl}추가 공격력 #{SkillAtkAdd}#{nl}최대 지속시간 #{CaptionTime}#분{nl}1초당 SP 소모량 2%
SKILL_20161005_006713	อัญเชิญ Henge Stone รอบเวทย์ของสายอาชีพ Cleric, เลเวลสกิลของการติดตั้งสูงขึ้น 1 เลเวลในระยะหิน ค่าความสามารถของสถานะแปลงร่างเพิ่มขึ้น	헨지 스톤을 소환합니다. 헨지 스톤 범위 안에서는 성직자 클래스의 마법진과 설치물의 스킬 레벨이 한 단계 높아지고, 변신 상태의 능력치가 증가합니다.
SKILL_20161005_006714	ตั้งร้านค้าทำให้สามารถเปลี่ยนเพศตัวละครได้	캐릭터의 성별을 바꿀 수 있도록 상점을 개설합니다. 아이템 
SKILL_20161005_006715	เปลี่ยนเพศได้ตามไอเทมที่ครอบครอง	을 소지한 만큼 성별 변경이 가능합니다.
SKILL_20161005_006716	Foretell	포어텔
SKILL_20161005_006717	เรียกกรอบเวทย์ที่เคลื่อนที่ข้างหน้า สถานะอมตะบนรอบเวทย์ในอัตราหนึ่ง	바로 앞에 움직이는 마법진을 소환합니다. 마법진 위에서는 일정 확률로 무적 상태가 됩니다.
SKILL_20161005_006718	ความเร็วเคลื่อนที่รอบเวทย์ #{CaptionRatio}#{nl}โอกาสการโจมตีไม่มีผล #{CaptionRatio2}#%{nl}ระยะเวลา #{CaptionTime}# วินาที	마법진 이동속도 #{CaptionRatio}#{nl}공격 무효화 확률 #{CaptionRatio2}#%{nl}지속시간 #{CaptionTime}#초
SKILL_20161005_006719	Twist of Fate	트위스트 오브 페이트
SKILL_20161005_006720	HP ของศัตรูฟื้นขึ้นอย่างต่อเนื่องแทนความเสียหายหลังได้รับการโจมตีโดยมีฐานเป็น HP สูงสุดของศัตรูที่กำหนด HP ที่ฟื้นเท่ากับจำนวนค่าความเสียหายที่ได้รับ ใช้สกิลกับบอสมอนสเตอร์ในสนามรบไม่ได้	지정한 적의 최대 HP에 기반하여 고정적인 피해를 주는 대신, 공격 받은 후 적의 HP가 지속적으로 회복됩니다. 회복되는 HP의 총량은 피해 입은 대미지 수치입니다. 필드 보스 몬스터에게는 스킬이 적용되지 않습니다.
SKILL_20161005_006721	ลด #{CaptionRatio}#% - #{CaptionRatio2}#% ของ HP สูงสุด {nl}ระยะเวลา: #{CaptionTime}# วินาที	최대 HP의 #{CaptionRatio}#% ~ #{CaptionRatio2}#% 피해{nl}지속시간 #{CaptionTime}#초
SKILL_20161005_006722	ติดตั้งรอบเวทย์ที่มีความสามารถในการฮีลสูงระยะเวลาหนึ่ง ตนเองหรือเพื่อนร่วมทีมที่เหยียบรอบเวทย์นี้จะฟื้น HP ได้อย่างรวดเร็วแม้ได้รับความเสียหาย	일시적으로 초재생능력을 부여하는 마법진을 설치합니다. 이 마법진을 밟은 자신 혹은 동료는 피해를 입어도 마법진을 밟았던 시점의 체력까지 빠르게 회복할 수 있습니다. 
SKILL_20161005_006723	Black Death Steam	흑사병 증기
SKILL_20161005_006724	{#993399}{ol}[เวทย์] - [พิษ]{/}{/}{nl}กระจาย Black Death Steam ไปรอบๆและสรางความเสียหายอย่างต่อเนื่อง ศัตรูที่ติดเอฟเฟกต์ติดพิษในอัตราหนึ่ง ถ้าใช้ Incinerate กับศัตรู จะสร้างความเสียหายเพิ่มเติม	{#993399}{ol}[마법] - [독]{/}{/}{nl}전방에 흑사병 증기를 살포해 지속적으로 피해를 입힙니다. 효과에 걸린 적은 주변으로 확률적으로 독을 전염시킵니다. 이 증기에 쐬인 적에게 소각을 사용하면 추가 대미지를 줍니다.
SKILL_20161005_006725	Disenchant	디센챈트
SKILL_20161005_006726	ถอนเอฟเฟกตืที่มีประโยชน์ของศัตรูออก	일정 확률로 적의 이로운 효과를 제거해버립니다.
SKILL_20161005_006727	อัตราถอนบัฟ #{CaptionRatio}#%{nl}จำนวนเป้าหมายสูงสุด #{CaptionRatio2}#	버프 제거 확률 #{CaptionRatio}#%{nl}최대 #{CaptionRatio2}#명 적용
SKILL_20161005_006728	อัตราคอมโบแก่ศัตรูที่กำหนดที่มีตัวเลขประเมินเป็นฐานแสดงผล ศัตรูที่รับการโจมตีในสถานะนี้จะได้รับความเสียหายอย่างต่อเนื่องเท่าจำนวนอัตราคอมโบ	지정된 적에게 수비술로 산출된 숫자를 기반으로 연타 챤스가 발동됩니다. 그 상태에서 공격받은 적은 연타 챤스의 수만큼 연타 피해 받습니다.
SKILL_20161005_006729	จำนวนการโมจีซ้ำเท่ากับจำนวนคอมโบ{nl}การโจมตีแต่ละคอมโบ #{CaptionRatio}#%	연타 챤스의 숫자 만큼 타격횟수 적용{nl}연타당 공격력 #{CaptionRatio}#%
SKILL_20161005_006730	Clone	복제
SKILL_20161005_006731	โคลนมอนสเตอร์ดังกล่าวโดยมีตัวเลขที่คิดจากสูตรเป็นฐานจากมอนสเตอร์ที่กำหนด มอนสเตอร์ที่โคลนจะไม่ได้รับ EXP แต่ได้รับไอเทม มอนสเตอร์เดิมและมอนสเตอร์โคลนสรางโคลนเพิ่มอีกไม่ได้	지정된 몬스터에게 수비술로 산출한 숫자를 기반으로 해당 몬스터를 복제합니다. 복제 몬스터는 처치해도 경험치는 얻을 수 없지만, 아이템은 얻을 수 있습니다. 또한 원래 몬스터와 복제된 몬스터는 더 이상 복제가 적용되지 않습니다.
SKILL_20161005_006732	ระยะเวลาโคลนมอนสเตอร์ [ผลที่คิด] + #{CaptionTime}# วินาที	복제 된 몬스터 지속시간 [산출된 수] + #{CaptionTime}#초
SKILL_20161005_006733	Heretic's Fork	이단자 포크
SKILL_20161005_006734	Iron Boots	아이언 부츠
SKILL_20161005_006735	{#DD5500}{ol}[กายภาพ] - [ตี]{/}{/}{nl}ติดตั้ง Pear of Anguish สรางความเสียหายแก่ศัตรูที่เข้าใกล้ ถ้ามีศัตรูที่โจมตีเวทย์บริเวณ Pear of Anguish จะบินออกโดยอัตโนมัติและสร้างความเสียหายรุนแรงกว่า	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}지면에 절망의 배를 설치하여 가까이 다가온 적에게 피해를 입힙니다. 절망의 배 근처에서 마법 공격을 하는 적이 있으면 자동으로 날아가서 보다 큰 피해를 입힙니다.
SKILL_20161005_006736	โจมตี #{SkillAtkAdd}#{nl}โจมตีพิเศษ #{CaptionRatio}#%{nl}จำนวนการติดตั้งที่อนุญาต #{CaptionRatio2}#	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}설치 가능 수 #{CaptionRatio2}#
SKILL_20161005_006737	Lead Sprayer	납 뿌리개
SKILL_20161005_006738	{#DD5500}{ol}[กายภาพ] - [ฟัน]{/}{/}{nl}	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}바퀴를 소환하여 주변의 적들에게 피해를 줍니다. 바퀴 근처에서 마법 공격을 하는 적은 바퀴의 공격 범위를 벗어나도 피해를 입습니다.
SKILL_20161005_006739	โจมตี #{SkillAtkAdd}#{nl}ระยะเวลา #{CaptionTime}# วินาที{nl}ต้องใช้ Wheel of Judgement จำนวน 1 อัน	공격력 #{SkillAtkAdd}#{nl}지속시간 #{CaptionTime}#초{nl}심판의 바퀴 1개 필요
SKILL_20161005_006740	God Smash	갓 스매쉬
SKILL_20161005_006741	{#DD5500}{ol}[กายภาพ] - [ตี]{/}{/}{nl}ยกอาวุธขึ้นสูงในอากาศเหนือศรีษะแล้วฟาดลง ถ้าเป็นอาวุธประเภท Blunt จะสร้างความเสียหายเพิ่มเติม	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}무기를 머리위로 높이 들어올렸다가 강하게 내려 찍습니다. 둔기 사용 시 추가 피해를 입힙니다.
SKILL_20161005_006742	Malleus Maleficarum	마도 심판
SKILL_20161005_006743	{#993399}{Ol}[เวทย์]{/}{/}{nl}ปลดปล่อยพลังของตำราเวทย์โจมตีศัตรู ศัตรูที่ถูกโจมตีจะมี INT และ SPR ลดลงครึ่งหนึ่งและ SP ที่ใช้งานเพิ่มขึ้นเป็นสองเท่าเมื่อโจมตีเวทย์	{#993399}{ol}[마법]{/}{/}{nl}마도서의 힘을 해방해 적에게 피해를 줍니다. 공격당한 적은 지능과 정신이 절반으로 깎이며 마법 공격 사용 시 소모 SP가 두 배가 됩니다.
SKILL_20161005_006744	โจมตี #{SkillAtkAdd}#{nl}ระยะเวลา #{CaptionTime}# วินาที{nl}จำนวนเป้าหมายสูงสุดคือ 7	공격력 #{SkillAtkAdd}#{nl}지속시간 #{CaptionTime}#초{nl}최대 7명 적용
SKILL_20161005_006745	{#993399}{ol}[เวทย์]{/}{/}{nl}ติดตั้งยันต์ที่สามารถซ่อนจากศัตรูได้ เพื่อนร่วมทีมรอบศัตรูไม่ได้รับอันตรายจากมอนสเตอร์	{#993399}{ol}[마법]{/}{/}{nl}적에게서 기척을 숨길수 있는 부적을 설치합니다. 부적 주변에 있는 동료들은 몬스터들에게서 위협받지 않습니다.
SKILL_20161005_006746	พลังโจมตีระเบิด #{SkillAtkAdd}#{nl}ระยะเวลายันต์ #{CaptionTime}# นาที{nl}AoE #{CaptionRatio}#{nl}ต้องใช้ Strange Yellow Paper จำนวน 2 อัน	폭발 공격력 #{SkillAtkAdd}#{nl}부적 유지시간 #{CaptionTime}#분{nl}효과 적용 범위 #{CaptionRatio}#{nl}괴황지 2개 필요
SKILL_20161005_006747	Entrenchment	인족부지법
SKILL_20161005_006748	{#993399}{ol}[เวทย์]{/}{/}{nl}ขว้างยันต์ไปที่เป้าหมายเพื่อโจมตีและล็อกไว้กับที่	{#993399}{ol}[마법]{/}{/}{nl}적에게 부적을 던져 대상에게 피해를 주고 일시적으로 움직일 수 없게 합니다.
SKILL_20161005_006749	โจมตี #{SkillAtkAdd}#{nl}โจมตีพิเศษ #{CaptionRatio}#%{nl}{#339999}{ol}[สตัน]{/}{/} ระยะเวลา 3 วินาที	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}{#339999}{ol}[스턴]{/}{/} 지속시간 3초
SKILL_20161005_006750	Hurling	인중법
SKILL_20161005_006751	{#993399}{ol}[เวทย์]{/}{/}{nl}ใช้ Daoshi ขว้างใส่ศัตรูโดยรอบสร้างความเสียหาย จำนวนศัตรูที่ติดเพิ่มขึ้นตามเลเวลสกิล	{#993399}{ol}[마법]{/}{/}{nl}도술을 이용하여 주변의 적들을 내동댕이쳐서 피해를 줍니다. 스킬 레벨이 증가할수록 더 많은 적에게 피해를 줄 수 있습니다.
SKILL_20161005_006752	โจมตี #{SkillAtkAdd}#{nl}โจมตีพิเศษ #{CaptionRatio}#%{nl}จำนวนเป้าหมาย #{CaptionRatio2}#	공격력 #{SkillAtkAdd}#{nl}특성 공격력 #{CaptionRatio}#%{nl}적용 대상 #{CaptionRatio2}#
SKILL_20161005_006753	Hidden Potential	취인장물법
SKILL_20161005_006754	ผู้เล่นและสมาชิกปาร์ตี้ได้รับบัฟการโจมตีกายภาพและการโจมตีเวทย์ จำนวนเพิ่มขึ้นตามตัวเลขโดยการสุ่มทุกครั้งที่ได้รับเอฟเฟกต์	자신과 파티원들은 잠시동안 물리 공격력과 마법 공격력 증가 효과를 받습니다. 단, 증가하는 수치는 효과를 받을 때마다 임의의 수치로 정해집니다.
SKILL_20161005_006755	โจมตีกายภาพ +#{CaptionRatio}# - #{CaptionRatio2}# {nl}โจมตีเวทย์ +#{CaptionRatio}# - #{CaptionRatio2}# {nl}ระยะเวลา: #{CaptionTime}# วินาที	물리 공격력 #{CaptionRatio}# ~ #{CaptionRatio2}# 증가{nl}마법 공격력 #{CaptionRatio}# ~ #{CaptionRatio2}# 증가{nl}지속시간 #{CaptionTime}#초
SKILL_20161005_006756	{#993399}{ol}[เวทย์]{/}{/}{nl}ติดตั้งยันต์ที่เรียกพายุรุนแรงได้ พายุรุนแรงแสดงผลเมื่อศัตรูสัมผัส และศัตรูที่อยู่ในระยะได้รับความเสียหายครั้งเดียว ค่าความเสียหายโบนัสการโจมตีสายฟ้าถูกใช้งาน	{#993399}{ol}[마법]{/}{/}{nl}비와 바람을 부를 수 있는 부적을 설치합니다. 적이 호풍환우부에 부딪칠 때, 호풍환우부가 발동되며, 이때 범위에 있던 적은 피해를 한번 받습니다. 전기 공격에 대해 보너스 대미지가 적용됩니다.
SKILL_20161005_006757	การโจมตี Storm Calling #{SkillAtkAdd}#{nl}ระยะเวลายันต์ #{CaptionRatio}# วินาที{nl}ระยะเวลาพายุ #{CaptionTime}# วินาที{nl}ต้องใช้ Strange Yellow Paper จำนวน 2 อัน	호풍환우 공격력 #{SkillAtkAdd}#{nl}부적 유지시간 #{CaptionRatio}#초{nl}호풍환우 지속시간 #{CaptionTime}#초{nl}괴황지 2개 필요
SKILL_20161005_006758	Begone Demon	급급여율령
SKILL_20161005_006759	{#993399}{ol}[เวทย์]{/}{/}{nl}เวทย์ที่มียันต์ที่ติดตั้งแสดงผลทันที Storm Calling ทำให้ฝนตก, Creeping Death, Tri-Disaster, Dark Sight ระเบิดโจมตีศัตรูโดยรอบ	{#993399}{ol}[마법]{/}{/}{nl}설치된 부적에 담겨 있는 술법을 즉시 실행합니다. 호풍환우부는 즉시 비를 내리게 하고, 은형부, 삼재부, 파사부는 폭발시켜 주변에 피해를 줍니다.
SKILL_20161005_006760	ค่าความเสียหายพิเศษ: #{CaptionRatio}#%{nl}	특성 공격력 #{CaptionRatio}#%{nl}
SKILL_20161005_006761	{#993399}{ol}[เวทย์]{/}{/}{nl}ติดตั้งยันต์ที่มีความต้านทานธาตุไฟ, ธาตุน้ำแข็ง, ธาตุสายฟ้า เพื่อนร่วมทีมโดยรอบยันต์มีความต้านทานธาตุไฟ, ธาตุน้ำแข็ง, ธาตุสายฟ้าเพิ่มขึ้น ศัตรูที่ได้รับความเสียหายเมื่อยันต์ระเบิดจะได้รับความเสียหายธาตุ 3 อย่างคือธาตุไฟ, ธาตุน้ำแข็ง, ธาตุสายฟ้า	{#993399}{ol}[마법]{/}{/}{nl}불, 얼음, 전기 속성에 내성을 지닌 부적을 설치합니다. 부적 주변에 있는 동료들은 불, 얼음, 전기 속성 저항력이 증가합니다. 부적 폭발시 피해 입은 적은 불, 얼음, 전기 3가지의 속성 피해를 받습니다.
SKILL_20161005_006762	พลังโจมตีความต้านทานธาตุไฟ, ธาตุน้ำแข็ง, ธาตุสายฟ้า +#{CaptionRatio}#% {nl}ต้องใช้ Strange Yellow Paper จำนวน 2 อัน	폭발 공격력 #{SkillAtkAdd}#{nl}부적 유지시간 #{CaptionTime}#분{nl}불, 얼음, 전기 속성 저항력 #{CaptionRatio}#% 증가{nl}괴황지 2개 필요
SKILL_20161005_006763	{#993399}{ol}[เวทย์]{/}{/}{nl}ติดตั้งยันต์ Creeping Death ที่เคลื่อนที่ไปข้างหน้าช้าๆ Creeping Death สร้างความเสียหายอย่างต่อเนื่องแก่เป้าหมายที่สัมผัสขณะเคลื่อนที่ สร้างความเสียหายเพิ่มเติมเมื่อระเบิดด้วย Begone Demon	{#993399}{ol}[마법]{/}{/}{nl}앞으로 천천히 이동하는 파사부를 설치합니다. 파사부는 움직이는 동안 부딪치는 적에게 연속적인 피해를 주며, 급급여율령으로 터질떄는 추가대미지 
SKILL_20161005_006764	โจมตี #{SkillAtkAdd}#{nl}โจมตีระเบิด #{CaptionRatio2}#{nl}จำนวนฮิต #{CaptionRatio}#{nl}ต้องใช้ Strange Yellow Paper จำนวน 3 อัน	공격력 #{SkillAtkAdd}#{nl}폭발 공격력 #{CaptionRatio2}#{nl}타격수 #{CaptionRatio}#회{nl}괴황지 3개 필요
SKILL_20161005_006765	Gohei	고헤이
SKILL_20161005_006766	Sweeping	빗자루질
SKILL_20161005_006767	Hamaya	하마야
SKILL_20161005_006768	Kagura	카구라
SKILL_20161005_006769	สร้างความเสียหายเพิ่มเติมเพื่อโจมตี	공격에 추가 대미지가 부여됩니다.
SKILL_20161005_006770	ลด HP สูงสุดลงช้าๆ และการโจมตีธนูอ่อนแอลง	최대 HP가 점차 줄어들며, 화살 공격에 취약해집니다.
SKILL_20161005_006771	โจมตีไม่ได้	공격 불가
SKILL_20161005_006772	Serpentine: Melee Attack Bonus	서펜틴: 근접공격 보너스
SKILL_20161005_006773	สถานะการโจมตีกายภาพระยะประชิดทุกประเภทอ่อนแอลง	모든 종류의 근접 물리 공격에 취약해진 상태가 됩니다.
SKILL_20161005_006774	สถานะ Ghastly Trail	사바쓰 상태입니다.
SKILL_20161005_006775	ความเสียหายคริติคอลของการโจมตีแทงเพิ่มขึ้น, โล่ไม่มีผล	찌르기 공격의 치명타 대미지 증가, 방패 무효화
SKILL_20161005_006776	การต้านทานคริติคอลลดลง	치명타 저항이 낮아짐
SKILL_20161005_006777	ลดการต้านทานคริติคอล	크리티컬 저항 감소
SKILL_20161005_006778	อัตราคริติคอลเพิ่มขึ้นเมื่อโจมตี	피격시 치명타가 발생할 확률이 증가합니다.
SKILL_20161005_006779	การโจมตีด้วยอาวุธประเภทปืนอ่อนแอลง	총 공격에 취약해짐
SKILL_20161005_006780	Great Corruption	강력한 부패
SKILL_20161005_006781	HP สูงสุดลดลงช้าๆ และการโจมตีธนูอ่อนแอลง{nl}อุปกรณ์ที่ใส่สึกกร่อนและค่าความสามารถส่วนหนึ่งไม่มีผล	최대 HP가 점차 줄어들며, 화살 공격에 취약해집니다.{nl}또한 장착한 장비들이 부식되어 일부 능력치가 무력화 됩니다.
SKILL_20161005_006782	ค่า INT ลดลง และตัวละครสายนักเวทย์และนักบวชตกอยู่ในสถานะ Silence ไม่สามารถโจมตีพื้นฐานและใช้สกิลได้	지능 정신 능력치가 감소되고, 마법사 계열과 성직자 계열은 침묵 상태가 되어 기본 공격과 스킬 사용이 불가능해집니다.
SKILL_20161005_006783	Joust: Silence	자우스트:침묵
SKILL_20161005_006784	INT ลดลงและใช้สกิลไม่ได้	지능 정신 능력치가 감소되고, 스킬을 사용 할 수 없습니다.
SKILL_20161005_006785	ATK และ DEF ลดลง	공격력 또는 방어력이 감소.
SKILL_20161005_006786	สถานะติดอยู่พื้นที่นี้	이공간에 갇혀 있는 상태
SKILL_20161005_006787	Wheel Torture	수레바퀴 형벌
SKILL_20161005_006788	ศัตรูไม่พบ	적에게 눈에 띄지 않음
SKILL_20161005_006789	Storm Calling	호풍환우
SKILL_20161005_006790	ได้รับความเสียหายและความเสียหายธาตุสายฟ้าเพิ่มเติม	피해를 받고, 전기 속성 공격에 추가대미지를 받습니다.
SKILL_20161005_006791	Bound	결박 상태
SKILL_20161005_006792	การหลบหลีกเพิ่มขึ้น, ความเร็วเคลื่อนที่ลดลง	회피율 증가, 이동속도 감소
SKILL_20161005_006793	ศัตรูติด Blind และได้รับความเสียหายเพิ่มเติมจากการโจมตีด้วยปืนใหญ่ พบศัตรูที่ติด Cloaking หรือ Burrow	실명 상태가 되며 캐논 공격에 추가피해를 받음. 클로킹이나 버로우된 대상 드러남.
SKILL_20161005_006794	สร้างแนวป้องกันรับการโจมตีศัตรู	적의 공격을 흡수하는 방어막 생성
SKILL_20161005_006795	ได้รับความเสียหายเพิ่มเติม	지속 피해를 받음
SKILL_20161005_006796	Leg Shot	레그샷
SKILL_20161005_006797	มีโอกาสสร้างความสับสนให้ศัตรูเมื่อโจมตี	공격 시 확률적으로 적이 혼란 상태에 빠짐
SKILL_20161005_006798	รางวัล (อาวุธ)	리워드(무기)
SKILL_20161005_006799	รางวัล (ส่วนบน)	리워드(상의)
SKILL_20161005_006800	Hamaya (ศักดิ์สิทธิ์)	하마야(신성)
SKILL_20161005_006801	การโจมตีด้วยอาวุธประเภท Slash อ่อนแอลง ใช้ไม่ได้กับการป้องกันประเภทเกราะ	베기 공격에 취약해짐. 방어 타입이 [판금] 계열인 대상에게는 무효함.
SKILL_20161005_006802	ป้องกันการโจมตีมิสไซส์และการโจมตีด้วยพลังเวทย์	미사일 공격과 마법 포스 공격을 막습니다.
SKILL_20161005_006803	ดูด HP ทุกครั้งที่ถูกโจมตี และฟื้น HP เป้าหมายที่โจมตีตนเอง ฟื้น SP ไมได้	공격당할 때마다 생명력을 빼앗겨 자신을 공격한 대상의 HP가 회복됨. SP 회복 불가.
SKILL_20161005_006804	ดูดวิญญาณชั่วร้ายแล้วสะท้อนออก วิญญาณชั่วร้ายคลุมการดจมตีพื้นฐาน	악령을 흡수하여 악령의 기운을 발산합니다. 기본 공격에 악령이 깃들어 나갑니다.
SKILL_20161005_006805	ชา ความเร็วเคลื่อนที่และความเร็วโจมตีลดลง	둔한 상태. 이동속도와 공격속도가 느려집니다.
SKILL_20161005_006806	เหยี่ยวใช้สกิล Blistering Thrash แก่ศัตรูที่ดจมตีเจ้าของ และ Hovering แก่ศัตรูที่เข้ามาใกล้เจ้าของ	매가 주인이 공격한 적에게 음속타, 주인에게 다가오는 적에게 호버링 스킬을 자동으로 사용합니다.
SKILL_20161005_006807	Cracked Armor	금간 방어구
SKILL_20161005_006808	เอฟเฟกต์ลดการโจมตีและการป้องกันด้วยธนูเพิ่มขึ้นจาก 5 ชั้นเป็น 7 ชั้น	화살 공격의 방어력 감소 효과가 5중첩에서 7중첩으로 증가.
SKILL_20161005_006809	ไม่มีบัฟเอฟเฟกต์	버프 효과가 없어짐
SKILL_20161005_006810	Merkabah: Divine Protection	메르카바: 신의 가호
SKILL_20161005_006811	บล็อกการโจมตีกายภาพหรือการโจมตีเวทย์ไม่มีผล	모든 물리 공격이 블록되거나 마법 공격이 무효화 됨.
SKILL_20161005_006812	HP สูงสุดลดลง ฟื้น HP ต่อเนื่อง	최대 HP 감소. 지속적으로 HP 회복
SKILL_20161005_006813	การต้านทานธาตุไฟ, ธาตุน้ำแข็ง, ธาตุสายฟ้าเพิ่มขึ้น	불, 얼음, 전기 속성 저항력이 증가함.
SKILL_20161005_006814	SPR, INT ลดลงและการใช้งาน SP เป็นสองเท่า ได้รับความเสียหายเพิ่มเติมเท่า MATK ของตนเอง	지능, 정신이 감소하며 SP소모량이 2배로 증가합니다. 또 자신의 마법 공격력만큼의 추가 피해를 입습니다.
SKILL_20161005_006815	Disenchant: Neutralize Gear	디센챈트: 장비 무력화
SKILL_20161005_006816	ค่าความสามารถ DEF ส่วนหนึ่งจากค่าความสามารถอุปกรณ์ไม่มีผล	장비 능력치 중 일부 방어력 능력치가 무력화 됩니다.
SKILL_20161005_006817	Malleus Maleficarum: Mana Burn	마도 심판: 마나번
SKILL_20161005_006818	การโจมตีธาตุสายฟ้าเพิ่มขึ้น	전기 공격력 상승 상태입니다.
SKILL_20161005_006819	SP สูงสุดเพิ่มขึ้น เลเวลตัวละครเพิ่มขึ้น	최대 SP 증가. 캐릭터 레벨 증가.
SKILL_20161005_006820	Merkabah: Increase Magic Defense	메르카바: 마법방어력 증가
SKILL_20161005_006821	Bayonet Thrust: Reduce Recovery	바요넷 쓰러스트: 회복력 저하
SKILL_20161005_006822	การฟื้น HP, SP ลดลง	HP와 SP의 회복력이 저하된 상태입니다.
SKILL_20161005_006823	ใช้ Running Shot	런닝샷 적용 상태입니다
SKILL_20161005_006824	ใช้ Limacon	리마콘 적용 상태입니다.
SKILL_20161005_006825	ใส่ Cassis Crista เพื่อใช้สกิล Murmillo{nl}โอกาสบล็อกการโจมตีมิสไซส์หรือการโจมตีเวทย์ไม่แสดงผลมีโอกาสสูงขึ้น{nl}ความเร็วเคลื่อนที่, การหลบหลีกการโจมตีเวทย์ลดลงเล็กน้อย{nl}สกิล Peltasta และ Rodelero แข็งแกร่งขึ้นตามการเรียนสกิล	어인 투구를 장착하여 몇몇 무르밀로 스킬을 사용할 준비를 합니다.{nl}적의 미사일 공격을 블록하거나 마법 공격을 무효화 할 가능성이 높아집니다.{nl}단 이동속도가 약간 줄어들고 근접 물리 공격에 회피율이 떨어집니다.{nl}특성 습득에 따라 펠타스타와 로델레로 스킬이 강화됩니다.
SKILL_20161005_006826	Foretell: Attack Immunity	포어텔 : 공격 면역
SKILL_20161005_006827	สถานะภูมิคุ้มกันการโจมตีในอัตราหนึ่ง	모든 공격에 대해 확률적으로 면역이 됩니다.
SKILL_20161005_006828	Magic Attack Immunity	마법 공격 면역
SKILL_20161005_006829	Missile Attack Immunity	미사일 공격 면역
SKILL_20161005_006830	Continuous Damage Immunity	고정 피해 면역
SKILL_20161005_006831	Floor Immunity Buff	장판면역 버프
SKILL_20161005_006832	Homunculus	호문클루스
