ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20160310_010215	Warsis Creak ประสบความสำเร็จในการสร้างอาวุธใหม่จาก Lolopanther Musket ซึ่งไม่มีใครรู้เรื่องนี้เลย	언제 어떻게 그랬는지 모르지만, 워시스 크리크는 롤로팬서 머스킷에서 자신과 동업자들을 위해 적절히 변형된 장비를 창안하는데 성공했습니다.
ITEM_20160310_010216	เป็นอาวุธที่มั่นคงราวผืนดิน เบาราวกับขนนกและแข็งแกร่งราวกับหินผา	대지처럼 굳건하고 티끝처럼 가벼우며 암석처럼 강한 효과를 지닌 무기입니다.
ITEM_20160310_010217	สุดยอดอาวุธที่ใช้ดินปืนเป็นตัวขับเคลื่อนและมาพร้อมกับการออกแบบใหม่ล่าสุด Quicktongue มันยากมากที่จะบอกต่อถึงการค้นพบครั้งนี้	화약을 사용하는 마스터들은 새로운 장비가 고안되거나 발견되면 그것을 이용하는 일에 적극적인 편입니다. 이 캐논도 그렇습니다. 다만 퀵통의 경우 무언가를 발명해도 잘 공개하지 않는데 아마도 현직 군인의 신분인 점을 고려하는 것 같습니다. 
ITEM_20160310_010218	ใครก็ตามที่กล้าลบหลู่ถึงอาวุธที่ถูกสร้างโดยเทพธิดา พวกเขาเหล่านั้นจะถูกพิพากษาให้เลือดไหลนองทั่วผืนแผ่นดิน	대지의 여신에게서 기원한 무기를 우습게 보는 자들은 그 피를 대지에 흘림으로써 대가를 치루게 마련입니다.
ITEM_20160310_010219	ผู้ใดก็ตามที่ศรัทธาในเทพธิดา พวกเขาเหล่านั้นจะได้รับประทานปัญญา ไม่ใช่เฉพาะเหล่านักบวช เหล่าวิซาร์ดก็สามารถรับได้เช่นกัน	위대한 여신을 경배하는 자들은 그 겸손에 걸맞은 지혜를 얻을 수 있습니다. 이는 성직자뿐 아니라 마법사들에게 해당한다는 명백한 증거가 이 장비라고 할 수 있습니다.
ITEM_20160310_010220	ผู้ใดที่ได้ครอบครองจะเป็นเจ้าแห่งผืนแผ่นดินและได้รับเกียรติทุกๆก้าวย่าง แต่ถึงอย่างนั้นค่าดูแลของมันนั้นแพงเกินกว่าที่มนุษย์ทั่วไปจะจ่ายไหว แต่ไม่ใช่ปัญหาสำหรับเทพธิดา	착용자가 이것으로 대지를 걸을 때 그 주인되신 이가 그의 발걸음에 은혜로 관여하십니다. 물론 유지 비용은 인간들 사이의 문제이지 제미나 여신과는 무관합니다.
ITEM_20160310_010221	ผุ้ใดที่ได้ครองครองโดยปราศจากการประทานจากเทพธิดา ไม่คิดเหรอว่ามันจะเป็นอะไรที่ดูยิ่งใหญ่เกินไป	대지의 여신께서 착용자에게 어떤 권능을 허락하셨든 그것을 제대로 이끌어내고 사용하는 일은 결국 착용자의 능력에 기반한 일입니다. 그렇다고 이 장비가 더 강한 능력을 지녔는지 너무 궁금해 하지는 마십시오.
ITEM_20160310_010222	ทุกๆเส้นด้ายที่ถักทอเป็นเครื่องสวมใส่นี้ เป็นพลังที่ประทานจากเทพธิดาแห่งผืนดินทั้งสิ้น	장비를 추가로 얻을 때마다 대지의 여신께서 허용한 능력이 장비에 새로이 깃드는 경험을 할 수 있습니다.
ITEM_20160310_010223	ผู้ใช้งานของอุปกรณ์สวมใส่นี้อาจจะไม่รู้ ว่าผู้ออกแบบและช่างฝีมือนั้นได้รับพรเมื่อตอนตัดเย็บมันขึ้นมา ต้องขอบคุณความลำบากของพวกเขา แต่วันนี้มันได้เฉิดฉายในสมรภูมิรบแล้ว	이 장비의 착용자들은 신경쓰지 않지만 제조자와 창안자들이 신경썼던 사실은 가죽은 천이나 금속에 비해 제미나 여신의 권능을 부여하기 어렵다는 점입니다. 하지만 그들이 무슨 노력을 했건 현재는 실전에서 어떤 문제도 없이 효과를 발휘합니다.
ITEM_20160310_010224	เปรียบเทียบกับอุปกรณ์สวมใส่หนังอื่น ๆ แล้ว ชิ้นนี้เป็นชิ้นที่ได้รับประทานพรจากเทพธิดา Zemyna มาก ๆ เพราะเป็นชิ้นที่ติดต่อกับผืนดินโดยตรง	직접 대지에 접촉하는 장비라서 가죽을 소재로한 다른 장비에 비해 제미나 여신의 권능을 부여하기 편리한 점이 있습니다.
ITEM_20160310_010225	บางอุปกรณ์สวมใส่ของ Lolopanther ไม่ได้ถูกสร้างด้วยพลังของเทพธิดา Zemyna แต่เป็นพลังของปีศาจ ซึ่งถ้าเป็นแบบนั้น มันเป็นเรื่องสำคัญมากที่จะต้องดูแลสมดุลของมันให้ดี	어떤 롤로팬서 장비는 탑의 주인인 제미나 여신이 아닌 침탈자 마족의 능력을 빼앗아 만들기도 하였습니다. 이 경우에는 여러 장비가 조화를 이루도록 하는 일이 중요합니다.
ITEM_20160310_010226	มีความพยายามมากมายที่จะลบล้างพลังของปีศาจและสิ่งที่เป็นเป้าหมายของมันที่เหลืออยู่ ซึ่งคำตอบทั้งหมดได้ถูกฝังกลายเป็นประวัติศาสตร์ของ Earth Tower ไปแล้ว	마족의 힘을 빼앗기 위한 많은 노력들은 그 대상이 된 능력이나 그것을 행한 자가 누구인지 알려지지 않은 채 대지의 탑속에서 역사에 묻힌 일이 되었습니다. 
ITEM_20160310_010227	เทพธิดาแห่งผืนดินยินดีที่จะให้มนุษย์เป็นผู้ใช้งานทรัพยากร แต่ถึงอย่างนั้นท่านก็ไม่ได้หยิบยื่นให้อย่างยินดีนัก	대지의 여신께서는 자신의 품안에서 벼려낸 광석들이 인간에 의해 사용되는 일을 좋아하십니다. 그러나 그것을 쉽게 녹슬게 하고 부서지게 하여 다시 돌려주는 일은 싫어하십니다.
ITEM_20160310_010228	เทพธิดาแห่งผืนดินนั้นอาจจะยินดีให้มนุษย์เป็นผู้ครอบครองอาวุธชิ้นนี้ แต่ไม่ได้หมายความว่าให้นำไปก่อสงครามได้ตามใจ เพราะโดยแท้จริงแล้วทุกอุปกรณ์นั้นมีเหตุผลของการมีอยู่ของมัน	대지의 여신께서 인간에게 무기를 쥐어주는 일을 허락하신다고 하여서 그것이 인간들이 서로 무기를 들고 맞서싸워 피를 흘리는 일을 즐기신다는 뜻은 아닙니다. 이 장비가 사용되어야 할 원래의 적은 태초부터 따로 있었기 때문입니다.
ITEM_20160310_010229	อุปกรณ์ชิ้นนี้ช่วยให้ขาของผู้สวมใส่ยืนอย่างมั่นคงบนอาณาเขตของเทพธิดา Zemyna	당신의 두 다리가 제미나 여신의 영역을 굳건히 딛고 설 수 있도록 이 장비가 도울 것입니다.
ITEM_20160310_010230	ความเชื่อของคุณต่อเทพธิดา Zemyna จะคงอยู่ตลอดไปและมั่นคงเหมือนผืนแผ่นดิน คุณจะต้องหนักแน่นหากคุณได้รับอุปกรณ์นี้	어떤 상황에서도 제미나 여신에 대한 믿음과 자신의 용기를 대지처럼 굳건히 하십시오. 그것이 이런 장비를 얻은 자가 지녀야 할 태도입니다.
ITEM_20160310_010231	พรของเทพธิดาแห่งผืนดินที่อยู่ในหัวใจของคุณ ได้เวลาแสดงให้โลกเห็นถึงความกล้าของตัวคุณแล้ว	당신의 가슴에 대지의 여신의 권능이 임하였으니 당신의 용맹을 온땅에 알릴 기회가 도래한 것입니다.
ITEM_20160310_010232	มันเป็นไปได้ที่จะเพิ่มขีดความสามารถของตัวเราเองโดยการมุ่งเน้นไปที่ของชิ้นนี้ซึ่งเป็นพลังที่ได้รับจากเหล่าทวยเทพ ซึ่งเคยมีแม่ชีที่มาจาก Saalus Convent เป็นผู้เคยทำสำเร็จมาก่อน	모든 여신들의 능력을 한 물건에 집중하여 모든 능력을 향상시키는 일이 가능합니다. 전승에 의하면 오래 전 살러스 수녀원에서 최초로 그러한 마법부여에 성공한 수녀가 나왔다고 합니다. 
ITEM_20160310_010233	ท่ามกลางความพยายามในการรวมพลังศักดิ์สิทธิ์และเวทมนตร์เข้าด้วยกันพร้อมกับกำจัดความขัดแย้งของธาตุต่าง ๆ ได้มีวัตถุหลาย ๆ ชิ้นถูกสร้างขึ้นสำเร็จและล้มเหลว ซึ่งกำไรชิ้นนี้ก็เป็นตัวอย่างของความบิดเบี้ยวนั้น	신성력과 마력을 조합하여 서로 충돌하는 성질을 제거하고 더 나은 결과를 만들어내려는 시도 가운데 몇 가지는 성공과 실패가 하나에 공존하는 물품을 만들어냈습니다. 이 팔찌가 그러한 사례입니다.
ITEM_20160310_010234	อุปกรณ์ชิ้นนี้จะช่วยคุณผ่านความมืดมิดไปได้	당신의 두 팔이 마족이 드리우는 어둠을 뚫고 전진하는데 이 장비가 큰 도움이 될 것입니다.
ITEM_20160310_010235	กำไรทำงานโดยเพิ่มความแข็งแกร่งให้กับผู้ที่สวมใส่ ซึ่งมันไม่ใช่สิ่งที่จะได้มาอย่างง่ายดายเลย	이 팔찌에 부여된 마법은 착용자가 지닌 전사의 혼을 강화하는 방식으로 작용합니다. 따라서 그 위력은 매우 크지만, 약간의 부작용도 존재합니다.
ITEM_20160310_010236	Metal Detector	금속탐지기
ITEM_20160310_010237	เพิ่ม 2686 Character EXP และ 2668 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 5	경험치를 +2686 클래스 경험치를 +2068 상승시켜 줍니다. 5 레벨부터 사용할 수 있습니다.
ITEM_20160310_010238	เพิ่ม 8442 Character EXP และ 6500 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 20	경험치를 +8442 클래스 경험치를 +6500 상승시켜 줍니다. 20 레벨부터 사용할 수 있습니다.
ITEM_20160310_010239	เพิ่ม 22860 Character EXP และ 17602 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 40	경험치를 +22860 클래스 경험치를 +17602 상승시켜 줍니다. 40 레벨부터 사용할 수 있습니다.
ITEM_20160310_010240	เพิ่ม 24571 Character EXP และ 18919 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 60	경험치를 +24571 클래스 경험치를 +18919 상승시켜 줍니다. 60 레벨부터 사용할 수 있습니다.
ITEM_20160310_010241	เพิ่ม 60312 Character EXP และ 46440 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 80	경험치를 +60312 클래스 경험치를 +46440 상승시켜 줍니다. 80 레벨부터 사용할 수 있습니다.
ITEM_20160310_010242	เพิ่ม 142150 Character EXP และ 109455 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 100	경험치를 +142150 클래스 경험치를 +109455 상승시켜 줍니다. 100 레벨부터 사용할 수 있습니다.
ITEM_20160310_010243	เพิ่ม 209334 Character EXP และ 161187 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 120	경험치를 +209334 클래스 경험치를 +161187 상승시켜 줍니다. 120 레벨부터 사용할 수 있습니다.
ITEM_20160310_010244	เพิ่ม 237943 Character EXP และ 183216 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 150	경험치를 +237943 클래스 경험치를 +183216 상승시켜 줍니다. 150 레벨부터 사용할 수 있습니다.
ITEM_20160310_010245	เพิ่ม 541023 Character EXP และ 416587 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 180	경험치를 +541023 클래스 경험치를 +416587 상승시켜 줍니다. 180 레벨부터 사용할 수 있습니다.
ITEM_20160310_010246	เพิ่ม 985061 Character EXP และ 758496 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 210	경험치를 +985061 클래스 경험치를 +758496 상승시켜 줍니다. 210 레벨부터 사용할 수 있습니다.
ITEM_20160310_010247	เพิ่ม 2420348 Character EXP และ 1863667 Class EXP {nl} ใช้ได้เมื่อถึง Lv. 250	경험치를 +2420348 클래스 경험치를 +1863667 상승시켜 줍니다. 250 레벨부터 사용할 수 있습니다.
ITEM_20160310_010248	Reward EXP Card	보상 경험치 카드
ITEM_20160310_010249	เพิ่ม 479397 Character EXP และ 369135 Class EXP {nl} คลิกขวาเพื่อใช้งาน	경험치를 +479397 클래스 경험치를 +369135 상승시켜 줍니다.마우스 오른쪽 클릭으로 사용합니다.
ITEM_20160310_010250	หลังจากใช้จะได้รับไอเทมดังนี้:{nl} ใช้ได้เมื่อถึง Lv. 45{nl}- 20x Lv4 EXP Card{nl}- 10x Settlement Support Potion{nl}- 3x EXP Tome{nl}- Settlement Support Chest: Lv60{nl} ไอเทมนี้จะถูกเอาออกหลังจากปิดปรับปรุงเซิร์ฟเวอร์วันที่ 4 มีนาคม	사용 시 아이템을 획득할 수 있습니다. 45 레벨부터 사용할 수 있습니다.{nl}- LV4 경험치 카드 20개{nl}- 정착 지원 포션 10개{nl}- 경험의 서 3개{nl}- 정착 지원 상자:LV60{nl}4월 7일 점검 시, 일괄 삭제됩니다.
ITEM_20160310_010251	Research Materials	연구 물품
ITEM_20160310_010252	วัตถุดิบที่ถูกขโมยจาก Gatre โดยปีศาจ	가트레가 몬스터에게 빼앗긴 연구 물품.
ITEM_20160310_010253	คู่มือที่ Gatre ให้ไว้	가트레가 준 설명서.
ITEM_20160310_010254	คู่มือการวิจัยที่ Gatre ทิ้งไว้	가트레가 실수로 버린 연구 자료.
ITEM_20160310_010255	Anesthetic Powder	마취가루
ITEM_20160310_010256	ผงยาชาที่เคยใช้กับมอนสเตอร์	몬스터를 잠들게 할 수 있는 마취 가루.
ITEM_20160310_010257	Green Eldigo Blood	초록 엘디고의 혈액
ITEM_20160310_010258	เลือดมอนสเตอร์ที่เก็บได้ใน Alemeth	알레멧 몬스터들에게서 뽑아낸 혈액.
ITEM_20160310_010259	Lost Research Note, Chapter 1	유실된 연구 일지 1장
ITEM_20160310_010260	บันทึกการวิจัยที่เขียนโดย Boldas ก่อนที่จะหมดสติไปตอนทำการทดลองของ Sarma	사르마의 실험에 참여했다가 의식불명되었던 볼다스가 쓴 연구 일지.
ITEM_20160310_010261	Lost Research Note, Chapter 2	유실된 연구 일지 2장
ITEM_20160310_010262	Lost Research Note, Chapter 3	유실된 연구 일지 3장
ITEM_20160310_010263	Fruit Juice Crystal	과즙 결정
ITEM_20160310_010264	น้ำผลไม้ที่ตกผลึกจากร่างกายของมอนสเตอร์ ใช้ในการวิจัยของ Sarma	과즙이 몬스터에 뭉쳐 생긴 결정. 사르마의 연구에 쓰입니다.
ITEM_20160310_010265	Aged Fruit Tree Sap	과일 나무의 숙성액
ITEM_20160310_010266	เมือกจากผลไม้ที่ถูกเก็บใน Alemeth Forest ซึ่งสุกงอมจากกระบวนการพิเศษและแน่นอนมันจำเป็นต่อการทดลองของ Sarma	알레멧 숲의 과일 나무들에서 채집해서 특수한 방법으로 숙성시킨 액체. 사르마의 실험에 꼭 필요하다고 합니다.
ITEM_20160310_010267	Red Lake Water	붉은 호수의 물
ITEM_20160310_010268	น้ำที่เก็บจากแม่น้ำสีแดง ดูน่าขนลุก	어딘가의 붉은 호수에서 떠온 물. 불길해 보입니다다.
ITEM_20160310_010269	Alchemical Blend	혼합된 연금술의 재료
ITEM_20160310_010270	ส่วนผสมที่ Sarma ต้องการสำหรับการทดลองของเขา	사르마의 실험에 필요한 재료들을 모아 만든 재료.
ITEM_20160310_010271	วิธีการทดลองของ Sarma	완성된 사르마의 실험 용액
ITEM_20160310_010272	สมการการเปลี่ยนวงกลมของ Sarma	사르마의 연성 마법진을 통해 연성시킨 용액.
ITEM_20160310_010273	ขวดทดสอบขนาดเล็ก	작은 실험 용액병
ITEM_20160310_010274	ขวดที่เก็บส่วนผสมของสมการการเปลี่ยนวงกลมของ Sarma	사르마의 연성 마법진으로 연성시킨 용액을 조금 나눠 담은 병.
ITEM_20160310_010275	รายชื่อส่วนผสมของ Alemeth Forest	알레멧 숲 연구 재료 목록표
ITEM_20160310_010276	รายชื่อส่วนผสมสำหรับการวิจัยของ Sarma	사르마가 하는 연구에 필요한 재료가 적혀 있는 표.
ITEM_20160310_010277	Overgrown Plant Leaves	과성장한 식물의 잎사귀
ITEM_20160310_010278	ใบไม้ที่ร่วงหล่นของต้นไม้ ใช้สำหรับการวิจัยของ Sarma	지나치게 커져버린 과일 나무의 잎사귀. 사르마의 연구에 쓰입니다.
ITEM_20160310_010279	Adomas' Note	아도마스의 쪽지
ITEM_20160310_010280	บันทึกที่ Adomas ทิ้งไว้	아도마스가 남긴 쪽지. 
ITEM_20160310_010281	หนีไปจาก Faustas'	파우스타스로부터 도망쳐
ITEM_20160310_010282	เป็นสิ่งที่มันพูดไว้ ส่งมันให้กับ Necromancer ชื่อ Lemija	 라고 적혀있습니다. 레미야라는 네크로맨서에게 전해줘야합니다.
ITEM_20160310_010283	จดหมายจากทหาร ดูเหมือนมันจะถูกเขียนให้กับครอบครัวของเขา แต่มันไม่เคยส่งไปถึงมือเลย	병사가 쓴 편지. 가족에게 쓴 것 같지만 미처 전해지지 못했습니다.
ITEM_20160310_010284	Monster Corpse Piece	몬스터 사체 조각
ITEM_20160310_010285	ชิ้นส่วนจากซากศพมอนสเตอร์ Lemija บอกว่าใช้ทำเครื่องรางได้	몬스터를 처치하고 얻은 사체 조각. 레미야가 이걸 기워서 부적을 만들 수 있다고 합니다.
ITEM_20160310_010286	Lemija's Amulet	레미야의 부적
ITEM_20160310_010287	เครื่องรางที่สร้างโดย Lemija สามารถที่จะดูดซับเวทมนตร์ที่แช่แข็งทหารได้	레미야가 만든 부적. 얼어붙은 병사에게 깃든 마력을 흡수할 수 있습니다.
ITEM_20160310_010288	Assistant Commander's Note	부대장의 쪽지
ITEM_20160310_010289	บันทึกของ Assistant Commander ของ Vedas Plateau มันอธิบายสถานการณ์ของดินแดน	베다 고원의 부대장이 쓴 쪽지. 이 곳의 실상이 담겨있습니다.
ITEM_20160310_010290	Vedas Plateau Soldier's Belongings	베다 고원 병사의 유품
ITEM_20160310_010291	เป็นสิ่งที่ได้จากมอนสเตอร์ เหมือนจะเป็นของฝากสำหรับทหาร	몬스터로 부터 얻은 유품. 병사의 것으로 보입니다.
ITEM_20160310_010292	Engagement Ring	약혼 반지
ITEM_20160310_010293	แหวนที่ Assistant Commander ของ Vedas Plateau ให้ไว้ ส่งให้กับ Royal Army Officer Retia	베다 고원 부대장이 준 반지. 왕국군 장교 레티아에게 전해줘야합니다.
ITEM_20160310_010294	Base Reagent	기초 시약
ITEM_20160310_010295	สารเคมีที่ถูกทิ้งไว้ภายในเต้นท์ ดูเหมือนมันจะถูกสร้างจากการทดลองบางอย่าง	버려진 텐트에서 찾은 시약. 누군가 실험으로 만든 것 같습니다.
ITEM_20160310_010296	Spion Tree Leaves	스피온의 나뭇잎
ITEM_20160310_010297	ใบของต้นไม้ที่ถูกใช้เป็นอาวุธของ Spions มันดูเบากว่าที่เห็น	스피온이 무기로 사용하는 나뭇잎. 생각보다 부드러운 나뭇잎 입니다.
ITEM_20160310_010298	Lucienne's Reagent	루시엔의 시약
ITEM_20160310_010299	สารเคมีที่สร้างโดย Lucienne เพื่อกำจัดเถาวัลย์ยักษ์ใน Nahash Forest	루시엔이 만들어낸 시약. 나하스 숲의 거대 덩굴을 없애기 위해 루시엔이 만들었습니다.
ITEM_20160310_010300	Spion Teeth	스피온의 이빨
ITEM_20160310_010301	ฟันของ Spions พวกมันดูแปลกมาก	스피온의 이빨. 생각보다 단단합니다.
ITEM_20160310_010302	Vaidotas' Neutralizer	바이도타스의 중화제
ITEM_20160310_010303	ตัวถอนพิษที่ Vaidotas ให้ไว้ มันสามารถถอนพิษน้ำยาของ Lucienne ได้	바이도타스가 건네 준 중화제. 루시엔이 만든 시약을 중화시킬 수 있는 성분으로 만들어져 있다고 합니다.
ITEM_20160310_010304	Experiment Herb Seeds	실험용 약초 씨앗
ITEM_20160310_010305	สมุนไพรที่ Lucienne ขอให้คุณปลูก ดูเหมือนมันจะถูกนำไปใช้ทำน้ำยาอะไรสักอย่าง	루시엔이 심어달라고 부탁한 약초 씨앗. 시약의 재료로 사용하려는 것 같습니다.
ITEM_20160310_010306	Soul Sphere	영혼 구슬
ITEM_20160310_010307	ลูกแก้วที่ให้ไว้โดยชาวบ้าน เขาบอกว่ามันจะช่วยป้องกันการโจมตีได้ หากใส่วิญญาณของปีศาจเข้าไป	마을 주민이 준 영혼 구슬. 마족의 영혼을 채우면 더 이상 공격 받지 않는다고 합니다.
ITEM_20160310_010308	เลือดสีแดงที่เก็บมาจากปีศาจ มันเป็นไปไม่ได้เลยที่จะหาวิธีใช้มัน	마족에게서 얻은 붉은 피. 이걸 어디다 쓰려는 건지 도통 알 수가 없습니다.
ITEM_20160310_010309	Purified Soul Sphere	정화된 영혼 구슬
ITEM_20160310_010310	ลูกแก้วบริสุทธิ์ของเจ้าอาวาส มันคลายพลังงานออกมาด้วย	수도원장이 정화한 영혼 구슬. 신성력이 느껴집니다.
ITEM_20160310_010311	คัมภีร์ที่มีคำสั่งสอนของต้นไม้แห่งความจริง	진리의 나무 교단의 교리가 적혀 있는 경전입니다.
ITEM_20160310_010312	Edible Food Items	먹을 만한 식량
ITEM_20160310_010313	อาหารแบบสุ่มซึ่งเหลือไว้ที่ Namoth Cross Parvis ดูเหมือนมันจะไม่ค่อยดีแล้ว แต่รู้สึกว่ายังกินได้อยู่	나모쓰 교차주랑에 방치되어 있던 식량. 거의 상하기 직전이지만 아직은 먹을 수 있을 것 같습니다.
ITEM_20160310_010314	Lucienne's Special Reagent	루시엔의 특제 시약
ITEM_20160310_010315	น้ำยาพิเศษที่สร้างโดย Lucienne จากผลการวิจัยของเขา มันถูกสร้างขึ้นจากคำแนะนำของ Vaidotas	루시엔이 연구 성과로 만들어낸 특제 시약. 바이도타스의 조언대로 만들었다고 합니다.
ITEM_20160310_010316	ปัจจัยหลักที่สร้างชิ้นส่วนสีฟ้า เพื่อที่จะใช้ขับเคลื่อนอุปกรณ์นี้	반짝이는 푸른 조각으로 만들어진 열쇠. 어떤 장치를 가동시키는데 사용됩니다.
ITEM_20160310_010317	กระเป๋าน่าสงสัยที่ถูกฝังดิน มันมีกลิ่นแปลก ๆ ด้วย	땅속에 묻혀있던 수상한 주머니. 이상한 냄새가 납니다.
ITEM_20160310_010318	Peculiar Coral Fragment	독특한 산호 조각
ITEM_20160310_010319	ชิ้นส่วนของประการัง ซึ่งไม่เคยเห็นแบบนี้ที่ไหนมาก่อน	독특하게 생긴 산호 조각. 이 근방에서는 보지 못한 종인 것 같습니다
ITEM_20160310_010320	Greentoshell Shell Fragment	틈게의 껍질조각
ITEM_20160310_010321	ชิ้นส่วนของหอย Greentoshell สามารถพบเจอได้บนพื้น ส่วนใหญ่ใช้เป็นส่วนผสมในการทำครีม	틈게의 껍질 조각. 곱게 갈아서 연고의 재료로 사용한다고 합니다.
ITEM_20160310_010322	Blue Lapasape Moss	푸른 라프세이프의 이끼
ITEM_20160310_010323	มอสที่เติบโตตามร่างกายของ Lapasape Mages ส่วนใหญ่ใช้เป็นส่วนผสมในการทำครีม	라프세이프 메이지의 몸에서 자라는 이끼. 연고의 재료로 사용한다고 합니다.
ITEM_20160310_010324	Merchant's Magic Detector	상인의 마력 탐지기
ITEM_20160310_010325	เข็มทิศที่ถูกยืมมาจากพ่อค้า สามารถใช้หาสิ่งที่จะมาเปิดกล่องสมบัติที่ถูกล็อคโดยเวทมนตร์ไว้ได้ มันช่วยนำทางไปหาวัตถุเวทมนตร์ใกล้ๆ	마법으로 봉인된 상자의 봉인을 풀 도구를 찾기 위해 상인이 빌려준 나침반. 주변에 마력을 띈 물체를 가리킵니다.
ITEM_20160310_010326	Old Backpack	낡은 배낭
ITEM_20160310_010327	กระเป๋าเก่าๆ ที่มีปฏิกิริยากับเครื่องตรวจจับเวทมนตร์ มันมีสิ่งของมากมายที่ไม่รู้จักเต็มไปหมด	마법 탐지기에 반응하던 낡은 배낭. 용도를 알 수 없는 물건이 가득 들어있습니다.
ITEM_20160310_010328	Arnim Coral Piece	아그님 산호 조각
ITEM_20160310_010329	ชิ้นส่วนแปลกประหลาดของประการัง ไม่เคยเห็นมันมาก่อน น่าจะมาจากประการังใกล้ๆ	독특하게 생긴 산호 조각. 이 근방에서는 보기 힘든 종이라고 합니다. 얻은 곳 근처의 산호들을 살펴보세요.
ITEM_20160320_010330	Hoglan Companion Voucher	호글란 교환권
ITEM_20160320_010331	ใช้แลก Hoglan companion ที่ Companion Shop	컴패니언 상점에서 호글란으로 교환할 수 있습니다.
ITEM_20160323_010332	Ribbon Arm Band	리본 암밴드
ITEM_20160323_010333	Critti Cannon	크리티 캐논
ITEM_20160323_010334	Vista Cannon	비스타 캐논
ITEM_20160323_010335	Erera Cannon	이레라 캐논
ITEM_20160323_010336	Stropy Cannon	스트로피 캐논
ITEM_20160323_010337	Agvara Cannon	아그바라 캐논
ITEM_20160323_010338	Bronza Medal	브론자 메달
ITEM_20160323_010339	Argint Medal	아르진트 메달
ITEM_20160323_010340	Auru Medal	아우르 메달
ITEM_20160323_010341	Platina Medal	플라티나 메달
ITEM_20160323_010342	Bronza Bracelet	브론자 브레이슬릿
ITEM_20160323_010343	Argint Bracelet	아르진트 브레이슬릿
ITEM_20160323_010344	Auru Bracelet	아우르 브레이슬릿
ITEM_20160323_010345	Platina Bracelet	플라티나 브레이슬릿
ITEM_20160323_010346	Archer Circle 3 Costume	아처 3서클 코스튬
ITEM_20160323_010347	Priest Circle 3 Costume	프리스트 3서클 코스튬
ITEM_20160323_010348	Leaf Ornament Helmet	나뭇잎 장식 투구
ITEM_20160323_010349	หมวกที่ประดับไปด้วยใบไม้ ซึ่งใบไม้เป็นสัญลักษณ์ของพรจากเทพธิดา	나뭇잎이 장식된 투구입니다. 나뭇잎은 여신의 축복을 상징합니다.
ITEM_20160323_010350	Party Horn	풍선피리
ITEM_20160323_010351	เสียงเชียร์จะดังขึ้นหากคุณเป่ามัน สามารถใช้ได้ทุกๆ 30 วินาที	입으로 불면 경쾌한 소리가 나지만 30초에 한번 사용 할 수 있습니다.
ITEM_20160323_010352	Title - Story Teller	칭호-이야기꾼
ITEM_20160323_010353	ใช้มันเพื่อให้ได้รับยศนี้	사용 시 칭호를 획득합니다.
ITEM_20160323_010354	100 Days Celebration Potion	100일 기념 포션
ITEM_20160323_010355	เพิ่มความเร็วในการเคลื่อนที่ 2 หน่วย PAtk และ MAtk เพิ่ม 50 หน่วย เป็นเวลา 1 ชั่วโมง คลิกขวาเพื่อใช้งาน	1시간 동안 이동속도 +2, 물리 공격력 +50, 마법 공격력 +50 증가합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20160323_010356	ใช้ป้องกันไม่ให้การอัพเกรดเหลือ 0 อุปกรณ์สวมใส่จะไม่โดนทำลายหากล้มเหลวในการอัพเกรด เช่น เพื่อคุณอัพเกรดจนถึง +12 หรือมากกว่า มันจะลดลงเพียงแค่ +10 คลิกขวาเพื่อใช้งาน	포텐셜이 0인 장비에만 사용가능 하며, 실패해도 장비가 파괴되지 않습니다. 실패시 강화수치가 1 감소하며, +12 강화 이상에서 실패 시 강화 수치가 +10 강화로 감소합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20160323_010357	Silver Anvil	은빛 모루
ITEM_20160323_010358	วางอุปกรณ์สวมใส่ลงบนทั่งเหล็กแล้วตีเพื่ออัพเกรดมัน คุณสามารถอัพเกรดอุปกรณ์สวมใส่ได้โดยไม่ต้องเสียเงินเลย คลิกขวาเพื่อใช้งาน	모루 위에 장비를 놓고 두드리면 성능이 향상됩니다. 실버 소비 없이 장비를 강화할 수 있습니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20160323_010359	มันดูเหมือนเล็ก แต่ว่าใหญ่พอที่จะทำให้รู้สึกเจ็บได้ ได้จาก Tontus	크기는 작지만 아픔을 느끼기에는 충분합니다. 톤투스에게서 획득합니다.
ITEM_20160323_010360	Demono Amulet	데모나스 어뮬렛
ITEM_20160323_010361	[เอฟเฟค] มีโอกาส 0.8% ที่จะเกิดค่าความเสียหายเพิ่มเติม 8640 หน่วย กับมอนสเตอร์ประเภท Devil	[장착 효과] 악마형에게 기본공격시 0.8% 확률로 8640의 추가 대미지
