QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000730	Let me introduce myself once more.{nl}I am not an adventurer.	ฉันขอแนะนำตัวเองอีกครั้ง{nl}ฉันไม่ได้เป็นนักผจญภัย
QUEST_LV_0400_20161005_000731	{nl}I am here on the orders of General Lhamin who is attempting to reconstruct the Kingdom.{nl}It is to find Taniel the Second's Royal Mausoleum which is rumored to be in Syla Forest.	{nl}ฉันอยู่ที่นี่ตามคำสั่งของ General Lhamin ผู้ซึ่งพยายามที่จะบูรณะอาณาจักร{nl}เพื่อหาทางเข้า Taniel the Second's Royal Mausoleum ซึ่งลือว่าอยู่ใน Syla Forest
QUEST_LV_0400_20161005_000732	"{nl}Marcus is an officer here to protect me but he has been wounded.{nl}Please, could you help me finish my mission?"	{nl}Marcus เป็นผู้ที่จะช่วยปกป้องฉันที่นี่แต่เขาได้รับบาดเจ็บ{nl}ได้โปรดช่วยฉันทำภารกิจให้เสร็จสิ้นได้หรือไม่?
QUEST_LV_0400_20161005_000733	Thank you.{nl}We were attacked by the Kugheri on behalf of the demons.	ขอบคุณ{nl}พวกเราถูกโจมตีโดยปีศาจ Kugheri
QUEST_LV_0400_20161005_000734	"We knew that they didn't like humans, but we didn't know that they would attack us with such numbers.{nl}They must have made an agreement with the demons."	เรารู้ว่าพวกเขาไม่เหมือนมนุษย์แต่พวกเราไม่รู้ว่าพวกเขาจะโจมตีเราด้วยตัวเลขดังกล่าว{nl}พวกเขาจะต้องมีการทำข้อตกลงกับปีศาจอย่างแน่แท้
QUEST_LV_0400_20161005_000735	{nl}They are sure to be searching for us nearby.{nl}Please reduce their numbers a bit.	{nl}พวกเขาจะต้องทำการค้นหาในบริเวณใกล้ๆ นี้เพื่อพวกเราอย่างแน่นอน{nl}ได้โปรดลดจำนวนพวกเขาลงเล็กน้อย
QUEST_LV_0400_20161005_000736	General Lhamin is trying to reconstruct the Kingdom.{nl}He wishes to utilize anything possible to do so.	General Lhamin พยายามที่จะบูรณะอาณาจักร{nl}เขาปรารถนาที่จะใช้ประโยชน์จากสิ่งที่เป็นไปได้ทั้งหมด
QUEST_LV_0400_20161005_000737	{nl}He had come across a legend that had been passed down by Royalty.	{nl} เขาได้เจอตำนานที่ได้รับการส่งผ่านลงมาจากราชวงศ์
QUEST_LV_0400_20161005_000738	{nl}It is said that Taniel the Second had created another Royal Mausoleum.{nl}It is said that much information was stored there to prepare for some sort of catastrophe.	{nl}กล่าวไว้ว่า Taniel the Second ได้มีการสร้าง Royal Mausoleum อีกแห่ง{nl}ซึ่งกล่าวว่ามีข้อมูลจำนวนมากได้ถูกเก็บไว้ที่นั่นเพื่อเตรียมความพร้อมสำหรับภัยพิบัติบางอย่างทื่อาจเกิดขึ้น
QUEST_LV_0400_20161005_000739	{nl}The General firmly believes that the information stored there will be of great help.	{nl}โดยทั่วไปมีความเชื่อว่าข้อมูลดังกล่าวที่ถูกเก็บไว้จะได้รับการดูแลเป็นอย่างดี
QUEST_LV_0400_20161005_000740	{nl}It is said that you must be of Royal descent in order to find the Royal Mausoleum's entrance.{nl}That's why I have been honorably chosen as a far relative of the Royalty.	{nl}กล่าวไว้ว่าคุณต้องสืบเชื้อสายราชวงศ์เพื่อหาทางเข้า Royal Mausoleum{nl}นั่นเป็นเหตุผลว่าทำไมฉันได้รับเลือกเนื่องจากสืบเชื้อสายห่างๆ ของราชวงศ์นั่นเอง
QUEST_LV_0400_20161005_000741	"{nl}However, I never thought that the demons would be searching for the Royal Mausoleum as well."	{nl}อย่างไรก็ตาม ฉันไม่เคยคิดว่าเหล่าปีศาจจะทำการค้นหา Royal Mausoleum ด้วยเช่นกัน
QUEST_LV_0400_20161005_000742	"{nl}There were two demons, but I spread misinformation and made one to to Emmet Forest.{nl}The other followed us here."	{nl}มีปีศาจอยู่สองตน แต่ฉันได้ปล่อยข้อมูลลวงและทำให้หนึ่งตนไปที่ Emmet Forest{nl}อีกหนึ่งตนติดตามเราอยู่ที่นี่
QUEST_LV_0400_20161005_000743	{nl}We wouldn't have been able to continue on our mission if we hadn't met you here.	{nl}พวกเราไม่สามารถที่จะทำภารกิจของเราต่อได้หากพวกเราไม่ได้พบคุณที่นี่
QUEST_LV_0400_20161005_000744	Please deal with the Kugheri Zeuni and Kugheri Zabbi that are after us.	โปรดจัดการกับ Kugheri Zeuni และ Kugheri Zabbi ที่ตามเรามา
QUEST_LV_0400_20161005_000745	"Thank you.{nl}However, we won't be able to rest easy until we deal with the demon behind them."	ขอบคุณ{nl}อย่างไรก็ตามพวกเราไม่สามารถที่จะพักได้ง่ายๆ จนกระทั่งพวกเราสามารถจัดการกับปีศาจที่อยู่เบื้องหลังได้
QUEST_LV_0400_20161005_000746	You have something for me?	คุณมีบางสิ่งสำหรับฉันหรือไม่?
QUEST_LV_0400_20161005_000747	{nl}...{nl}These are the orders from the demon!	{nl}...{nl}นี่เป็นคำสั่งจากปีศาจ!
QUEST_LV_0400_20161005_000748	"{nl}I don't know how the Kugheri were able to read this.{nl}I have learned of their language, so let me take a look and try to make something of it.{nl}"	{nl}ฉันไม่ทราบวิธีการที่ Kugheri จะสามารถอ่านสิ่งนี้ได้{nl}ฉันได้ทำการเรียนรู้ภาษาของพวกมันซึ่งฉันเฝ้าดูและพยายามที่จะทำบางสิ่งกับมัน{nl}
QUEST_LV_0400_20161005_000749	I wasn't able to decipher the orders you brought me.{nl}I am sure that there are more orders...	ฉันไม่สามารถที่จะถอดรหัสคำสั่งที่คุณนำมาให้ฉันได้{nl}ฉันแน่ใจว่าน่าจะมีคำสั่งเพิ่มเติม...
QUEST_LV_0400_20161005_000750	"{nl}Maybe I'll be able to make sense of them if I am able to compare and contrast the letters.{nl}I'm sorry, but could you please get me more of the demon's orders?"	{nl}บางทีฉันอาจจะสามารถเข้าใจความรู้สึกของพวกเขาได้หากฉันสามารถเปรียบเทียบและหาความแตกต่างของจดหมายนี้ได้{nl}ฉันเสียใจแต่คุณสามารถมอบคำสั่งปีศาจให้ฉันมากกว่านี้ได้หรือไม่?
QUEST_LV_0400_20161005_000751	Thank you. You said that you gathered them from the Kugheri Zabbi?{nl}Please get me more of them from the Kugheri Zabbi on the road to Stabhas Lot.	ขอบคุณ คุณกล่าวว่าคุณรวบรวมมันจาก Kugheri Zabbi ใช่หรือไม่?{nl}ได้โปรดนำมันมาให้ฉันมากกว่านี้โดยหาจาก Kugheri Zabbi บนถนน Stabhas Lot
QUEST_LV_0400_20161005_000752	The Kugheri Zabbi should have more orders.{nl}I might be able to make some sense of it with more references.	Kugheri Zabbi น่าจะมีคำสั่งมากกว่านี้{nl}ฉันอาจจะสามารถเข้าใจความรู้สึกของมันได้หากมีแหล่งอ้างอิงเพิ่มเติม
QUEST_LV_0400_20161005_000753	Thank you.{nl}I'll try to figure out what the demon was scheming.	ขอบคุณ{nl}ฉันจะพยายามคิดให้ออกว่าปีศาจวางแผนอะไรไว้
QUEST_LV_0400_20161005_000754	I've looked at all of the material you brought me.{nl}Where to begin...	ฉันได้ทำการตรวจสอบวัสดุทั้งหมดที่คุณนำมาให้เรียบร้อยแล้ว{nl}ที่ไหนที่มันจะเริ่มต้นขึ้นนะ...
QUEST_LV_0400_20161005_000755	"{nl}It is said that the demon going after the Royal Mausoleum is called Vhalterris.{nl}Unlike his colleague, he has been chasing us quite cleverly."	{nl}กล่าวไว้ว่าปีศาจกำลังไปหลังจาก Royal Mausoleum ถูกเรียกว่า Vhalterris{nl}มันถูกขับไล่โดยพวกเราอย่างชาญฉลาดซึ่งแตกต่างจากเพื่อนของมัน
QUEST_LV_0400_20161005_000756	{nl}Marcus allowed us to both escape but...{nl}We lost a chest related to the Royal Mausoleum's secret.	{nl}Marcus อนุญาติให้เราทั้งสองหลบหนีแต่...{nl}พวกเราสูญเสียหีบที่เกี่ยวข้องกับความลับของ Royal Mausoleum
QUEST_LV_0400_20161005_000757	"{nl}According to these orders, it seems as if he has yet to unravel the secret held within that chest."	{nl}ดูเหมือนว่าหากเขายังไม่ได้คลี่คลายความลับที่อยู่ในกล่องนั้นตามคำสั่งเหล่านี้
QUEST_LV_0400_20161005_000758	"{nl}Revelator.{nl}I know that this is a difficult request, but could you please retrieve that chest for me?"	{nl}Revelator{nl}ฉันรู้ว่านี่เป็นคำขอที่ยากแต่คุณจะกรุณาช่วยฉันนำหีบกลับมาให้ฉันได้หรือไม่?
QUEST_LV_0400_20161005_000759	Thank you.{nl}He seems to be wondering around Apeighos Altar since he was unable to unravel the secret.	ขอบคุณ{nl}เขาดูประหลาดใจกับรอบๆ Apeighos Altar ตั้งแต่เขาไม่สามารถคลี่คลายความลับได้
QUEST_LV_0400_20161005_000760	Please retrieve the chest after defeating Vhalterris.	กรุณานำหีบกลับมาให้ฉันหลังจากเอาชนะ Vhalterris ได้
QUEST_LV_0400_20161005_000761	Thank you.{nl}We've been able to get the chest back and remove the demon at the same time thanks to you!	ขอบคุณ{nl}พวกเราสามารถได้รับหีบคืนมาและจัดการปีศาจได้ในเวลาเดียวกัน ขอขอบคุณมาก!
QUEST_LV_0400_20161005_000762	"Now we'll be able to focus on searching for the entrance.{nl}However, there is something more I should tell you."	ตอนนี้เราควรจะมุ่งทำการค้นหาทางเข้า{nl}อย่างไรก็ตามมีหากมีสิ่งใดเพิ่มเติมฉันจะแจ้งให้ทราบอีกครั้ง
QUEST_LV_0400_20161005_000763	{nl}We will only be able to find the entrance if we solve various puzzles.{nl}The chest you brought back is the start of the puzzles.	{nl}พวกเราจะสามารถค้นหาทางเข้าได้หากพวกเราสามารถแก้ปริศนาต่างๆ ได้{nl}โดยหีบที่คุณนำกลับมานั้นเป็นจุดเริ่มต้นของปริศนาดังกล่าว
QUEST_LV_0400_20161005_000764	"{nl}An important clue is stored in the chest you retrieved, but it will not simply open.{nl}We will have to learn how to open it with the five colors on this lock."	{nl}เบาะแสสำคัญถูกเก็บไว้ในหีบที่คุณนำกลับมานี้แต่มันไม่สามารถเปิดได้{nl}พวกเราจะต้องหาเรียนรู้วิธีที่จะเปิดมันด้วยสีทั้งห้าที่อยู่บนล็อคนี้
QUEST_LV_0400_20161005_000765	"{nl}According to legend, there are five trees near the hidden entrance of the Royal Mausoleum, and those trees will indicate different colors.{nl}I can't leave Marcus behind, so could you please survey the trees instead?"	{nl}จากตำนาน มีต้นไม้ทั้งห้าอยู่ใกล้ๆ ประตูทางเข้าที่ถูกซ่อนอยู่ของ Royal Mausoleum และต้นไม้เหล่านั้นจะมีสีที่แตกต่างกัน{nl}ฉันไม่สามารถทิ้ง Marcus ไว้เบื้องหลังได้ดังนั้นได้โปรดช่วยฉันสำรวจต้นไม้แทนฉันได้หรือไม่?
QUEST_LV_0400_20161005_000766	"Here, take this engraving and map.{nl}This engraving, which has the Royal Seal, is said to have magic infused on it."	ที่นี่ โปรดนำจารีกนี้และแผ่นที่ไป{nl}จารึกนี้มีตราประทับราชวงค์ซึ่งกล่าวไว้ว่ามีเวทมนตร์อยู่บนมัน
QUEST_LV_0400_20161005_000767	{nl}It is said to be part of a set with the box and will react to the trees there.	{nl}กล่าวไว้ว่านี่เป็นส่วนหนึ่งของกล่องและจะทำปฎิกิริยาตอบสนองกับต้นไม้เหล่านั้น
QUEST_LV_0400_20161005_000768	{nl}The map is supposed to have the location of the trees marked on it.{nl}Go to each tree marked on the map and see which colors it reacts to.	{nl}แผนที่ควรจะมีสถานที่ตั้งของต้นไม้ปรากฎอยู่{nl}ไปที่ต้นไม้แต่ละต้นที่มีเครื่องหมายปรากฎอยู่บนแผนที่และดูสีของมัน
QUEST_LV_0400_20161005_000769	Go to the trees marked on the map and use the Royal Seal to see how they react to each tree.	ไปที่ต้นไม้ที่มีเครื่องหมายปรากฎอยู่บนแผนที่และใช้ตราประทับของราชวงศ์และดูว่ามันทำปฎิกิริยากับต้นไม้แต่ละต้นอย่างไร
QUEST_LV_0400_20161005_000770	I sent Marcus back to Fedimian since he recovered enough to travel by himself.{nl}How is your investigation going?	ฉันส่ง Marcus กลับไปที่ Fedimian ตั้งแต่เขาสามารถที่จะเดินทางได้ด้วยตัวเขาเอง{nl}การสืบสวนของคุณเป็นอย่างไรบ้าง?
QUEST_LV_0400_20161005_000771	{nl}Red... and blue...	{nl}สีแดง... และสีฟ้า...
QUEST_LV_0400_20161005_000772	{nl}Ah...!	{nl}อ่า...!
QUEST_LV_0400_20161005_000773	{nl}Of course!	{nl}แน่นอน!
QUEST_LV_0400_20161005_000774	{nl}I think I know how to open it!	{nl}ฉันคิดว่าฉันรู้ว่าควรเปิดมันอย่างไร!
QUEST_LV_0400_20161005_000775	The chest has opened!	หีบเปิดได้แล้ว!
QUEST_LV_0400_20161005_000776	{nl}Let's see here... There's a stone slate.	{nl}ลองดูที่นี่...มีกระดานชนวนหินอยู่
QUEST_LV_0400_20161005_000777	{nl}Let me see what it says.{nl}Hmm...	{nl}ได้โปรดให้ฉันดูว่ามันกล่าวอะไร{nl}อืมม...
QUEST_LV_0400_20161005_000778	Grasp the time at which you are granted audience with the King.{nl}The guardian will appear as the King looks down upon your last light.	เข้าใจเมื่อครั้นคุณได้เข้าเป็นผู้ชมร่วมกับกษัตริย์{nl}ผู้ปกครองจะปรากฎตัวเสมือนกษัตริย์ที่มองลงมาที่บนลำแสงสุดท้ายของคุณ
QUEST_LV_0400_20161005_000779	{nl}Ah... This seems to be another riddle.{nl}We should go to Lykhas Crossroads since it's mentioned in the records and go see what can be found.	{nl}อ่า... นี่น่าจะเป็นอีกปริศนา{nl}พวกเราควรจะไปที่ทาง Lykhas Crossroads เมื่อมันได้กล่าวในบันทึกและไปดูว่าเราจะสามารถพบสิ่งใดหรือไม่
QUEST_LV_0400_20161005_000780	There was a bit more content on the slate...{nl}It seems as if it requires the blood from royalty to be read.	มีเนื้อหาอีกเล็กน้อยบนกระดานชนวน...{nl}ดูเหมือนว่ามันต้องใช้เลือดจากราชวงค์ที่ได้อ่านข้อความนี้
QUEST_LV_0400_20161005_000781	{nl}I suppose this was the reason they needed royalty to find the entrance.	{nl}ฉันคิดว่านี่เป็นเหตุผลที่พวกเขาต้องการให้ราชวงค์เป็นผู้ค้นพบทางเข้านี้
QUEST_LV_0400_20161005_000782	"{nl}However, the seal seems to be damaged since it has been passed down for generations.{nl}It seems to have consumed all of it's magic when you where investigating the trees."	{nl}อย่างไรก็ตาม ตราประทับดูเหมือนจะได้รับความเสียหายตั้งแต่มันได้รับการสืบทอดมาหลายชั่วอายุคน{nl}ดูเหมือนว่ามีการใช้พลังเวทมนตร์จนหมดเมื่อคุณค้นหาที่สถานที่ตั้งของต้นไม้เหล่านั้น
QUEST_LV_0400_20161005_000783	{nl}We'll have to look for a way to recharge the seal.	{nl}พวกเราจะหาวิธีเพิ่มพลังตราประทับนี้
QUEST_LV_0400_20161005_000784	All that's left is to find the Royal Mausoleum's entrance since we've seen the guardian.{nl}Please stick around a little bit more.	ที่เหลือคือการหาทางเข้า Royal Mausoleum นับตั้งแต่ที่เราได้พบผู้ปกครอง{nl}กรุณานำกิ่งไม้วางไว้รอบๆมากกว่านี้อีกสักนิด
QUEST_LV_0400_20161005_000785	"I don't know too much about how it's working, but I do think that it's impressive they created such seals a few hundred years ago."	ฉันไม่รู้อะไรมากนักว่ามันทำงานอย่างไร แต่ฉันคิดว่ามันน่าประทับใจที่พวกเขาสร้างตราประทับเหล่านี้ในช่วงไม่กี่ร้อยปีที่ผ่านมา
QUEST_LV_0400_20161005_000786	I was able to finish General Lhamin's mission thanks to you.{nl}Thank you.	ฉันสามารถที่จะทำภารกิจของ General Lhamin เสร็จสิ้นได้เพราะคุณ{nl}ขอบคุณมาก
QUEST_LV_0400_20161005_000787	We'll need to reseal this Royal Mausoleum to prevent it from falling into the wrong hands.	พวกเราจะปิดผนึก Royal Mausoleum นี้ใหม่เพื่อป้องกันไม่ให้ตกไปอยู่ในมือคนผิด
QUEST_LV_0400_20161005_000788	I have no idea on how to recharge the magic though...{nl}Do you have any good ideas?	ฉันไม่รู้เลยว่าจะทำการเพิ่มพลังเวทมนตร์ได้อย่างไร...{nl}คุณมีความคิดที่ดีหรือไม่?
QUEST_LV_0400_20161005_000789	Will that work?{nl}I somehow feel as if this isn't your first time doing this...	จะสำเร็จหรือไม่?{nl}ฉันรู้สึกว่านี่ไม่ใช่ครั้งแรกของคุณที่ทำสิ่งนี้...
QUEST_LV_0400_20161005_000790	"{nl}Well, let's try your idea then.{nl}Please fill the seal with Kugheri Tribe souls."	{nl}เยี่ยม ลองทำตามความคิดคุณดูก่อน{nl}กรุณาใส่ตราประทับพร้อมด้วยวิญญาณ Kugheri Tribe
QUEST_LV_0400_20161005_000791	Please fill the seal with Kugheri Tribe souls.	กรุณาใส่ตราประทับพร้อมด้วยวิญญาณ Kugheri Tribe
QUEST_LV_0400_20161005_000792	"However, we can't go into the Royal Mausoleum like this.{nl}We'll need to report back to the General and get a proper survey team here."	อย่างไรก็ตาม พวกเราไม่สามารถเข้าไปใน Royal Mausoleum ได้{nl}เราจะต้องทำการรายงานกลับไปที่นายพลและหาทีมสำรวจที่เหมาะสมกับที่นี่
QUEST_LV_0400_20161005_000793	{nl}Leaving the entrance open like this won't do though...{nl}We shoul reseal the entrance now that we know where it's exact location is now.	{nl}เราไม่ควรปล่อยให้ประตูทางเข้าเปิดอยู่เช่นนี้...{nl}เราควรจะปิดผนึกทางเข้าซะเพราะเรารู้สถานที่ตั้งที่แน่ชัดแล้วขณะนี้
QUEST_LV_0400_20161005_000794	{nl}Could you help me a bit more?	{nl}คุณสามารถช่วยฉันมากกว่านี้ได้หรือไม่?
QUEST_LV_0400_20161005_000795	We can't use the Royal Seal to reseal the entrance...{nl}Especially since there's a risk of it being destroyed...	พวกเราไม่สามารถใช้ตราประทับราชวงศ์ในการปิดผนึกทางเข้านี้ได้...{nl}โดยเฉพาะอย่างยิ่งมันมีความเสี่ยงที่จะเสียหายลงหากใช้มัน...
QUEST_LV_0400_20161005_000796	{nl}We'll have to find something to replace it.	{nl}เราจะต้องหาบางสิ่งมาเพื่อทดแทนมัน
QUEST_LV_0400_20161005_000797	{nl}The Kugheri Numani carry staffs adorned with bells that they use for their rituals.{nl}I'm sure that the bells have some sort of power that allows them to use their magic.	{nl}Kugheri Numani ส่งเหล่าคณะทำงานที่ตกแต่งด้วยกระดิ่งซึ่งพวกเขาใช้สำหรับประกอบพิธีกรรม{nl}ฉันแน่ใจว่ากระดิ่งนั้นมีพลังงานบางส่วนที่ทำให้เขาสามารถใช้เวทมนตร์ได้
QUEST_LV_0400_20161005_000798	{nl}I'll look for a way to reseal the entrance while you gather the staffs.	{nl}ฉันจะหาวิธีในการปิดผนึกทางเข้าในขณะที่คุณรวบรวมคนงาน
QUEST_LV_0400_20161005_000799	Please gather me the staffs from the Kugheri Numani from the surrounding area.	กรุณารวบรวมคนจากบริเวณโดยรอบของ Kugheri Numani มาให้ฉัน
QUEST_LV_0400_20161005_000800	Good job.{nl}I hope this works...	ทำงานได้ดี{nl}ฉันคาดหวังกับงานนี้มาก...
QUEST_LV_0400_20161005_000801	{nl}I hope the staffs you gathered will contain enough magic...	{nl}ฉันหวังว่าเหล่าคนงานที่คุณทำการรวบรวมมาจะมีพลังเวทมนตร์เพียงพอ...
QUEST_LV_0400_20161005_000802	It worked!{nl}The Royal Mausoleum entrance has been resealed.	มันได้ผล!{nl}ทางเข้าสุสานหลวงได้รับการปิดผนึกแล้ว
QUEST_LV_0400_20161005_000803	{nl}I wasn't sure if this would work.{nl}I'll be able to return and report without worrying too much now.	{nl}ฉันไม่แน่ใจว่าสิ่งนี้จะสำเร็จ{nl}ฉันสามารถกลับไปรายงานได้โดยไม่มีความกังวลมากนักในตอนนี้
QUEST_LV_0400_20161005_000804	"The entrance has been resealed.{nl}However, there are still a few of the Kugheri Tribe that know where the entrance is located."	ทางเข้าได้รับการปิดผนึกแล้ว{nl}อย่างไรก็ตาม ยังคงมีคนบางส่วนของ Kugheri Tribe ซึ่งรู้สถานที่ตั้งของทางเข้า
QUEST_LV_0400_20161005_000805	{nl}We need to make sure that the location doesn't get into the hands of any demons.{nl}Please make sure there aren't any loose ends.	{nl}พวกเรามั่นใจว่าสถานที่ตั้งดังกล่าวไม่ได้อยู่ในมือของเหล่าปีศาจ{nl}โปรดมั่นใจว่าเราตรวจสอบอย่างรัดกุมที่สุดแล้ว
QUEST_LV_0400_20161005_000806	There will still be some Kugheri that followed Vhalterris.{nl}Please deal with them.	ยังคงมี Kugheri บางส่วนที่ติดตาม Vhalterris อยู่{nl}โปรดจัดการพวกมันด้วย
QUEST_LV_0400_20161005_000807	It seems as if most of the Kugheri that had followed Vhalterris have been dealt with.{nl}Please make sure that there are no more loose ends and deal with the rest of the Kugheri Tribe.	ดูเหมือนว่า Kugheri  ส่วนใหญ่ที่ติดตาม Vhalterris จะถูกจัดการไปแล้ว{nl}โปรดตรวจสอบให้แน่ใจและโปรดจัดการกับ Kugheri Tribe ที่เหลือด้วย
QUEST_LV_0400_20161005_000808	This information must be kept from getting into the hands of the demons.{nl}Please prevent the Kugheri Tribe from talking.	ข้อมูลเหล่านี้ถูกเก็บไว้อย่างดีไม่ควรหลุดไปอยู่ในมือของเหล่าปีศาจ{nl}โปรดระวัง Kugheri Tribe ทราบข้อความในการพูดคุยครั้งนี้ด้วย
QUEST_LV_0400_20161005_000809	"Good job.{nl}However, there are still some Kugheri that had followed Vhalterris."	ทำได้ดี{nl}อย่างไรก็ตาม ยังคงมี Kugheri บางส่วนติดตาม Vhalterri อยู่
QUEST_LV_0400_20161005_000810	"It may seem a bit extreme, but they brought this upon themselves when they decided to cooperate with the demons.{nl}Anyhow, this should be enough."	มันอาจจะดูเหมือนเล็กน้อยมาก แต่พวกเขานำสิ่งนี้เมื่อเขาตัดสินใจที่จะร่วมมือกับปีศาจ{nl}ทั้งนี้ นี่ควรจะเพียงพอแล้ว
QUEST_LV_0400_20161005_000811	{nl}The Kugheri Tribe here will not be able to talk so easily now...	{nl}Kugheri Tribe ที่นี่ไม่สามารถพูดคุยได้โดยง่ายนักในขณะนี้...
QUEST_LV_0400_20161005_000812	"{nl}It seems as if I keep owing you.{nl}If you ever get the chance to see General Lhamin, please remember to stop by and say hello."	{nl}ดูเหมือนว่าหากฉันเก็บไว้เพื่อคุณ{nl}หากคุณมีโอกาสได้พบ General Lhamin โปรดจำไว้ว่าควรหยุดและกล่าวสวัสดี
QUEST_LV_0400_20161005_000813	Investigation Team Leader Ella	Investigation Team Leader Ella
QUEST_LV_0400_20161005_000814	What... what is a traveler doing here?{nl}I don't know how you came here but this place is too dangerous. Please leave at once.	อะไร...อะไรที่นักท่องเที่ยวกำลังทำที่นี่ ?{nl}ฉันไม่ทราบว่าคุณสามารถมาที่นี่ได้อย่างไร แต่สถานที่แห่งนี้อันตรายมาก กรุณาออกไปโดยเร็ว
QUEST_LV_0400_20161005_000815	I don't know if what my men and I are doing here mean anything...{nl}There are many more important things but... I'm following orders here but...	ฉันไม่ทราบว่าสิ่งที่คนของฉันและฉันกำลังทำที่นี่หมายความว่าอะไร...{nl}นั่นมันเป็นสิ่งที่สำคัญมากแต่... ฉันทำตามคำสั่งนี้แต่...
QUEST_LV_0400_20161005_000816	I suppose there's no choice but to quickly retrieve what we've came for before heading back.{nl}I'll happily accept any help you can offer.	ฉันคิดว่าไม่มีทางเลือกแต่โปรดนำสิ่งที่เราต้องการกลับมาอย่างรวดเร็วก่อนที่จะมุ่งหน้ากลับ{nl}ฉันซาบซึ่งที่ได้รับความช่วยเหลือที่คุณเสนอครั้งนี้
QUEST_LV_0400_20161005_000817	I don't have the faintest clue as to why goblins might want parchment.	ฉันไม่มีเบาะแสด้วยซ้ำว่าทำไมก๊อบลินถึงต้องการกระดาษหนังนี้
QUEST_LV_0400_20161005_000818	"I had no idea that there would be such a monster threatening the goblins.{nl}Whatever the case may be, we were able to finish up quickly thanks to your help."	ฉันไม่คิดว่านี่จะเป็นเพราะมอนสเตอร์ทำการข่มขู่เหล่าก๊อบลิน{nl}ไม่ว่าจะกรณืใดๆ ก็ตาม เราจะสามารถทำมันสำเร็จได้อย่างรวดเร็วด้วยความช่วยเหลือของคุณ
QUEST_LV_0400_20161005_000819	I think the end of this mission is in sight.{nl}We'll start preparing to head back as soon as all of my men get back.	ฉันคิดเป้าหมายของภารกิจนี้อย่างลึกซึ้ง{nl}พวกเราจะเริ่มเตรียมที่จะมุ่งหน้ากลับมาอย่างเร็วที่สุดเท่าที่คนของฉันจะสามารถทำได้
QUEST_LV_0400_20161005_000820	Investigator Gasper	Investigator Gasper
QUEST_LV_0400_20161005_000821	Shh...! Quiet!{nl}Do you want to be found by the goblins?!	จุ๊ๆ...! เงียบ!{nl}ก๊อบลินต้องการที่จะพบคุณใช่หรือไม่?!
QUEST_LV_0400_20161005_000822	I don't know how I got into this situation...{nl}How am I supposed to retrieve anything from that mess of monsters...	ฉันไม่รู้ว่าควรทำอย่างไรเพื่อให้ฉันได้ได้เข้าไปอยู่ในสถานการณ์นี้...{nl}ฉันควรทำอย่างไรเพื่อนำบางสิ่งคืนจากมอนสเตอร์ที่ไร้ซึ่งระเบียบเหล่านี้...
QUEST_LV_0400_20161005_000823	I'll at least have something to show Ellas thanks to you.{nl}I appreciate the help.	อย่างน้อยฉันก็มีบางสิ่งที่จะแสดงความขอบคุณต่อ Ellas {nl}ฉันซาบซึ้งในความช่วยเหลือนี้
QUEST_LV_0400_20161005_000824	Now all we have to figure out is how to get out of here with these books...	ตอนนี้สิ่งที่เราต้องคิดให้ออกคือจะออกจากที่นี่กับหนังสือเหล่านี้ได้อย่างไร...
QUEST_LV_0400_20161005_000825	Investigator Horatio	Investigator Horatio
QUEST_LV_0400_20161005_000826	I'm sure that there are a lot of books just waiting under this roof...{nl}All of this will mean nothing if we aren't able to take a look at what is there.	ฉันมั่นใจว่าหนังสือจำนวนมากเหล่านี้เพียงเฝ้ารอใต้หลังคาแห่งนี้...{nl}ทั้งหมดนี้จะไม่มีความหมายอะไรหากเราไม่สามารถที่จะดูสิ่งที่มีในหนังสือเหล่านี้ได้
QUEST_LV_0400_20161005_000827	Are you sure you're where you should be?{nl}Those green goblins are dangerous. Please be careful.	คุณแน่ใจหรือไม่ว่าคุณอยู่ในที่ที่ควรจะอยู่?{nl}ก๊อบลินสีเขียวเหล่านี้อันตรายมาก กรุณาระมัดระวัง
QUEST_LV_0400_20161005_000828	I was able to investigate the building thanks to your help.{nl}Thank you once again.	ฉันสามารถที่จะทำการสำรวจสิ่งปลูกสร้างนี้ได้ต้องขอบคุณความช่วยเหลือของคุณ{nl}ต้องขอขอบคุณอีกครั้ง
QUEST_LV_0400_20161005_000829	"It appears that the goblins don't wander around inside too much.{nl}Of course, that is what allowed me to do some actual investigating..."	ปรากฏว่าก๊อบลินไม่ได้เดินอยู่ภายในมากนัก{nl}แน่นอนว่านั่นทำให้ฉันสามารถที่จะทำการสำรวจได้อย่างแท้จริง...
QUEST_LV_0400_20161005_000830	I need to... protect... Dalia...{nl}But I can't move properly...	ฉันต้องการที่จะ... ปกป้อง... Dalia...{nl}แต่ฉันไม่สามารถย้ายได้อย่างถูกต้อง...
QUEST_LV_0400_20161005_000831	This cursed engraving on my right arm will keep evil energy flowing into my body{nl}unless I decide to give up my current form.{nl}	คำสาปนี้ถูกสลักไว้บนแขนข้างขวาของฉันซึ่งจะเก็บพลังชั่วร้ายเพื่อให้ไหลเวียนเข้ามาในร่างกายฉัน{nl}จนกว่าฉันตัดสินใจละทิ้งรูปแบบปัจจุบันของฉันไป{nl}
