QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20151102_002937	"Only if our town also had an inn for merchants to stay and rest.{nl}We could've prepared beforehand...{nl}After spending so long at an inlet of a valley, we got to suffer for not knowing the world affairs."	เมืองของพวกเรามีที่พักให้กับพ่อค้าที่จะมาอาศัย{nl}พวกเราสามารถเตรียมพร้อมรับมือได้...{nl}หลังจากที่ใช้เวลานานในการเข้ามาที่หุบเขา พวกเราได้รับความลำบากหากไม่รู้เรื่องเกี่ยวกับโลกแห่งการค้า
QUEST_20151102_002938	Living there inside of Orsha's partially destroyed fortress.{nl}Living here with swarming monsters and fear of safety.{nl}Both are tough choices to make.{nl}I wish to return back to my hometown...	อาศัยอยู่ที่นั่นในป้อมปราการ Orsha ที่ถูกทำลายบางส่วน{nl}อาศัยอยู่ที่นี่ที่มีกลุ่มของมอนสเตอร์รายล้อมและมันน่ากลัวเกี่ยวกับความปลอดภัย{nl}ทั้งสองทางมันทำให้ข้าอยากกลับบ้าน
QUEST_20151102_002939	"Please let the people with the smell of the ocean to head down to Dallanas.{nl}It's starting to become uneasy with the people not to be seen as time passes.{nl}By any chance, did they all leave to Orsha without me?"	โปรดบอกผู้คนที่มีกลิ่นของทะเลที่มุ่งหน้าไปที่Dallanas{nl}มันเป็นสิ่งที่เริ่มไม่สบายใจเมื่อเวลาผ่านไป{nl}ในบางโอกาสมันทำให้พวกเขาออกจาก Orsha โดยไม่มีข้า?
QUEST_20151102_002940	There's no way that such a huge amount of people can enter Orsha.{nl}That's why we try to gather and accommodate them here as much as possible.	มีหลายคนไม่สามารถเข้าไปที่ Orsha ได้{nl}ดังนั้นข้าจะคอยอยู่ที่นี่เพื่อรวมรวบคนให้ได้มากที่สุดเท่าที่เป็นไปได้
QUEST_20151102_002941	Lethargy and fear can be seen in people's eyes.{nl)What would you do if you were the village chief?	ข้าเห็นผู้คนทำอะไรไม่ถูกมีความหวาดกลัวในสายตาของพวกเขา{nl}เจ้าจะทำอย่างไรถ้าเจ้าเป็นหัวหน้าหมู่บ้าน
QUEST_20151102_002942	{nl}It's the elderly's complaint...{nl}I worry for the lord...	มีข้อร้องเรียนจากชายชรา...{nl}ข้าเป็นห่วงท่าน
QUEST_20151102_002943	Those who are usually lazy are still carefree in these times of danger.{nl}People who were suppose to arrive early have yet to come.	คนที่ขี้เกียจยังคงไม่สนใจเกี่ยวกับอันตรายเวลานี้{nl}ผู้คนจะรอให้มาถึงตัวก่อนค่อยว่ากัน
QUEST_20151102_002944	"This land has been protected by the ancestors of my family.{nl}I will protect this land, no matter what hardship comes my way.{nl}Please lend me your power."	แผ่นดินนี้ถูกปกป้องมาจากบรรพบุรุษของครอบครัวข้า{nl}ข้าจะปกป้องมันด้วยวิธีของข้าไม่ว่าจะยากลำบากเพียงใด{nl}โปรดให้ข้ายืมพลังด้วย
QUEST_20151102_002945	There has been no case of demons being involved during the several years I spent as a chaser.{nl}I believe we have seen all the demons within this area.	ในช่วงที่ข้าเป็นนายพรานไม่เคยเจอกรณีที่มีปีศาจเลยในหลายปีที่ผ่านมา{nl}ข้าเชื่อว่าในพื้นที่นี้มีพวกมันเต็มไปหมด
QUEST_20151102_002946	The rumors about you are incredible.{nl}It has spread all around Orsha.	มันมีข่าวลือเกี่ยวกับเจ้า{nl}ตอนนี้มันแพร่หลายไปทั่ว Orsha แล้ว
QUEST_20151102_002947	I will have to revisit my hometown after this task.{nl}I wish to see my parents after experiencing such a horrible event.	ข้าจะกลับมาที่บ้านเกิดของข้าหลังจากเสร็จงานนี้{nl}ข้าอยากพบครอบครัวของข้าหลังจากประสบการณ์ที่เลวร้าย
QUEST_20151102_002948	I don't believe there are more important tasks over at Orsha than here.	ข้าไม่อยากเชื่อเลยว่างานนี้ที่ Orsha มันสำคัญมากกว่าที่นี่
QUEST_20151102_002949	I pray that all the informants are safe.	ข้าภาวนาให้ผู้แจ้งเบาะแสปลอดภัย
QUEST_20151102_002950	"To survive in such a world, a chaser should be more suitable than a hunter.{nl}"	เพื่อความอยู่รอดในโลกนี้ การเป็น Hunter น่าจะเหมาะกับเธอมากกว่า
QUEST_20151102_002951	Please find Urbonas instead of worrying about me.	ไม่ต้องกังวลไปที่ Urbonas เถอะ
QUEST_20151102_002952	Please save us from Marnox's grasp.	โปรดช่วยเราตีความจาก Marnox
QUEST_20151102_002953	"I miss the days of the peaceful Orsha.{nl}Those days are never coming back, right?"	ข้าคิดถึงวันที่เงียบสงบใน Orsha{nl}วันเหล่านั้นจะไม่มีวันกลับมาแล้วใช่ไหม?
QUEST_20151102_002954	The demons are coming down from the west.{nl}The events at Ashaq Basement Prison was just the beginning.{nl}How many more sacrifices will have to be done...{nl}I wonder how much longer we can protect Orsha.	พวกปีศาจลงมาจากทางตะวันตกเรื่อยๆแล้ว{nl}เหตุการณ์นี้ที่คุกของ Ashaq มันเป็นเพียงการเริ่มต้นเท่านั้น{nl}อาจจะมีเกิดการเสียสละในเหตุการณืนี้{nl}ข้ากำลังสงสัยว่าจะใช้เวลานานเท่าไรในการปกป้อง Orsha
QUEST_20151102_002955	All the wounds have yet to heal.{nl}We will leave when we are able to walk.	การบาดเจ็บยังไม่หายดีเท่าไร{nl}เมื่อสามารถลุกเดินได้พวกเราจะออกจากที่นี่
QUEST_20151102_002956	It's awful to believe that I could've disappeared.	มันน่ากลัวถ้าข้าจะหายไป
QUEST_20151102_002957	By any chance have you seen my cargo left at the Woods of the Linked Bridges?{nl}It should've had my mother's keepsake and other various items...	เจ้าเห็นสินค้าของข้าตรงสะพานเชื่อมบ้างหรือไม่?มันเป็นของที่ระลึกสำหรับแม่ของข้า
QUEST_20151102_002958	"When you leave this area, you will become a priest, {nl}that will further devote to the goddess' words...{nl}I pray that you return safely."	เมื่อไรที่เจ้าออกจากพื้นที่นี้ เจ้าจะได้เป็นบาทหลวง{nl}ที่จะอุทิศตนให้กับเทพธิดา{nl}ข้าขอให้เจ้าปลอดภัย
QUEST_20151102_002959	Chaser Daramaus	Chaser Daramaus
QUEST_20151102_002960	What kind of wealth and honor is Torvana enjoying and followed me here to a such a place...{nl}I must apologize to Torvana when I safely return from this place.	มันเป็นเกียรติที่  Torvana มีความสนุกและได้ติดตามข้ามาที่แห่งนี้...{nl}ข้าต้องขอโทษ ข้าปลอดภัยและกำลังกลับออกไปจากที่นี้
QUEST_20151102_002961	Chaser Torvana	Chaser Torvana
QUEST_20151102_002962	I followed here since Pranas usually has an acquaintance...{nl}But I did not know the fact that he was someone acting on such a reckless behavior.	ข้ามาที่นี่เพราะว่าคุ้นเคยกับ Pranas...{nl}แต่ข้าไม่รู้ว่าความจริงนั้นข้าได้รับงานที่เสี่ยงมาก
QUEST_20151102_002963	"Before the kingdom's capital was ruined, {nl}the kingdom's dispatched officers have been ransacking and annoying us...{nl}I miss those old times."	ก่อนที่ราชอาณาจักรถูกทำลาย{nl}ราชอาณาจักรได้ส่งคนออกไปทุกๆที่...{nl}ข้าคิดถึงเวลานั้น
QUEST_20151102_002964	I believe all the hardships here has become an experience.{nl}There are many stories to tell my kids when I return back to my hometown.	ข้าเชื่อความประสบการณ์นี้จะได้มาจากความยากลำบาก{nl}มีหลายเรื่องราวที่จะบอกลูกของข้า เมื่อข้ากลับไปที่บ้านเกิด
QUEST_20151102_002965	"I remember the time when they were recruiting chasers back at my hometown for the first time.{nl}I followed here by trusting in my brother, but there are simply too many tasks.{nl}Not to mention seriously dangerous."	ข้าจำได้ว่าข้าได้ถูกคัดเลือกครั้งแรกจากบ้านเกิดของข้า{nl}ข้าเชื่อมั่นในตัวพี่ชายข้า มันมีงานที่เยอะมาก{nl}ไม่ถูกถึงเรื่องอันตรายแล้วกันนะ
QUEST_20151102_002966	I have figured a way to live more diligently back at my hometown.{nl}I wish to see my family...	ข้าจะกลับไปที่บ้านเกิดและมีชีวิตที่เข้มแข็ง{nl}ข้าปรารถนาจะเห็นครอบครัวของข้า...
QUEST_20151102_002967	"If I can't handle this and runaway, I'll become a deserter...{nl}When this task is over, I will have to seriously consider being discharged.{nl}But if that does happen, I wouldn't know how I will from then on."	เจ้าไม่สามารถออกไปได้ ไม่งั้นเจ้าจะเป็นหนีทหาร...{nl}งานนี้เหมือนจะต้องมีการพิจารณาในการปลดออก{nl}แต่ถ้าไม่มี ข้าก็ไม่รู้จะทำอะไรต่อ
QUEST_20151102_002968	"After this work is over, {nl}I'll be requesting for a vacation to spend my days sleeping with my warm blanket."	หลังจากทำงานหนักๆมาแล้ว{nl}ข้าจะขอไปหลับสักที่กับผ้าอุ่นๆของข้า
QUEST_20151102_002969	Lord's Guard	Lord's Guard
QUEST_20151102_002970	The lord is extremely busy.{nl}Trivial matters should be inquired with a different manager.	ท่านลอร์ดนั้นยุ่งมาก{nl}มีปัญหานิดเดียวลองไปคุยกับผู้จัดการหรือเจ้าหน้าที่อื่นๆนะ
QUEST_20151102_002971	"There are too many people requesting to meet with the lord.{nl}Eventually, the lord has decided to leave the castle wall to calm the crowd."	มีคนมากกมายต้องการพบท่านลอร์ด{nl}เร็วๆนี้ ท่านลอร์ดได้ตัดสินในการออกจากกำแพงปราสาทเพื่อไปสงบฝูงชน
QUEST_20151102_002972	Welcome back! This is the commercial district of Klaipeda.{nl}You will find all sorts of accessories and equipment being sold here.	ยินดีต้อนรับ ! นี้ย่านการค้าของ Klaipeda.{nl}ท่านจะพบทุกอย่างไม่ว่าจะเป็น เครื่องประดับและอุปรณ์อื่นๆที่นี่
QUEST_20151102_002973	Welcome! Here to drop something off?	ยินดีต้อนรับ! มีอะไรให้ข้าช่วยไหม
QUEST_20151102_002974	Nameless Demon	Nameless Demon
QUEST_20151102_002975	Chase after the girl!{nl}She must not meet with the Revelator!	ตามเด็กสาวไป!{nl}อย่าให้เธอได้พบกับ ผู้หยั่งรู้!
QUEST_20151102_002976	Finally found you! The ferrets do have their uses.	ข้าพบมันแล้ว! พวก Ferrets ยังไม่ได้ใช้มัน
QUEST_20151102_002977	There seems to be a fly hidden among us... Find and eliminate them.	เหมือนมีตัวประหลาดบินอยู่ในหมู่พวกเรา...ค้นหาแล้วจัดการมันซะ!
QUEST_20151102_002978	Halt!{nl}You must not be an average fly to make it this far.{nl}	หยุด! ข้าไม่คิดว่ามันจะบินอยู่แถวนี้หรอกมันน่าจะไกลกว่านี้{nl}
QUEST_20151102_002979	Did your legs froze from fear?{nl}Or do you actually believe a human like you can handle my axe?{nl}	ข้ากลัวและขาข้าแข็งมาก{nl}หรือเจ้าคิดว่ามนุษย์ใช้ขวานของข้าได้หรือ?
QUEST_20151102_002980	"Then, I shall send you to your beloved goddess' side!"	ถ้าเป็นเช่นนั้นผมจะส่งเจ้าไปหาเทพธิดาที่เจ้าชื่นชอบ!
QUEST_20151102_002981	"Don't think this is the end... If you think I'll let you rescue Lada, think again!"	อย่าคิดว่ามันจบแล้ว...อย่าคิดแบบนั้น เจ้าต้องไปช่วน Lada คิดให้ดี
QUEST_20151102_002982	Yes...{nl}It'll be destroyed by your hands...	ใช่!...{nl} มันต้องทำลายด้วยมือเจ้า
QUEST_20151102_002983	I will crush everything with Kruvina's power!!	ข้าจะบดขยี้ทุกสิ่งด้วยพลังของ Kruvina
QUEST_20151102_002984	What are you doing... Beholder...{nl}This is none of your concern!!	เจ้ากำลังทำอะไรอยู่...{nl}มันไม่เกี่ยวอะไรกับเจ้าเลย
QUEST_20151102_002985	That idiot...{nl}Did he forget about miss Giltine's mission?{nl}	เจ้าโง่หรอ...{nl}เจ้าลืมภารกิจ Giltine แล้วหรือ?
QUEST_20151102_002986	This power is something you cannot bear.{nl}	มันไม่พลังอะไรมาก เจ้าสามารถทำได้
QUEST_20151102_002987	"However, that Revelator...{nl}...certainly needs to be eliminated.{nl}"	ผู้หยั่งรู้...{nl}...เราต้องกำจัดมันออกไป
QUEST_20151102_002988	Zaura.{nl}The sin for forgetting my mission will be repaid with that Revelator's head.{nl}	Zaura{nl}บาปที่ไม่อาจลืมของภารกิจของข้ามันยังวนเวียนอยู่ในหัว{nl}
QUEST_20151102_002989	Here. This is the power that miss Giltine has endowed you.{nl}This power is sufficient even without Kruvina's power.{nl}{nl}	มันเป็นพลังที่ Giltine พลาดให้เจ้า{nl}พลังนี้มีพลังมากพอโดยไม่ต้องพึ่งพลังของ Kruvina
QUEST_20151102_002990	Just now... A female child?{nl}Am I correct?{nl}	เป็นเพียงแค่ ... ผู้หญิงคนหนึ่ง? {nl}มันถูกใช่ไหม{nl}
QUEST_20151102_002991	What is that strange light...{nl}What is happening?{nl}	แสงแปลกๆนั้นคืออะไร?...{nl}มันเกิดอะไรขึ้น?{nl}
QUEST_20151102_002992	...I will first return back to town and inform that the ferrets have appeared.{nl}Thanks for rescuing me.	ข้าจะกลับไปที่หมู่บ้านและแจ้งให้รู้ว่า ferrets ปรากฏตัวแล้ว{nl}ขอบใจเจ้าที่ช่วยข้า
QUEST_20151102_002993	"I pray to the goddess hoping that my prediction is correct.{nl}Oh right, you do know that bonfire has to be burnt with firewood?{nl}"	ข้าภาวนาว่าเทพธิดาจะทำนายเกี่ยวกับข้าได้ถูกต้อง{nl}ใช่ เจ้ารู้เกี่ยวกับไฟไหม้ป่าใช่ไหม?
QUEST_20151102_002994	Demon Goddess Giltine	Demon Goddess Giltine
QUEST_20151102_002995	Laima's wings...{nl}It's beautiful every time I look at it...	ปีกของ Laima...{nl}มันดูสวยงามทุกเวลาที่จดจ้อง
QUEST_20151102_002996	"However, I do not like the color."	อย่างไรก็ตามข้าไม่ชอบสีนี้เลย
QUEST_20151102_002997	Look.{nl}The side with the crimson color is much more beautiful...	มองดูสิ{nl}ข้างๆสีแดงเข้มมันดุสวยงามมาก
QUEST_20151102_002998	Are you regretting the decision?{nl}I can feel it. We are sisters after all...	เจ้ากำลังเสียใจกับการตัดสินใจครั้งนี้?{nl}ข้าสามารถรู้สึกได้ พวกเราและน้องสาวหลังจาก...
QUEST_20151102_002999	Does it hurt a lot?{nl}Are you sad?	มันคงเจ็บมาสินะ?{nl}เจ้าเสียใจไหม?
QUEST_20151102_003000	Do you hate... me?	เจ้าเกลียดข้าเหรอ?
QUEST_20151102_003001	Just wait a little bit more.{nl}Soon... That person will awake.	รอสักครู่{nl}อีกสัก....คนพวกนี้จะตื่นขึ้น
QUEST_20151102_003002	The pain and sorrow... Despair...{nl}All those will subside within that person.	ความเจ็บปวดและโศกเศร้า...สิ้นหวัง...{nl}มันจะค่อยๆเบาบางลง
QUEST_20151102_003003	"Please help me...{nl}Revelator, please... Please stop Giltine."	"โปรดช่วยข้าด้วย...{nl}ผู้หยั่งรู้,ได้โปรด ได้โปรดหยุด Giltine"
QUEST_20151102_003004	(A voice calling out for me can be heard.)	(เสียงเรียกดังออกมาจากข้าได้ยินไหม)
QUEST_20151102_003005	A method to purify the earth...{nl}I believe that the clerics might know more about this topic.	วิธีที่จะชำระล้างโลก..{nl}ข้าเชื่อว่ามีแต่นักบวชที่รู้เกี่ยวกับสิ่งนี้
QUEST_20151102_003006	I know a method to purify the demons.{nl}	ข้ารู้วิธีการชำระล้างปีศาจ
QUEST_20151102_003007	"You need to hold your breath, so that no one will sense you.{nl}Then, quietly get closer to the lights...{nl}"	เจ้าจำเป็นต้องกลั้นลมหายใจของเจ้าเพื่อให้ไม่มีใครรู้สึกถึงเจ้า{nl}แล้วก็ทำแบบเงียบๆแล้วค่อยๆเข้าใกล้แสงไปเรื่อยๆ..{nl}
QUEST_20151102_003008	"Darn. A method to purify the earth, but not the demons?{nl}You should've found Druid Master if that's the case. The order is wrong."	หา วิธีชำระล้างโลกใบนี้แต่ไม่ใช่ปีศาจ?{nl}เจ้าต้องค้นหา Druid Master ถ้าในกรณีนั้นคำสั่งนี่มันผิด
QUEST_20151102_003009	You need my power?{nl}The price is bit steep. Is it a job worth that much?{nl}	เจ้าต้องการพลังหรือ?{nl}มันแพงสักหน่อยนะ งานมันคุ้มค่าหรือเปล่าล่ะ?
QUEST_20151102_003010	Hold on... A method to purify the earth?{nl}Hey... I'm just a mercenary. Go find the answers somewhere else.	รอก่อน...วิธีชำระล้างโลกหรือเหรอ?{nl}เฮ้..ข้าเป็นแค่ทหารรับจ้างนะ ไปหาคำตอบที่อื่นเถอะ
QUEST_20151102_003011	"You came to the wrong place if you're looking for a method to purify the earth.{nl}No matter how you look at it, wouldn't that Druid Master have the answers?"	คุรน่าจะมาผิดที่นะถ้าเจ้ามองห่วิธีการชำระล้างโลก{nl}Druid Master น่าจะมีคำตอบให้นะ
QUEST_20151102_003012	The ferret plays dead in critical situations.	Ferret ทำเป็นแกล้งตายตอนเกิดเหตุการณ์รุนแรง
QUEST_20151102_003013	The ferret doesn't seem to like fruits that much.	Ferret ดูเหมือนไม่ชอบผลไม้เท่าไหร่นัก
QUEST_20151102_003014	The ferret became stronger by touching the totem.{nl}Ferrets! Win against humans!	Ferret แข็งแกร่งขึ้นเมื่อสัมผัสกับ totem {nl}เหล่า Ferret เอาชนะมนุษย์ได้
QUEST_20151102_003015	The fruit has become bigger!{nl} Run away coward humans!{nl}	ผลไม้ขยายผลใหญ่ขึ้นเรื่อยๆ {nl}วิ่งหนีไปเถอะเจ้าพวกมนุษย์ขี้ขลาด{nl}
QUEST_20151102_003016	No human qualifications!{nl} Ferrets will scare them away!	ไม่มีมนุษย์ที่มีคุณภาพเลย{nl}พวกFerret จะทำให้พวกเขากลัวและหนีออกไป!
QUEST_20151102_003017	Demons will help the ferrets.{nl}Make us stronger!{nl}	พวกปีศาจหนุนหลังเจ้าพวก Ferret{nl}จึงทำให้พวกมันแข็งแกร่งขึ้น{nl}
QUEST_20151102_003018	Demons said to protect.{nl}Humans! Cannot come closer!{nl}	พวกปีศาจพยายามปกป้องมัน{nl} พวกมนุษย์ไม่สามารถเข้าใกล้ได้{nl}
QUEST_20151102_003019	Then demons. Continue to help the ferrets!	พวกปีศาจยังช่วยเหลือพวก Ferret อย่างต่อเนื่อง
QUEST_20151102_003020	The mysterious girl has run off to Zeraha without a word. Let's follow her. 	เด็กสาวลึกลับได้วิ่งหายไปที่ Zeraha โดยที่ไม่มีคำพูดใดๆ ลองตามนางไป
QUEST_20151102_003021	The girl appeared and asked me to follow her.	เด็กสาวได้ปรากฏขึ้นและถามว่าตามนางมาทำไม
QUEST_20151102_003022	Did you save everyone?	เจ้าต้องการช่วยทุกคนเหรอ?
QUEST_20151102_003023	Looking for relics.	ลองมองหาของที่ระลึก
QUEST_20151102_003024	Found relics.	พบของที่ระลึก
QUEST_20151224_003025	Toras	Toras
QUEST_20151224_003026	Choose a name for your companion.	ตั้งชื่อสหายของเจ้า
QUEST_20151224_003027	Deep Underground Prison	คุกใต้ดินที่ลึกลงไป
QUEST_20151224_003028	Deep Underground Prison (Recommended Lv: 217) {nl}Only you and your party members can enter together. {nl}Are you sure you want to enter?	Deep Underground Prison(แนะนำ Lv.217){nl}เฉพาะท่านและสมาชิกปาร์ตี้ของท่านที่สามารถเข้าไปด้วยกันได้{nl}คุณต้องการเข้าไปใช่หรือไม่?
QUEST_20151224_003029	Demon Prison Guild	Demon Prison Guild
QUEST_20151224_003030	Demon Prison Guild (Recommended Lv : 115){nl}Only you and your party members can enter together.{nl}Are you sure you want to enter?	Demon Prison Guild(แนะนำ Lv.115){nl}เฉพาะท่านและสมาชิกปาร์ตี้ของท่านที่สามารถเข้าไปด้วยกันได้{nl}คุณต้องการเข้าไปใช่หรือไม่?
QUEST_20151224_003031	"I am in charge of managing small requests.{nl}Please, come visit me from time to time."	ข้าต้องจัดการกับคำร้องขอนี้เล็กน้อย{nl}รบกวนมาเยี่ยมข้าบ้างนะ
QUEST_20151224_003032	"Ah, yes, I would appreciate that.{nl}"	โอ้ว ข้าจะขอบคุณเจ้ามากถ้าเจ้าทำได้
QUEST_20151224_003033	Blacksmith Zaras	Blacksmith Zaras
QUEST_20151224_003034	Equipment Merchant Dunkel	อุปกรณ์ Merchant Dunkel
QUEST_20151224_003035	Item Merchant Mirina	ไอเทม  Merchant Mirina
QUEST_20151224_003036	They say the Holy Relic was made to protect the revelations. {nl} This is what you need to use to lure in and defeat Gesti.	สถานที่ศักดิ์สิทธิ์ทำไว้ฟื้นฟูพลังให้กับการรักษา{nl}เป็นสิ่งที่เจ้าจำเป็นต้องใช้ในการล่อและคเอาชนะ Gesti
QUEST_20151224_003037	Accessory Merchant Ronesa	Accessory Merchant Ronesa
QUEST_20151224_003038	I heard not that long ago that thanks to the Revelators the demons failed to interfere with the Mage Tower.{nl}If it were me I would have made sure no one would have even dared to think about it in the first place.{nl}	ข้าเพิ่งได้ยินมาไม่นานนักนั่นต้องขอบคุณเหล่าผู้หยั่งรู้ ที่จัดการปีศาจที่ Mage Tower{nl}แต่ไม่มีใครได้เตรียมตัวจากสิ่งที่เกิดขึ้นนี้
QUEST_20151224_003039	So that what happened to my family won't happen ever again.	มันเกิดกับครอบครัวข้า หวังว่ามันคงไม่เกิดขึ้นอีก
QUEST_20151224_003040	Blacksmith Anna	Blacksmith Anna
QUEST_20151224_003041	Accessory Merchant Joana	Accessory Merchant Joana
QUEST_20151224_003042	"I knew we could thwart the demons with the power of the goddesses.{nl}But, I never would have guessed Giltine to use the Divine Tree...{nl}"	ข้ารู้ถ้าเรามีพลังของเทพธิดาเราจะขัดขวางพวกปีศาจได้{nl}แต่ข้าไม่เคยรู้เลยว่า Giltine จะใช้พลังของต้นไม้ศักดิ์สิทธิ์
QUEST_20151224_003043	What a nasty curse. {nl}Let's see which is stronger. Naktis' curse or the goddess' purifier.	คำสาปเกิดขึ้นอีกครั้ง{nl}มาดูกันว่า พลังคำสาปของ Naktis ที่กล้าแกร่ง หรือพลังชำระล้างของเทพธิดากันแน่
QUEST_20151224_003044	Of course I have the purifier. {nl}But I'm not giving it to you unless you offer me money.	แน่นอน ข้ามีพลังชำระล้าง{nl}แต่ข้าไม่ให้เจ้าหรอก เจ้าลองเสนอราคามาให้ข้าสิ
QUEST_20151224_003045	That's a shame.	มันน่าเสียดาย
QUEST_20151224_003046	"The goddesses left several things in the hands of the first Paladin.{nl}The threat of Demon Queen Gesti, a mission of high-priority.{nl}"	เทพธิดาได้ปล่อยมือออกจากPaladinเป็นครั้งแรก{nl}ภัยของราชินีปีศาจ Gesti มันเป็นภารกิจที่สำคัญมาก
QUEST_20151224_003047	It was also mentioned that a savior would come.{nl}	มีบางคนบอกว่าผู้กอบกู้กำลังจะมา{nl}
QUEST_20151224_003048	"But it's remarkable, the Statue of Goddess Ausrine in Klaipeda that is.{nl}She is able to take you anywhere you want despite not being Goddess Vakarine."	แต่มันมีสิ่งพิเศษอยู่ Statue of Goddess Ausrine ที่อยู่ใน Klaipeda{nl}นางสามารถนำพาเจ้าไปในทุกๆที่ที่เจ้าต้องการแม้ไม่ใช่เทพธิดา Vakarine
QUEST_20151224_003049	"If you would ask me what a Bokor is, I will describe it as the following:{nl}A middleman standing between life and death."	ถ้าเจ้าต้องการถามข้าเกี่ยวกับ Bokor ข้าจะอธิบายได้ดังนี้:{nl}คนที่อยู่ระหว่างความเป็นและความตาย
QUEST_20151224_003050	Market Manager Logi	Market Manager Logi
QUEST_20151224_003051	"Death drifts further away from me every time a statue of the Spirit-Leading Owl is raised.{nl}Even in my old and tired body, if I can help our world with the power of the goddesses,{nl}that is what I must keep doing..."	ข้าสร้างรูปปั้นของนกฮูกที่นำไปสู่จิตวิญญาณที่ทุกคนตายห่างไกลจากเรา{nl}แม้ร่างการเราจะเก่า ถ้ามันสามารถช่วยโลกของเรากับพลังของเทพธิดาได้{nl}ข้าก็จะทำมัน
QUEST_20151224_003052	"Does eternal life interest you?{nl}We, Necromancers, think the opposite. We deal with those whose hearts no longer beat.{nl}"	เจ้ามีความสนใจเกี่ยวกับชีวิตนิรันดร์หรือ?{nl}พวกเรา Necromancers จะไม่หายใจมันเป็นวิธีที่ง่ายกว่า
QUEST_20151224_003053	Market Manager Molun	Market Manager Molun
QUEST_20151224_003054	Thank you for saving us from such a daunting ordeal.{nl}Take some of my power as well.	ขอบคุณท่านที่ช่วยเหลือเราให้รอดพ้นจากความเจ็บปวดอันน่าสยดสยองนั่น{nl}รับพลังของข้าบางส่วนไปด้วยสิ
QUEST_20151224_003055	I trust you won't just take our power and run away with it?{nl}We are only sharing it with you because it's what the Owl Chief commanded.	ข้าเชื่อใจท่านได้ใช่หรือไม่ว่าจะไม่วิ่งหนีไปพอกับพลังของพวกเราแน่นะ?{nl}พวกเราแบ่งพลังให้กับท่านเพราะมันเป็นคำสั่งของ Owl Chief
QUEST_20151224_003056	"It hasn't been long since I came back to my senses, I'm afraid this is all the power I have...{nl}I hope you will find it useful."	มันไม่นานที่ข้ากลับมารู้สึกถึงสัมผัสของข้า ข้ากลัว นี่คือพลังทั้งหมดที่ข้ามี...{nl}ข้าหวังว่าจะหาประโยชฯจากมันได้
QUEST_20151224_003057	"Jurus, forgive me for not fulfilling your orders.{nl}We've lost the Delmore Castle.{nl}What we have there is an unbelievably horrifying sight.{nl}The demons... They have begun to hunt down the people.{nl}"	Jurus ยกโทษให้ข้าด้วยที่ข้าไม่สามารถทำตามคำสั่งได้{nl}เราได้เสียDelmore Castle ไป{nl}เราได้เห็นสิ่งที่น่ากลัวที่แทบจะไม่เชื่อสายตา{nl}พวกปีศาจกำลังเริ่มไล่ล่าและฆ่าคน{nl}
QUEST_20151224_003058	"I fled, but I don't think I will reach Orsha.{nl}If someone finds this letter, please take it to Jurus in Orsha...{nl}Please, uphold the family. Eras."	ข้ากำลังหนีแต่คิดว่าข้าคงไปไม่ถึง Orsha{nl}ถ้าใครได้พบจดหมายนี้ โปรดนำไปให้ Jurusที่ Orsha...{nl}กรุณา ดูแลครอบครัวด้วย Eras
QUEST_20151224_003059	"First of all, magic must be strong.{nl}Using powerful spells to unleash powerful magic is basic.{nl}What can you do with weak magic, right?"	แรกเริ่มของทั้งหมดนั้น เวทมนตร์จะต้องแข็งแกร่ง{nl}ใช้คาถาที่ทรงพลังในการปลดปล่อย เวทมนตร์ที่สมบูรณ์แบบ คือพื้นฐาน{nl}มีอะไรที่เจ้าสามารถทำได้จากพลังเวทย์ที่อ่อนแอบ้างล่ะ ถูกต้องไหม?
QUEST_20151224_003060	"To become a strong mage, you cannot idle around and ignore practice.{nl}Well, you might be able to catch up to talented people such as myself."	เพื่อก้าวสู่การเป็นนักเวทย์ที่ยิ่งใหญ่นั้น เจ้าไม่สามารถเดินไปรอบๆหรือละเลยการฝึกพื้นฐานได้นะ{nl}ดีละ เจ้าจะต้องสัมผัสได้ถึงคนที่มีความสามารถอย่างเช่นตัวเจ้า
QUEST_20151224_003061	"It's very important to maintain a relaxed mind when using magic.{nl}Not only can you not be able to use magic when losing your composure, {nl}you might also find yourself in danger.{nl}"	มันสำคัญมากที่จะควบคุมให้ความคิดนั้นผ่อนคลายเวลาใช้เวทมนตร์{nl}ไม่ใช่แค่เจ้าจะใช้เวทมนตร์ไมได้ถ้าขาดความงสบนะ{nl}แต่เจ้าจะพบว่าตัวเจ้าเองจะตกอยู่ในอันตรายด้วย
QUEST_20151224_003062	Those who use magic should keep their heads and hearts calm at all times.	ใครก็ตามที่ต้องการจะใช้พลังเวทมนตร์จะต้องฝึกตัวเองให้มีสมาธิและใจเย็นอยู่เสมอตลอดเวลา
QUEST_20151224_003063	Delicate control is required for higher ranked magic.{nl}A minor mistake may lead to a fatal result.{nl}	การควบคุมที่ละเอียดอ่อนจำเป็นจะต้องใช้เวทมนตร์ขั้นสูง{nl}การผิดพลาดเพียงน้อยนิดอาจนำมาซึ่งผลลัพธ์ที่ร้ายแรง{nl}
