QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150428_006930	So the Chapparition was behind the curse. {nl}Naktis' curse alone was more than enough already. That's a relief. {nl}	ดังนั้นChapparitionอยู่เบื้องหลังของคำสาป {nl}เพียงแค่คำสาปของNaktisก็มากเกินพอแล้ว..โล่งอก{nl}
QUEST_LV_0200_20150428_006931	"This is another separated space, neither the world of humans nor demons. {nl}The demons who are harmful to the world are imprisoned here. {nl}"	นี่เป็นอีกหนึ่งพื้นที่ที่แยกออกจากกัน ไม่ใช่ทั้งโลกมนุษย์หรือปีศาจ {nl}เหล่าปีศาจที่เป็นอันตรายต่อโลกถูกกังขังอยู่ที่นี่{nl}
QUEST_LV_0200_20150428_006932	Demons are crossing over through the gap in 1st Isolation Area. {nl}It will be of great help to Aldona if you can block them before they join Nuaele.	เหล่าปีศาจกำลังข้ามไปที่ช่องว่างพื้นที่แยกที่หนึ่ง {nl}มันจะเป็นความช่วยเหลือที่สำคัญต่อAldonaหากคุณสามารถปิดมันได้ก่อนที่พวกมันจะเข้าร่วมกับNuaele
QUEST_LV_0200_20150428_006933	Hauberk is getting back the Marks he gave to his servants. {nl}Go to 2nd Isolation Area. They must be gathered there.	Hauberk กำลังจะได้รับเครื่องหมายที่เขาได้มอบให้กับลูกน้องกลับคืนมา {nl}จงไปที่พื้นที่แยกที่สอง พวกมันต้องทำการรวมตัวกันอยู่ที่นั่นเป็นแน่
QUEST_LV_0200_20150428_006934	How about striking the Harugals in the 4th Isolation Area? {nl}Getting rid of them would mean getting rid of some of Nuaele's most powerful weapons.	การโจมตีHarugalsในพื้นที่แยกที่สี่เป็นอย่างไรบ้าง? {nl}การทำการกำจัดพวกมันหมายความว่าได้ทำการกำจัดอาวุธอันทรงพลังบางส่วนของNuaeleลงได้
QUEST_LV_0200_20150428_006935	Nuaele may be gone but her remnants are gathering in the 1st Isolation Area. {nl}They intend to continue her will. Please get rid of the demons to dissuade them.	Nuaeleอาจจะจากไปแล้วแต่ส่วนที่เหลือของเธอกำลังรวบรวมอยู่ในพื้นที่แยกที่หนึ่ง{nl}พวกมันตั้งใจจะทำให้เธอกลับคืนมา โปรดกำจัดเหล่าปีศาจเพื่อห้ามปรามพวกมัน
QUEST_LV_0200_20150428_006936	"They are the demons of the Fourth Isolation Area.{nl}Let this be a lesson for them, so that it won't happen again. {nl}"	พวกมันเป็นปีศาจของพื้นที่แยกที่สี่{nl}จงให้บทเรียนพวกมันเพื่อไม่ให้เหตุการณ์เช่นนี้เกิดขึ้นอีกครั้ง{nl}
QUEST_LV_0200_20150428_006937	The goddess had to make a painful decision. {nl}Dionys was like family but she decided to seal the power in him until the prison stabilizes.	เทพธิดาได้ทำการตัดสินใจที่ยากยิ่ง {nl}Dionyเปรียบเสมือนครอบคัวแต่เธอตัดสินใจผนึกพลังของเขาไว้จนกว่าคุกจะมีเสถียรภาพมากพอ
QUEST_LV_0200_20150428_006938	"Hauberk ran towards 4th Demon Prison which is protected by Daiva. {nl}First, you should return to the goddess. I will look after Dionys."	Hauberkวิ่งไปที่คุกปีศาจที่สี่ที่มีการป้องกันโดยDaiva {nl}คุณควรกลับไปหาเทพธิดาก่อน ฉันจะดูแลDionysเอง
QUEST_LV_0200_20150428_006939	We got Hauberk but now his servants are the problem. {nl}We don't know what they will do.	เราจับHauberkได้แล้วแต่ขณะนี้ลูกน้องของเขาเป็นปัญหาของเรา {nl}เราไม่รู้ว่าพวกมันกำลังทำอะไรอยู่
QUEST_LV_0200_20150428_006940	"Thank you. {nl}If Dionys recovers well, it will be all thanks to you."	ขอบคุณ {nl}ขอบคุณมากหากDionysฟื้นตัวได้ดี
QUEST_LV_0200_20150428_006941	The Curse of Gluttony prevents you from digesting food when you eat it. {nl}That's why it makes you hungry all the time. {nl}	คำสาปของGluttonyจะเป็นอุปสรรคในการย่อยอาหารเมื่อคุณกินมันลงไป {nl}นั่นเป็นเหตุผลที่ทำให้คุณหิวตลอดเวลา {nl}
QUEST_LV_0200_20150428_006942	We just need to exterminate all the monsters that interfere with the making of the route to the Gateway of the Great King.	เราก็ต้องกำจัดมอนสเตอร์ทั้งหมดที่ยุ่งเกี่ยวกับการทำเส้นทางไปยังเกตเวย์ของกษัตริย์ยิ่งใหญ่
QUEST_LV_0200_20150428_006943	I heard that the hardness and the elasticity of the wood sticks of Firent at Nefritas Cliff is good.{nl}You can get the rope to tie those sticks from Red Pantos Archers. Please get me those first.	ฉันได้ยินว่าแท่งไม้ของFirentมีทนทานและยืดหยุ่นที่หน้าผาNefritasเป็นสิ่งที่ดี{nl}คุณสามารถไปนำเชือกสำหรับผูกไม้เหล่านั้นจากRed Pantos Archersมาให้ฉันได้ไหม โปรดนำสิ่งเหล่านั้นมาให้ฉัน
QUEST_LV_0200_20150428_006944	Our only way right now is to find a solution to each curse one by one. {nl}Just like how every sickness has a different cure.	วิธีเดียวของเราตอนนี้คือการหาวิธีแก้ปัญหาให้กับคำสาปแต่ละคำสาปแบบหนึ่งต่อหนึ่ง {nl}เช่นเดียวกับทุกๆอาการป่วยจะมีการรักษาที่แตกต่างกันออกไป
QUEST_LV_0200_20150428_006945	Thank you for everything until now but I can't leave my family to starve... {nl}I have no choice but to leave if the evil energy stays in the garden.	ขอบคุณสำหรับทุกสิ่งทุกอย่างจนกระทั่งถึงตอนนี้แต่ฉันไม่สามารถปล่อยให้ครอบครัวของฉันต้องอดอยากได้... {nl}ฉันไม่มีทางเลือกนอกจากจากที่นี่ไปหากพลังงานชั่วร้ายยังคงอยู่ในสวน
QUEST_LV_0200_20150428_006946	This is the vineyard of my brother.{nl}My father runs it for him. {nl}	นี่คือไร่องุ่นของพี่ชายของฉัน {nl}พ่อของฉันดำเนินงานเพื่อเขา {nl}
QUEST_LV_0200_20150428_006947	Placing bait/CAMPFIRE_LOOP/3/TRACK_BEFORE/None	กำลังวางเหยื่อ/CAMPFIRE_LOOP/3/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006948	Notice/The crystal was destroyed when you destroyed all the cores. #5	Notice/คริสตัลถูกทำลายเมื่อคุณทำลายแกนทั้งหมด #5
QUEST_LV_0200_20150428_006949	Lighting fire/FIRE/2/TRACK_BEFORE/None	กำลังจุดไฟ/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006950	Notice/!/You must destroy the cores of the monsters! {nl}Defeat the monsters!#5	Notice/!/คุณต้องทำลายส่วนสำคัญของมอนสเตอร์เหล่านั้น! {nl}จงปราบมอนสเตอร์!#5
QUEST_LV_0200_20150428_006951	Notice/!/Get sheets of scriptures from the monsters!#7	Notice/!/รับแผ่นคัมภีร์เหล่านั้นจากมอนสเตอร์!#7
QUEST_LV_0200_20150428_006952	Notice/!/You must get Cold Fluid from monsters and spray it on the altar!#5	Notice/!/คุณต้องได้รับของเหลวเย็นจากมอนสเตอร์เหล่านั้นและโรยมันลงไปบนแท่นบูชา!#5
QUEST_LV_0200_20150428_006953	Notice/!/The Goddess Statue was fake! Defeat the Sparnashorn#5	Notice/!/รูปปั้นเทพธิดาเป็นของปลอม! จงปราบSparnashorn#5
QUEST_LV_0200_20150428_006954	Notice/!/Nothing is happening to the Goddess Statue.{nl}Go to Sculptor Tesla in Siauliai West Woods #3	Notice/!/ไม่มีอะไรเกิดขึ้นกับรูปปั้นเทพธิดา{nl}ไปหาช่างแกะสลักที่Teslaใน Siauliai West Woods #3
QUEST_LV_0200_20150428_006955	Fetching water/SITWATER_LOOP/2/TRACK_BEFORE/None	กำลังนำน้ำมา/SITWATER_LOOP/2/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006956	Notice/!/The Goddess Statue started being attacked when you worshiped it.{nl}Get rid of the thorn vines and protect the Goddess Statue from the monsters' attacks.#6	Notice/!/รูปปั้นเทพธิดาเริ่มถูกโจมตีเมื่อคุณทำการสักการะ{nl}จงกำจัดเกาหนามและปกป้องรูปปั้นเทพธิดาจากการโจมตีของมอนสเตอร์#6
QUEST_LV_0200_20150428_006957	Checking the gravestone/LOOK/2/TRACK_BEFORE/None	กำลังตรวจสอบหินบนหลุมฝังศพ/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006958	Notice/Gathered the pieces of painting and inserted it in the frame!#5	Notice/ได้ทำการรวลรวมชิ้นส่วนของภาพและใส่มันลงไปในกรอบแล้ว!#5
QUEST_LV_0200_20150428_006959	Notice/Found an old handkerchief in the box.#5	Notice/พบผ้าเช็ดหน้าเก่าในกล่อง#5
QUEST_LV_0200_20150428_006960	Notice/Found the pot!{nl}Now it's time to place the pot under Tree of Brothers!#5	Notice/พบโถ!{nl}ขณะนี้ถึงเวลาที่จะวางโถใต้ต้นไม้แห่งพี่น้องแล้ว!#5
QUEST_LV_0200_20150428_006961	Notice/!/Velochard that was guarding the hidden space appeared!#5	Notice/!/Velochardที่ป้องกันพื้นที่ที่ซ่อนอยู่ปรากฎตัว !#5
QUEST_LV_0200_20150428_006962	Opening the box/KICKBOX/1/TRACK_AFTER/None	กำลังเปิดกล่อง/KICKBOX/1/TRACK_AFTER/None
QUEST_LV_0200_20150428_006963	Checking../LOOK_SIT/2/TRACK_BEFORE/None	กำลังตรวจสอบ../LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006964	Checking the altar/LOOK_SIT/2/TRACK_BEFORE/None	กำลังตรวจสอบแท่นบูชา/LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150428_006965	"Of Father, by Father (1)"	ของบิดา..โดยบิดา (1)
QUEST_LV_0200_20150428_006966	"Of Father, by Father (2)"	ของบิดา..โดยบิดา (2)
QUEST_LV_0200_20150428_006967	The Weak Owl Sculpture wants to give the scent of its hometown as a gift to the dead soldiers who has followed its guide. Gather Butterfly Fragrance from the bushes at Butterfly Tomb.	รูปปั้นนกฮูกอ่อนแอต้องการมอบกลิ่นแห่งบ้านเกิดให้เป็นของขวัญแก่เหล่าทหารที่เสียชีวิตไปแล้วผู้ซึ่งทำตามคำแนะนำของมัน จงรวบรวมกลิ่นหอมของผีเสื้อจากหลุมฝังศพผีเสื้อ
QUEST_LV_0200_20150428_006968	Defeat Demon Lord Taumas	ปราบลอร์ดปีศาจ Taumas
QUEST_LV_0200_20150428_006969	Demon Lords have appeared and are aiming for the weakened Seal Tower. Defeat Demon Lord Taumas.	ลอร์ดปีศาจได้ปรากฏตัวขึ้นและกำลังมุ่งเป้าไปที่หอคอยปิดผนึกอ่อนแอ จงปราบลอร์ดปีศาจTaumas
QUEST_LV_0200_20150428_006970	Defeat Demon Lord %s	ปราบลอร์ดปีศาจ %s
QUEST_LV_0200_20150428_006971	Get %s from Kepo	ได้รับ %s จากKepo
QUEST_LV_0200_20150428_006972	Julius turned into Draperiun after seeing the Orgel. Calm down the Draperiun by draining its HP to less than 10% and try to persuade it again.	Juliusกลายเป็นDraperiuหลังจากมองเห็นOrgel จงทำให้Draperiunสงบลงโดยทำให้HPของมันเหลือน้อยกว่า 10%และพยายามโน้มน้าวมันอีกครั้ง
QUEST_LV_0200_20150428_006973	Light the Tree Root Crystal on fire	แสงสว่างTree Root Crystal บนกองไฟ
QUEST_LV_0200_20150428_006974	The Tree Root Crystal reacted weirdly and is polluting its surroundings! Defeat the monsters first and find the scattered Tree Root Crystal Cores.	Tree Root Crystalมีปฏิกิริยาตอบสนองแบบแปลกๆและก่อให้เกิดการมลพิษบริเวณโดยรอบ! จงปราบมอนสเตอร์เหล่านั้นก่อนและค้นหาส่วนสำคัญของTree Root Crystal ที่กระจัดกระจายไป
QUEST_LV_0200_20150428_006975	Test if Gracius' Reagent is effective. Carefully approach a monster and use the Reagent.	จงทดสอบหากน้ำยาของGraciusได้ผลดี โปรดเข้าใกล้มอนสเตอร์อย่างระมัดระวังและใช้น้ำยานั้น
QUEST_LV_0200_20150428_006976	A page of scripture was dropped on the altar. Find the rest of the pages from nearby monsters.	หน้าหนึ่งของคัมภีร์ถูกทิ้งไว้บนแท่นบูชา จงค้นหาหน้าที่เหลือจากมอนสเตอร์บริเวณใกล้เคียง
QUEST_LV_0200_20150428_006977	Talk to the soul	พูดคุยกับวิญญาณ
QUEST_LV_0200_20150428_006978	You were able to defeat Merge. Talk to the soul that appeared on the altar.	คุณสามารถปราบMergeสำเร็จ จงพูดคุยกับวิญญาณที่ปรากฎตัวบนแท่นบูชา
QUEST_LV_0200_20150428_006979	Get monster's fluid from the monsters	ได้รับของเหลวของมอนสเตอร์จากมอนสเตอร์เหล่านั้น
QUEST_LV_0200_20150428_006980	This sanctuary also seems contaminated. Go to Pardoner Master for advice. You can move to Fedimian Outskirts easily if you buy the scroll from beside the stand.	สถานที่ศักดิ์สิทธิ์แห่งนี้ยังดูเหมือนว่ามีการปนเปื้อน จงไปหา Pardoner Masterเพื่อขอคำแนะนำ คุณสามารถย้ายไปยังชานเมืองFedimianได้อย่างง่ายดายหากคุณทำการซื้อสกอร์จากจุดที่ตั้งอยู่ข้างนอก
QUEST_LV_0200_20150428_006981	Velochard has been defeated and a treasure chest appeared! Open it.	Velochardถูกปราบลงแล้วและหีบสมบัติปรากฎขึ้น! จงเปิดมัน
QUEST_LV_0200_20150428_006982	Use the portal in Pasala Altar and go to the room with the revelation. You need to pass Maven's final test to get the revelation.	ใช้ประตูในแท่นบูชาPasalaและไปที่ห้องเกี่ยวกับการเปิดเผย คุณจะต้องผ่านการทดสอบขั้นสุดท้ายของMavenเพื่อได้รับการเปิดเผยความจริง
QUEST_LV_0200_20150428_006983	Baron Secretary Arunas wants you to check the crops and a 'strange aura'. Move to the area marked on the map and check for a strange aura. Then pull out the crops nearby and check them.	Baron Secretary Arunas ต้องการให้คุณตรวจสอบพืชและ'ออร่าประหลาด' จงย้ายไปที่พื้นที่ที่ทำเครื่องหมายไว้บนแผนที่และตรวจสอบออร่าประหลาดนั้นและถอนพืชในบริเวณใกล้เคียงไปเพื่อทำการตรวจสอบต่อไป
QUEST_LV_0200_20150428_006984	This magic circle strongly wants monster energy. Lure monsters over the magic circle and defeat them.	วงกลมเวทมนตร์นี้ต้องการพลังงานจากมอนสเตอร์ จงล่อมอนสเตอร์เหล่านั้นเข้ามาในวงกลมเวทมนตร์และปราบมันซะ
QUEST_LV_0200_20150428_006985	Kupole Audra asked for your help to defeat the demons that are performing rituals at the Rituala Assembly Area to help Demon Lord Blut escape.	Kupole Audraขอให้คุณช่วยทำการปราบปีศาจที่กำลังทำพิธีกรรมที่พื้นที่ชุมนุม Rituala เพื่อช่วยลอร์ดปีศาจ Blutในการหลบหนี
QUEST_LV_0200_20150428_006986	You've interrupted the ritual for Blut's escape. Go back and report to Kupole Audra at the Corridor of Monitor.	คุณได้ขัดขวางการประกอบพิธีกรรมเพื่อการหลบหนีของBlutสำเร็จ จงกลับไปรายงานต่อKupole Audra ที่ทางเดินแห่งการเฝ้าระวัง
QUEST_LV_0200_20150428_006987	Kupole Audra says you need to weaken Blut's influence. Steal Blut's Mark from the demons in Bjaurer Hideout.	Kupole Audra บอกให้คุณทำให้พลังของของBlutอ่อนแอลง จงขโมยเครื่องหมายของBlutจากเหล่าปีศาจในสถานที่หลบภัยBjaurer
QUEST_LV_0200_20150428_006988	Kupole Audra says the power gathered by Blut can only be controlled by Hauberk. Help Hauberk absorb the power of Blut from the Blut Altar in Concentrated Management Area.	Kupole Audraกล่าวว่าพลังที่รวบรวมโดยBlutจะสามารถควบคุมได้โดยHauberkเท่านั้น โปรดช่วยHauberkดูดซับพลังของ Blut จากแท่นบูชา Blut ในพื้นที่จัดการชุมนุม
QUEST_LV_0200_20150428_006989	Kupole Arune says you need to stem the power of Demon Lord Nuaele to stabilize the goddess' barrier. Defeat Nuaele's subordinates.	Kupole Aruneบอกคุณว่าต้องมีแหล่งกำเนิดพลังของลอร์ดปีศาจNuaeleเพื่อเสถียรภาพของเกราะป้องกันของเทพธิดา จงปราบลูกสมุนของNuaele
QUEST_LV_0200_20150428_006990	Nuaele's subordinates are defeated. Go back and report to Kupole Arune.	ทำการปราบลูกสมุนของNuaeleสำเร็จแล้ว จงกลับไปรายงานต่อKupole Arune
QUEST_LV_0200_20150428_006991	Defeat the demons of the 1st Isolation Area	ปราบเหล่าปีศาจของพื้นที่แยกที่หนึ่ง
QUEST_LV_0200_20150428_006992	Some of Nuaele's demons used to be Hauberk's demons who've received empowered Marks from Hauberk before. Defeat Nuaele's demons in the 2nd Isolation Area and get Hauberk's Marks back.	ปีศาจของNuaeleบางตนใช้เหล่าปีศาจของHauberkที่ได้รับเครื่องหมายแห่งอำนาจจากHauberkก่อนหน้านี้ จงปราบปีศาจของ Nuaeleในพื้นที่แยกที่สองและนำเครื่องหมายของHauberkกลับมา
QUEST_LV_0200_20150428_006993	Use Hauberk's seal fragment to suppress the demons in the 3rd Isolation Area and find out Nuaele's plans.	ใช้ชิ้นส่วนผนึกของ Hauberkเพื่อปราบปรามปีศาจที่พื้นที่แยกที่สามและสืบหาแผนของ Nuaele
QUEST_LV_0200_20150428_006994	Found out Nuaele's plans. Tell Kupole Aurne about Nuaele's plans.	ค้นพบแผนของNuaeleแล้ว จงบอกKupole Aurne เกี่ยวกับแผนของNuaele
QUEST_LV_0200_20150428_006995	Figured out the plans of Nuaele. Talk to Kupole Arune on what to do next.	ล่วงรู้แผนของNuaeleแล้ว จงพูดคุยกับKupole Aruneถึงสิ่งที่ต้องทำต่อไป
QUEST_LV_0200_20150428_006996	Kupole Arune suggested defeating the strongest and most loyal servants of Nuaele. Defeat the Harugals in the 4th Isolation Area.	Kupole Arune แนะนำให้ทำการปราบทาสรับใช้ที่แข็งแกร่งและซื่อสัตย์ของNuaele จงปราบ Harugalsในพื้นที่แยกที่สี่
QUEST_LV_0200_20150428_006997	Defeated the Harugals. Talk to Kupole Arune again.	ปราบ Harugalsสำเร็จ จงพูดคุยกับ Kupole Arune อีกครั้ง
QUEST_LV_0200_20150428_006998	Defeat Harugals in the 4th Isolation Area	ปราบHarugalsในพื้นที่แยกที่สี่
QUEST_LV_0200_20150428_006999	You're prepared to defeat the Demon Lord Nuaele. Talk to Kupole Arune.	คุณเตรียมการเพื่อปราบลอร์ดปีศาจNuaeleแล้ว พูดคุยกับKupole Arune
QUEST_LV_0200_20150428_007000	Defeat Demon Lord Nuaele	ปราบลอร์ดปีศาจNuaele
QUEST_LV_0200_20150428_007001	Nuaele is gone from Demon Prison and to stabilize it Kupole Arune asked you to defeat the remaining demons in 1st Isolation Area.	Nuaeleได้หายไปจากคุกปีศาจแล้วและเพื่อรักษาเสถียรภาพของมัน Kupole Aruneได้ขอให้คุณทำการปราบปีศาจที่เหลืออยู่ในพื้นที่แยกที่หนึ่ง
QUEST_LV_0200_20150428_007002	There are demon monsters left in 4th Isolation Area that are still following Nuaele's orders because of her fragments. Kupole Arune asked you to defeat those monsters and retrieve the fragments.	มีฝูงปีศาจที่เหลืออยู่ในพื้นที่แยกที่สี่ที่ยังคงทำตามคำสั่งของNuaeleเพราะชิ้นส่วนของเธอ  Kupole Aruneขอให้คุณช่วยทำการปราบมอนสเตอร์เหล่านั้นและนำชิ้นส่วนเหล่านั้นกลับคืนมา
QUEST_LV_0200_20150511_007003	Kateen Forest Entrance is relatively safe but don't think of going in any further.	ทางเข้าป่าKateenค่อนข้างปลอดภัย แต่ไม่คิดที่จะเข้าไปไกลกว่านี้อีก
QUEST_LV_0200_20150511_007004	The baron is trying his best to purify this farm. {nl}The workers sometimes say weird stuff but don't mind them.	บารอนกำลังพยายามอย่างที่สุดเพื่อชำระล้างฟาร์มของเขา{nl}ในบางครั้งเหล่าคนงานพูดอะไรแปลกๆแต่ไม่ต้องสนใจพวกเขาหรอก
QUEST_LV_0200_20150511_007005	"It would be best if I went myself, but I'm in no position to leave my place now. {nl}Please purify the sanctum using this Holy Water for now. {nl}"	มันจะดีที่สุดหากฉันไปเอง แต่ฉันไม่ได้อยู่ในฐานะที่จะสามารถออกจากสถานที่ของฉันได้ในตอนนี้{nl}โปรดชำระล้างสถานที่ศักดิ์สิทธิ์โดยการใช้น้ำศักดิ์สิทธิ์นี้ {nl}
QUEST_LV_0200_20150511_007006	I want to see my son healthy soon. {nl}It's a pain waiting for him to spit out the energy of the evil curse.	ฉันต้องการที่จะเห็นลูกชายที่มีสุขภาพดีของฉันเร็วๆนี้ {nl}มันคือความเจ็บปวดที่ต้องรอคอยให้เขาคายพลังงานแห่งคำสาปชั่วร้ายออกมา
QUEST_LV_0200_20150511_007007	It's all the same for farmers and soldiers. {nl}One side works and the other manages it.	ทุกอย่างจะเหมือนกันหมดสำหรับเกษตรกรและทหาร{nl}ส่วนหนึ่งทำงานและอีกส่วนจัดการดูแลมัน
QUEST_LV_0200_20150511_007008	"The power source needs nature's strength,{nl}and what would be the most suitable for that at the moment?{nl}The crops that fill the warehouse."	แหล่งพลังงานต้องการความแข็งแกร่งของธรรมชาติ{nl}และอะไรคือสิ่งที่เหมาะสมที่สุดสำหรับตอนนี้?{nl}พืชผลจำนวนมากที่อยู่ในคลังสินค้า
QUEST_LV_0200_20150511_007009	Even if what the baron really wants is purification. {nl}It doesn't mean we need to bear losing colleagues and expensive farm rent fees. {nl}	แม้หากสิ่งที่บารอนต้องการจริงๆคือการทำให้บริสุทธิ์{nl}มันไม่ได้หมายความว่าเราต้องแบกรับการสูญเสียเพื่อนร่วมงานและการจ่ายค่าเช่าฟาร์มที่แพง {nl}
QUEST_LV_0200_20150511_007010	"Lastly.. The monsters constantly preying on the food storage is a problem. {nl}There is a fellow guarding that place, but it's dangerous all the time."	สุดท้ายแล้ว.. ฝุงมอนสเตอร์ที่กำลังออกล่าอาหารที่คลังอาหารเป็นตัวปัญหา {nl}มีเพื่อนที่ดูแลสถานที่แห่งนั้นอยู่แต่มันอันตรายตลอดเวลา
QUEST_LV_0200_20150511_007011	The baron has a bad reputation for the things he has done. {nl}And the strange things that are happening nowadays... I'm sure something fishy is going on. {nl}	บารอนมีกิตติศัพท์ที่ไม่ดีสำหรับหลายๆสิ่งที่เขาได้ทำไป {nl}และสิ่งแปลกๆหลายสิ่งที่เกิดขึ้นในปัจจุบัน... ฉันมั่นใจว่ามีบางสิ่งที่น่าสงสัยกำลังจะเกิดขึ้น {nl}
QUEST_LV_0200_20150511_007012	"What about getting kindling from the Orange Dandels around here, and continuously lighting it?"	จะสามารถหาฟืนจากOrange Dandelsรอบๆที่นี่ใช่ไหม และจุดมันได้อย่างต่อเนื่องใช่ไหม?
QUEST_LV_0200_20150511_007013	It's not easy to get samples. {nl}I don't have enough time to research them either.	มันไม่ใช่เรื่องง่ายที่จะได้รับตัวอย่าง {nl}ฉันไม่มีเวลามากพอที่จะวิจัยพวกมันเช่นกัน
QUEST_LV_0200_20150511_007014	"Hmm, even if it's not the Church's order, shouldn't the Great Cathedral be restored first... {nl}Wouldn't we be able to find the answer to the curse more easily then?"	อืม แม้หากมันจะไม่ใช่คำสั่งของโบสถ์ ก็ไม่ควรที่จะฟื้นฟูมหาวิหารก่อน... {nl}เราจะไม่สามารถค้นหาคำตอบให้กับคำสาปได้ง่ายขึ้นใช่ไหม?
QUEST_LV_0200_20150511_007015	"Our mission initally was to manage and look over the prison. {nl}But now, we take Goddess Vakarine's orders to block the demons and close the gap."	ภารกิจของเราขั้นแรกคือจัดการและตรวจตราคุกอย่างละเอียด {nl}แต่ตอนนี้ พวกเราใช้คำสั่งเทพธิดา Vakarineในการป้องกันปีศาจเหล่านั้นและปิดช่องว่างลง
QUEST_LV_0200_20150511_007016	Hauberk just passed by this way. {nl}I'm sure he's trying to escape through the goddess' barrier that isn't fully restored.	Hauberk ได้ผ่านไปโดยวิธีนี้ {nl}ฉันมั่นใจว่าเขาพยายามที่จะหลบหนีผ่านเกราะป้องกันของเทพธิดาที่ยังซ่อมแซมไม่สมบูรณ์
QUEST_LV_0200_20150511_007017	Hauberk is also a sinner. {nl}You don't need to sympathize with him.	Hauberkเป็นคนบาป {nl}คุณไม่ต้องเห็นอกเห็นใจเขา
QUEST_LV_0200_20150511_007018	Just as I thought. The Monster Suppressor was the problem. {nl}It was to stop the monsters from multiplying but it almost messed up the crops too.	การปราบปรามมอนสเตอร์เป็นปัญหา{nl}มันจะหยุดมอนสเตอร์จากการเพิ่มมากขึ้นแต่มันจะทำให้สูญเสียพืชผลไปเช่นกัน
QUEST_LV_0200_20150511_007019	The bees are a problem but the monsters that came in from the other forests are a bigger problem. {nl}I'm sure they are here for the honey. {nl}	ผึ้งเป็นปัญหาแต่มอนสเตอร์ที่มาจากป่าอื่นๆเป็นปัญหาที่ใหญ่กว่า {nl}ฉันมั่นใจว่าพวกมันอยู่ที่นี่เพื่อน้ำผึ้ง {nl}
QUEST_LV_0200_20150511_007020	"Are you the one Joseph went to find? {nl}Well, it doesn't matter even if you're not. {nl}If you don't help us, then you're no different from the other Revelators who ran away. {nl}"	คุณเป็นคนหนึ่งที่Josephไปหาหรือ? {nl}มันไม่เป็นไรหรอกหากคุณไม่ใช่คนนั้น {nl}หากคุณไม่ช่วยเหลือพวกเรา เมื่อนั้นคุณก็ไม่ต่างจากRevelator คนอื่นๆที่เดินจากไป {nl}
QUEST_LV_0200_20150511_007021	There must be fine documents still left in the deeper area of the Great Cathedral... {nl}I feel bad about not being able to see it.	ต้องมีเอกสารที่ยังสภาพดีหลงเหลืออยู่ในบริเวณส่วนลึกของมหาวิหาร... {nl}ฉันรู้สึกแย่ที่ไม่สามารถเห็นมันได้
QUEST_LV_0200_20150511_007022	I'm making medicine to cure the cursed pilgrim. {nl}I'm almost done but it's really difficult to get thistles.{nl}	ฉันกำลังทำยาเพื่อรักษาผู้แสวงบุญที่โดนสาป {nl}ฉันทำใกล้เสร็จแล้วแต่มันค่อนข้างยากที่จะได้รับหนามเหล่านั้น{nl}
QUEST_LV_0200_20150511_007023	"Whether you have business here or not, you better leave this place if you don't have permission."	ไม่ว่าคุณจะมีธุระที่นี่หรือไม่ก็ตาม จะดีกว่าหากคุณออกจากสถานที่แห่งนี้ถ้าคุณไม่ได้รับอนุญาต
QUEST_LV_0200_20150511_007024	You might as well leave if you're going to talk about 'corruption'. {nl}If not... there is another way for you to get permission from me.	คุณด้วยเช่นกันที่ต้องออกไปหากคุณมาเพื่อพูดเกี่ยวกับการทุจริต {nl}หากไม่แล้ว... มีวิธีอื่นสำหรับคุณในการได้รับอนุญาติจากฉัน
QUEST_LV_0200_20150511_007025	"If you want something, you're going to have to give something. {nl}Did you think I'd let you enter for free?"	หากคุณต้องการบางสิ่งบางอย่าง.. คุณต้องให้บางสิ่งบางอย่างเสียก่อน {nl}คุณคิดว่าฉันจะให้คุณผ่านไปได้ฟรีๆรึ?
QUEST_LV_0200_20150511_007026	"It will be better for you to explain it rather than me. {nl}After all, you were the reason Shaton threw away his obsession."	มันจะดีกว่าหากคุณเป็นคนอธิบายมัน {nl}อย่างไรก็ตามคุณเป็นเหตุผลที่ทำให้Shatonละทิ้งสิ่งที่ครอบงำจิตใจเขาไปได้
QUEST_LV_0200_20150511_007027	"You were the one ransacking their nest, so it was on you. {nl}But I also have a reputation, so I will reward you for it."	มันคือเรื่องธรรมชาติที่คุณต้องรับผิดชอบที่อยู่ของคุณ {nl}แต่ฉันเป็นคนที่มีชื่อเสียงดังนั้นฉันจะให้รางวัลคุณ
QUEST_LV_0200_20150511_007028	Better return quickly	คงจะดีกว่าหากกลับไปอย่างรวดเร็ว
QUEST_LV_0200_20150511_007029	Better meet the priest	ไปพบนักบวช
QUEST_LV_0200_20150511_007030	The Revelators come First	Revelatorมาเป็นอันดับแรก
QUEST_LV_0200_20150511_007031	Better stand back as it's dangerous	มันเป็นอันตรายดังนั้นมันจะดีกว่าหากกลับไป
QUEST_LV_0200_20150511_007032	Better give up as it's dangerous	ดีกว่าหากจะยกเลิกขณะที่มันเป็นอันตราย
