QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20151102_010737	"Good. Now, I want you to kill some monsters while under the magic I will put on you.{nl}The magic will determine whether the spell you use is compatible with fire."	ตอนนี้คุณจะต้องจัดการมอนสเตอร์ในขณะที่อยู่ภายใต้เวทมนตร์ที่ฉันร่ายใส่คุณ{nl}เวทมนตร์นี้จะช่วยตัดสินว่าคาถาที่คุณใช้นั้นเหมาะกับไฟหรือไม่
QUEST_LV_0100_20151102_010738	Your combat data will determine whether the spell you use is compatible with fire.	ข้อมูลการต่อสู้ของคุณจะเป็นตัวตัดสินว่าคาถาที่คุณใช้นั้นเข้ากันได้กับไฟหรือไม่
QUEST_LV_0100_20151102_010739	"Oh my, you do have a knack. I am a bit surprised?{nl}Well, a promise is a promise. I will teach ya.{nl}Whether you can follow it through or not is entirely up to ya. Got that?"	ฉันรู้สึกประหลาดใจเล็กน้อยกับความสามารถพิเศษที่คุณมี {nl} ดีมาก สัญญาต้องเป็นสัญญา ฉันจะสอนให้คุณเอง {nl} ไม่ว่าคุณจะทำตามได้บ้างไม่ได้บ้างก็ตาม เข้าใจไหม
QUEST_LV_0100_20151102_010740	Do you wish to become a Cryomancer?{nl}	คุณต้องการจะเป็น Cryomancer อย่างนั้นหรือ{nl}
QUEST_LV_0100_20151102_010741	That's very nice to hear.{nl}More people becoming Cryomancers is always desirable in my book.{nl}	ฉันรู้สึกดีที่ได้ยินอย่างนั้น {nl} ฉันยินดีที่จะเห็น Cryomancer มีมากขึ้น {nl}
QUEST_LV_0100_20151102_010742	"However, accepting all participants will only prove itself detremental to all of us.{nl}It is for the best if we conduct a simple test to determine your aptitude {nl}in becoming a Cryomancer."	แต่มันก็ไม่ได้หมายความว่าทุกคนจะทำมันได้ {nl}ดังนั้นเราจึงมีบททดสอบง่ายๆในการพิจารณาความสามารถของคุณ{nl}ในการที่จะเป็น Cryomancer
QUEST_LV_0100_20151102_010743	Here is a Unmelting Magical Piece of Ice.{nl}This piece of ice is injected with a spell that will sustain its frozen state.{nl}Defeat the monsters and use their energies to keep the piece cold.	นี่คือชิ้นส่วนน้ำแข็งวิเศษที่ไม่มีวันละลาย {nl} ก้อนน้ำแข็งนี้ถูกร่ายคาถาลงไปเพื่อคงสภาพแช่แข็งไว้ {nl} เอาชนะมอนสเตอร์และใช้พลังของมันเพื่อรักษาความเย็นไว้
QUEST_LV_0100_20151102_010744	Defeat the monsters and use their energies to keep the piece cold.	เอาชนะมอนสเตอร์และใช้พลังของมันเพื่อรักษาความเย็นไว้
QUEST_LV_0100_20151102_010745	"The spell is strong in this piece of ice.{nl}Impressive. You do have what it takes to handle the magic of coldness.{nl}Now, watch me carefully."	ชิ้นส่วนน้ำแข็งนี้เต็มไปด้วยเวทมนตร์ที่อยู่ภายใน{nl}น่าประทับใจมากคุณสามารถที่จะรับมือกับเวทมนตร์ที่หนาวเย็นได้{nl}ถ้านั้นตอนนี้ก็จงตั้งใจดูฉันซะนะ
QUEST_LV_0100_20151102_010746	"Do you want to learn new skills of the Archer?{nl}That's fine, but let's have some fun first. I'll give you a simple test."	คุณต้องการเรียนรู้สกิลใหม่ของ Archer ใช่ไหม{nl}ดีมากแต่ฉันมีอะไรสนุกๆให้ทำก่อนฉันจะมีทดสอบง่ายให้คุณ
QUEST_LV_0100_20151102_010747	An archer must be able to strike one's enemy precisely from a distance.{nl}Your test consists of keeping distance between you and the monster while attacking your target.	นักธนูจะต้องสามารถโจมตีศัตรูได้อย่างแม่นยำในระยะไกลๆ {nl} การทดสอบของคุณประกอบไปด้วยการรักษาระยะห่างระหว่างคุณและมอนสเตอร์ในระหว่างการโจมตีเป้าหมายของคุณ
QUEST_LV_0100_20151102_010748	"Hmm, your spirit is high.{nl}Attacks that are too close to the target or a monster's dodge do not count."	อืมม.. คุณมีความตั้งใจเป็นอย่างมาก {nl} การโจมตีในระยะที่ใกล้เกินไปหรือถ้ามอนสเตอร์สามารถหลบหลีกได้นั้นจะไม่ถูกนับเป็นคะแนน
QUEST_LV_0100_20151102_010749	"The attacks that are either shot from a too close distance or when a monster dodges your attacks,{nl}it doesn't count."	การโจมตีไม่ว่าจะจากระยะใกล้หรือเมื่อมอนสเตอร์หลบการโจมตีของคุณได้ {nl} จะไม่นับเป็นคะแนน
QUEST_LV_0100_20151102_010750	Impressive.{nl}	ช่างน่าประทับใจ {nl}
QUEST_LV_0100_20151102_010751	Keep your eyes wide open! As I am about to show you new skills of the Archer!	คุณจงตั้งใจฉันจะแสดงให้คุณดูเกี่ยวกับสกิลใหม่ของ Archer!
QUEST_LV_0100_20151102_010752	So you want to be a Ranger?{nl}A horde of enemies is no threat to a Ranger.{nl}A Ranger can use its specifically designed skills to take out multiple enemies.{nl}	คุณต้องการเป็น Ranger อย่างนั้นหรือ{nl} Ranger มีสกิลในการจัดการกับศัตรูจำนวนมาก{nl}ดังนั้นคุณจะสามารถเผชิญหน้ากับศัตรูจำนวนมากได้{nl}
QUEST_LV_0100_20151102_010753	"If someone runs away from just a couple of enemies, that person doesn't have what it takes.{nl}And that means that person is not cut out to become a Ranger."	ถ้าคุณกลัวการเผชิญหน้ากับศัตรูที่มาพร้อมๆกันหลายตัว{nl}คุณก็ไม่ควรจะมาเป็น Ranger {nl}
QUEST_LV_0100_20151102_010754	"Good. Let's see what you got.{nl}Well, facing off multiple enemies at the moment would be asking too much. {nl}I have another similar test.{nl}"	ดีเลย ถ้านั้นมาลองดูว่าคุณจะต้องเจอกับอะไร{nl}การเผชิญหน้ากับศัตรูจำนวนมากในขณะเดียวกันคงจะมากเกินไป{nl}ฉันมีบททดสอบอื่นที่ใกล้เคียงกัน{nl}
QUEST_LV_0100_20151102_010755	"Take one out and take the next one out right away.{nl}It's technically not taking them out simultaneously, but being able to pull off quick {nl}and consecutive kills is a good first step to become a Ranger."	จัดการกับตัวแรกก่อนและค่อยจัดการกับตัวถัดไป {nl} มันเป็นวิธีที่ไม่ใช่การจัดการพร้อมกันทีเดียว แต่มันจะช่วยให้สามารถจัดการมอนสเตอร์ได้อย่างรวดเร็ว {nl} และจัดการได้อย่างต่อเนื่อง ซึ่งเป็นก้าวแรกที่ดีของการเป็น Ranger
QUEST_LV_0100_20151102_010756	"So, you can walk the talk, heh?{nl}Quite impressive, I must say.{nl}"	คุณสามารถทำมันได้นี่ {nl} รู้สึกประทับใจจริงๆ {nl}
QUEST_LV_0100_20151102_010757	Good. You have what it takes.{nl}I will teach you the path of the Ranger.{nl}	ฉันยอมรับในความสามารถของคุณ {nl} ฉันจะสอนคุณในการเป็น Ranger {nl}
QUEST_LV_0100_20151102_010758	"Did you come to me to become a Quarrel Shooter?{nl}I do not refuse the ones who are ambitious.{nl}Nevertheless, there is prerequisite you must have.{nl}"	คุณมาหาฉันเพราะคุณต้องการจะเป็น Quarrel Shooter ใช่ไหม {nl} ฉันไม่ปฏิเสธคนที่มีความพยายาม {nl} แต่ว่ามันมีเงือนไขบางอย่างที่คุณจะต้องมี {nl}
QUEST_LV_0100_20151102_010759	"Quarrel Shooters uses crossbows as their main weapon.{nl}First, you must get yourself an appropriate crossbow.{nl}We'll resume our little talk when you are equipped with a +5 crossbow."	Quarrel Shooter ใช้หน้าไม้เป็นอาวุธหลัก {nl} ก่อนอื่นคุณต้องมีหน้าไม้ที่เหมาะกับตัวคุณเองก่อน {nl} เราจะกลับมาคุยกันต่อ เมื่อคุณมาพร้อมกับ +5 crossbow
QUEST_LV_0100_20151102_010760	"If it is a +5 crossbow, it doesn't matter if it is a weapon you use or {nl}the one you have it on you just in case. {nl}After checking the weapon, I will give it back to you."	ถ้าเป็น +5 crossbow ไม่สนใจว่าจะเป็นอาวุธที่คุณใช้อยู่ {nl} หรือว่าจะเป็นอาวุธที่คุณมีก็ตาม {nl} หลังจากที่ฉันตรวจสอบอาวุธเสร็จแล้ว ฉันจะคืนมันให้กับคุณ
QUEST_LV_0100_20151102_010761	That's some high quality crossbow you got there.{nl}This will do it.{nl}	มันเป็นหน้าไม้ที่ดีมาก {nl} นี่ก็ใช้การได้แล้ว {nl}
QUEST_LV_0100_20151102_010762	"Now, I will train you to become a Quarrel Shooter."	ตอนนี้ฉันจะฝึกคุณให้กลายเป็น Quarrel Shooter
QUEST_LV_0100_20151102_010763	You want learn high-leveled magic of a Wizard?{nl}Magic is not something you can learn by yourself.{nl}Seeking advice from other people sometimes can help you faster.	คุณต้องการจะเรียนสกิลขั้นสูงของพ่อมดหรือ{nl}เวทมนตร์เป็นสิ่งที่คุณไม่สามารถเรียนได้ด้วยตัวเอง{nl}ไปสอบหาข้อแนะนำจากคนที่สามารถช่วยสอนคุณได้
QUEST_LV_0100_20151102_010764	"There are other Wizard Masters in Orsha.{nl}Seek advice from the Pyromancer, Cryomancer, Psychokino and Linker submasters."	"คุณจะต้องตามหาพ่อมดขั้นสูงต่างๆใน Orsha {nl} ไปหา Pyromancer, Cryomancer, Psychokino และ Linker submasters เพื่อสอบหาข้อแนะนำ"
QUEST_LV_0100_20151102_010765	"Seek advice from the Pyromancer, Cryomancer, Psychokino and Linker submasters."	"สอบหาข้อแนะนำจาก Pyromancer, Cryomancer, Psychokino และ Linker submasters"
QUEST_LV_0100_20151102_010766	"Did it help?{nl}Your eyes show signs of enlightenment.{nl}Now, use them to learn the way of what I am about to show you."	มันช่วยคุณได้ไหม{nl}ดูหมือนว่าคุณจะสังเกตได้ถึงอะไรบางอย่าง{nl}ถ้านั้นตอนนี้ดูเวทมนตร์ที่ฉันจะแสดงให้คุณดู
QUEST_LV_0100_20151102_010767	"To strengthen your Pyromancy, you must strengthen your fire energy.{nl}It's a piece of cake for me but for you, you might need some help.{nl}Do you think you can handle it?"	ถ้าคุณต้องการให้เวทมนตร์ของคุณแข็งแกร่งขึ้น คุณจำเป็นจะต้องทำให้ไฟของคุณมีพลังเพิ่มขึ้น {nl} ถ้าเป็นฉัน มันคงทำได้ง่าย แต่ถ้าเป็นคุณ คุณคงต้องจำเป็นได้รับการช่วยเหลือเล็กน้อย {nl}
QUEST_LV_0100_20151102_010768	"Alright. Here, take this Condensed Firestone.{nl}Set this firestone up somewhere and defeat nearby monsters,{nl}and your spell's fire energy will be increased."	นี่ รับ Condensed Firestone นี้ไว้ซะ {nl} ถ้าคุณวางหินไฟนี้ไว้ที่ไหนซักแห่งและจัดการมอนสเตอร์บริเวณนั้น {nl} คาถาไฟของคุณนั้นจะมีพลังเพิ่มขึ้น
QUEST_LV_0100_20151102_010769	Set up a Condensed Firestone and defeat the nearby monsters to enhance the fire energy of your spell.	วาง Condensed Firestone และจัดการมอนสเตอร์รอบๆนั้น เพื่อเพิ่มพลังสำหรับคาถาไฟของคุณ
QUEST_LV_0100_20151102_010770	"Good work.{nl}Now, you can learn new magic.{nl}I will show them to you. Watch me."	ทำได้ดีมาก {nl} ตอนนี้คุณสามารถเรียนรู้เวทมนตร์ใหม่ได้ {nl} ฉันจะแสดงให้คุณดู
QUEST_LV_0100_20151102_010771	"Is it new magic that you seek?{nl}There is stronger magic in the realm of Cryomancy.{nl}But, you will need to be more experienced in handling the cold energy."	คุณต้องการจะเรียนรู้เวทมนตร์ใหม่ใช่ไหม{nl}ยังมีพลังวิเศษอื่นๆสำหรับเหล่าCryomancy {nl}แต่คุณจำเป็นจะต้องมีสกิลในการจัดการกับพลังความเย็นด้วย
QUEST_LV_0100_20151102_010772	"I can sense your eagerness to learn more. Terrific!{nl}You still lack experience, so I will lend you this Frost Tome.{nl}Use this Frost Tome to weaken monsters and take them out afterwards.{nl}"	ฉันรู้สึกได้ถึงความกระตือรือร้นที่อยากจะเรียนรู้เป็นอย่างมากของคุณ มันเยี่ยมมาก {nl} แต่คุณยังขาดประสบการณ์ ดังนั้นฉันจะให้คุณยืม Frost Tome {nl} ใช้ Frost Tome เพื่อทำให้มอนสเตอร์อ่อนแอลงแล้วค่อยจัดการมัน {nl}
QUEST_LV_0100_20151102_010773	"The tome will aid you in handling the cold energy better.{nl}Hey, make sure that you engage in combat after activating the tome."	หนังสือเล่มนี้จะช่วยคุณในการรับมือกับพลังความเย็นให้ดีขึ้น {nl} เฮ้ คุณต้องมั่นใจก่อนนะว่าจะต่อสู้หลังจากหนังสือเล่มนี้ถูกใช้งาน
QUEST_LV_0100_20151102_010774	Use the Frost Tome by engaging in combat.	ใช้งาน Frost Tome ในการต่อสู้
QUEST_LV_0100_20151102_010775	How was it?{nl}Have you gotten better in handling the cold energy?{nl}	เป็นอย่างไรบ้าง {nl} คุณเริ่มรับมือกับพลังความเย็นได้ดีขึ้นใช่ไหม {nl}
QUEST_LV_0100_20151102_010776	"Great to hear! Finally, you are ready to learn new skills of the Cryomancer.{nl}Do not forget your past experiences. Always keep this in mind."	ดีใจที่ได้ยินเช่นนั้นในที่สุดคุณก็พร้อมที่จะเรียนรู้สกิลใหม่ของ Cryomancer {nl}อย่าลืมสิ่งที่ฉันสอนไปล่ะจงจำให้ขึ้นใจ
QUEST_LV_0100_20151102_010777	"Hm, your desire lies in becoming a Psychokino?{nl}You know, a Psychokino does some quite amazing feats.{nl}"	อืม คุณมีความต้องการที่จะเป็น Psychokino ใช่ไหม {nl} คุณก็รู้ Psychokino มีความสามารถที่น่าประทับใจ {nl}
QUEST_LV_0100_20151102_010778	"It is, however, something that cannot be learnt that quickly.{nl}To control the with invisible force is not an easy act.{nl}Now that I have warned you... Do you still wish to proceed?"	มันไม่ใช่สิ่งที่เรียนกันได้ง่ายๆ {nl} ในการที่จะควบคุมพลังที่ไม่สามารถมองเห็นได้นั้นไม่ใช่ทำกันได้ง่ายๆ {nl} ตอนนี้ฉันพยายามเตือนคุณ...คุณยังอยากที่จะเรียนรู้อยู่ไหม
QUEST_LV_0100_20151102_010779	"Good, but you have not seen anything of this magic yet...{nl}Perhaps, a scroll with the spell of a Psychokino will allow you to wield such power.{nl}With this, it will teach you what it feels like when using skills of a Psychokino."	ดีมากแต่คุณต้องยังไม่เคยได้เห็นเวทมนตร์นี้แน่ๆ{nl}บางทีคัมภีร์ที่มีคาถาของ Psychokino จะช่วยให้คุณใช้พลังนี้ได้{nl}ด้วยสิ่งนี้มันจะช่วยสอนคุณว่าเมื่อคุณใช้สกิลของ Phychokino แล้วจะรู้สึกเป็นเช่นไร
QUEST_LV_0100_20151102_010780	"Use the Telekinesis Scroll to experience first hand what it feels like.{nl}With this, learning the magic of the Psychokino will become easier for you."	ใช้งาน Telekinesis Scroll เพื่อที่จะรู้สึกถึงพลังที่ไม่สามารถมองเห็นได้ {nl} ด้วยสิ่งนี้ จะช่วยให้คุณเรียนรู้เวทมนตร์ของ Psychokino ได้ง่ายขึ้น
QUEST_LV_0100_20151102_010781	"So, did you manage to get a little bit of taste of the power?"	เป็นอย่างไรบ้าง คุณสามารถรับรู้ถึงพลังได้บ้างใช่ไหม
QUEST_LV_0100_20151102_010782	"If you did, follow my lead."	เยี่ยมมาก คุณสามารถทำตามที่ฉันสอนได้
QUEST_LV_0100_20151102_010783	Are you thinking of becoming a Linker?{nl}Linkers are not made but born.{nl}One must know the linkage point between the mind and thoughts of other beings.{nl}	คุณคิดว่าคุณอยากจะเป็นLinkerอย่างนั้นหรือ{nl} Linkersนั้นไม่สามารถสร้างกันได้ คุณจะต้องเป็นมาตั้งแต่กำเนิด{nl}เพราะพวกเราจำเป็นต้องรู้ถึงจุดเชื่อมต่อระหว่างจิดใจและความคิดของสิ่งอื่นๆ{nl}
QUEST_LV_0100_20151102_010784	"If you really want to become a Linker, allow me to test your 'Linker aptitude'."	ถ้าคุณต้องการจะเป็น Linker จริงๆ ฉันจะขอทดสอบความสามารถในการเชื่อมต่อของคุณ
QUEST_LV_0100_20151102_010785	"To utilize the Linker's magic, one must be able to find the linkage point among other beings.{nl}If you are unable to do so, then I'm afraid you are not fit to learn the path of the Linker.{nl}"	ในการใช้งานเวทมนตร์ของ Linker นั้น คุณจะต้องสามารถหาจุดเชื่อมต่อระหว่างสิ่งต่างๆ {nl} ถ้าคุณไม่สามารถทำได้ ฉันเกรงว่าคุณจะเหมาะสมกับการที่จะเป็น Linker {nl)
QUEST_LV_0100_20151102_010786	I will confirm if you can sense the linkage point while battling monsters.{nl}You may instictively become aware of it or you may never. {nl}I will look at your progress very closely.	ฉันจะมั่นใจก็ต่อเมื่อคุณสามารถรู้สึกได้ถึงจุดเชื่อมต่อในระหว่างที่ต่อสู้กับมอนสเตอร์ {nl} คุณจะรับรู้ได้โดยสัญชาตญาณหรือคุณอาจจะไม่รับรู้อะไรเลย {nl} ฉันจะดูความก้าวหน้าของคุณอย่างใกล้ชิด
QUEST_LV_0100_20151102_010787	"While in combat, make sure to concentrate to be able to see the linkage point.{nl}I do hope that you have the talent in you."	ในระหว่างการต่อสู้ ขอให้มั่นใจว่าคุณกำลังตั้งใจที่จะมองหาจุดเชื่อมต่อ {nl} ฉันหวังว่าคุณจะมีพรสวรรค์นั้นในตัวคุณ
QUEST_LV_0100_20151102_010788	"Wow, that was great!{nl}I see that you do have what it takes to be a Linker.{nl}"	ว้าว มันเยี่ยมมาก {nl} ฉันเห็นว่าคุณทำมันได้ ซึ่งนั้นทำให้คุณเหมาะสมกับการที่จะเป็น Linker
QUEST_LV_0100_20151102_010789	The rest is quite easy.{nl}I will share the magic of the Linker with you.	ส่วนที่เหลือนั้นง่ายมาก {nl} ฉันจะสอนเวทมนตร์ของ Linker ให้กับคุณ
QUEST_LV_0100_20151102_010790	"You are seeking the advanced skills of the Archer? You've come to the right person.{nl}Well then, let's see how familiar you are with our path, the path of the Archer.{nl}"	คุณต้องการที่จะเรียนรู้สกิลขั้นสูงของ Archer อย่างนั้นหรือ{nl}คุณมาหาถูกคนแล้ว{nl}ถ้านั้นเอาอย่างนี้ขอฉันดูความสามารถพื้นฐานของคุณหน่อยในการที่จะเป็น Archer {nl}
QUEST_LV_0100_20151102_010791	"Archers are always confident in battle against any enemy. {nl}However, we always seek for greater challenges to bring out the greater strength in us.{nl}One challenge is the flying-type enemy who wears cloth.{nl}I want you to defeat me some flying-type monsters with the Cloth armor-type."	Archer เป็นคนที่ความมั่นใจในการต่อสู้กับศัตรูต่างๆเสมอ{nl}อย่างไรก็ตามพวกเราพยายามค้นหาความท้าทายยากๆอยู่ตลอดเพื่อที่จะนำมาสู่ความแข็งแกร่งของพวกเรา{nl}ความท้าทายที่ว่านั้นคือการจัดการศัตรูประเภทที่บินได้ที่สวมใส่ผ้าคลุม{nl}ฉันต้องการให้คุณเอาชนะพวกมอนสเตอร์เหล่านั้นที่ใส่ผ้าคลุมประเภทป้องกันไว้
QUEST_LV_0100_20151102_010792	Only the ones that are a flying-type with the Cloth armor-type.	จัดการเฉพาะมอนสเตอร์ประเภทบินที่ใส่ผ้าคลุมป้องกันไว้
QUEST_LV_0100_20151102_010793	"How do you feel? I noticed it took you shorter than before, right?{nl}"	คุณรู้สึกอย่างไรบ้าง ฉันสังเกตว่าคุณจัดการมันได้ง่ายขึ้นกว่าเดิมใช่ไหม {nl}
QUEST_LV_0100_20151102_010794	The basics have been covered. Let's move onto the skills.{nl}Open your eyes wide and witness all the details of the Archer's advanced and complicated skills.	การทดสอบความสามารถพื้นฐานได้ผ่านไปแลวถ้านั้นเรามาเริ่มเรียนรู้สกิลกันเลย{nl}จงตั้งใจและเก็บรายละเอียดของสกิลขั้นสูงที่ซับซ้อนของArcherเหล่านี้ให้หมด
QUEST_LV_0100_20151102_010795	"Hey, there. Do you wish to learn new Ranger skills?{nl}If so, why don't you help with our efforts in restoring Orsha?{nl}"	เฮ้ว่าอย่างไรคุณต้องการจะเรียนรู้สกิลใหม่ของ Ranger อย่างนั้นหรือถ้าอย่างนั้นทำไมไม่ไปช่วยพวกเขาในการฟื้นฟู Orsha ล่ะ{nl}
QUEST_LV_0100_20151102_010796	I am participating in those efforts myself as well.{nl}A Ranger is there to help those who are in danger.	ฉันก็กำลังจะไปช่วยพวกเขาด้วยเช่นกัน {nl} Ranger มีหน้าที่ช่วยเหลือผู้คนที่กำลังตกอยู่ในอันตราย
QUEST_LV_0100_20151102_010797	You keep impressing me.{nl}	คุณทำให้ฉันรู้สึกประทับใจ {nl}
QUEST_LV_0100_20151102_010798	"First up, you might want to acquire some stone for restoring the collapsed wall.{nl}I believe you can find it somewhere in Braken Forest 63_1."	ก่อนอื่น คุณจำเป็นจะต้องไปเก็บหินสำหรับการซ่อมแซมกำแพงที่พังทลายนี้ซะก่อน {nl} ฉันเชื่อว่าคุณสามารถหามันได้ที่ใดซักแห่งใน Braken Forest 63_1
QUEST_LV_0100_20151102_010799	The stone is required for restoring the collapsed wall.{nl}I believe Braken Forest 63_1 is the place where you can find one.	หินนี้มีความจำเป็นในการซ่อมแซมกำแพงที่พังทลาย {nl} ฉันเชื่อว่าคุณจะหามันเจอที่ Braken Forest 63_1
QUEST_LV_0100_20151102_010800	Perfect. This will do.{nl}You've been a lot of help.	เยี่ยมมาก คุณทำได้ {nl} คุณช่วยพวกเราได้มาก
QUEST_LV_0100_20151102_010801	"Even though I'm quite busy, a promise is a promise.{nl}Let me demonstrate you the new Ranger skills.{nl}Watch me."	ถึงแม้ว่าฉันจะค่อนข้างยุ่งแต่สัญญาก็คือสัญญา{nl}ฉันจะสาธิตคุณสำหรับสกิลใหม่ของ Ranger {nl}ตั้งใจดูนะ
QUEST_LV_0100_20151102_010802	You want to learn new skills?{nl}You might want to take good care of your crossbow since{nl}it needs to be in good shape in order to handle the new skills.	คุณต้องการเรียนรู้สกิลใหม่อย่างนั้นหรือ{nl}คุณจำเป็นจะต้องเตรียมหน้าไม้ของคุณให้ดี{nl}มันจำเป็นจะต้องอยู่ในสภาพที่ดีเพื่อที่จะรับมือกับสกิลใหม่นี้
QUEST_LV_0100_20151102_010803	"To maintain your crossbow effectively, there is nothing more wonderful than Overgrown Fluid.{nl}You can acquire it from the plant monsters that have been overgrowing after Medzio Diena."	ในการที่จะคงสภาพหน้าไม้ของคุณให้มีประสิทธิภาพ ไม่มีอะไรดีไปกว่า Overgrown Fluid {nl} คุณสามารถได้มันมาจากมอนสเตอร์ประเภทพืชที่เติบโตอย่างรวดเร็วหลังจากเหตุการณ์ Medzio Diena
QUEST_LV_0100_20151102_010804	"The stronger a plant monster is, the more likely the chance is you can get a Overgrown Fluid."	ยิ่งมอนสเตอร์ที่แข็งแรง คุณก็มีโอกาสมากขึ้นที่จะได้รับ Overgrown Fluid
QUEST_LV_0100_20151102_010805	Weapon maintenance is not just an one-off deal. You need to keep doing it from now on.	การดูแลรักษาอาวุธนั้นไม่ใช่สามารถทำได้ครั้งเดียวและจบไป คุณจำเป็นจะต้องทำอย่างนี้อยู่เรื่อยๆ
QUEST_LV_0100_20151102_010806	You look ready for your lesson in learning the new Quarrel Shooter skills.	คุณดูมีความพร้อมที่จะเรียนรู้สกิลใหม่ของ Quarrel Shooter
QUEST_LV_0100_20151102_010807	"Did you come here to become a Sapper?{nl}If you do, there is a task awaiting for you.{nl}Help me and I will help you in becoming a Sapper. Deal?"	คุณมาที่นี่เพื่อที่จะเป็น Sapper ใช่หรือไม่ {nl} ถ้าคุณต้องการอย่างนั้น มีภารกิจบางอย่างรอคุณอยู่ {nl} ถ้าคุณช่วยฉัน ฉันก็จะช่วยคุณให้กลายเป็น Sapper ตกลงไหม
QUEST_LV_0100_20151102_010808	"Listen, I am currently conducting an experiment to {nl}strengthen the durability of a barricade that we Sappers use.{nl}Helping me on this experiment will actually help you in the long run.{nl}"	ฟังนะ ตอนนี้ฉันกำลังทำการทดลองที่จะสร้าง {nl} สิ่งกีดขวางที่มีความแข็งแกร่งมากขึ้น {nl} ถ้าคุณช่วยฉันทำการทดลองนี้มันจะช่วยคุณในระยะยาว
QUEST_LV_0100_20151102_010809	Can you please go to Braken Forest 63_1 and find if there is any material{nl}that can be used in strengtening barricades?	คุณช่วยไปที่ Braken Forest 63_1 และตามหาวัตถุดิบบางอย่าง {nl} ที่จะทำให้สิ่งกีดขวางแข็งแกร่งขึ้นได้ไหม
QUEST_LV_0100_20151102_010810	Hmm. This does look sturdy. It's certainly worth a try.{nl}I will carry out my end of the deal.	มันคุ้มค่าที่จะทำสิ่งนี้นะ{nl}ฉันสัญญาว่าฉันจะสอนสกิลของ Sapper ให้คุณตามที่ฉันเคยพูดไว้
QUEST_LV_0100_20151102_010811	Hunter? Is that what you want to become?{nl}I am pleased to hear that.{nl}	คุณอยากจะเป็นฮันเตอร์ใช่ไหม{nl}ฉันดีใจที่ได้ยินอย่างนั้น{nl}
QUEST_LV_0100_20151102_010812	"My heart welcomes all but I know for a fact that this might not be a good idea.{nl}So, let me test you on whether you have it to become a Hunter."	ฉันพร้อมที่จะต้อนรับคุณเข้ามาเป็น Hunter กับเราแต่ในความเป็นจริงมันจะเป็นอย่างนั้นซะทีเดียวก็คงไม่ได้{nl}ถ้าอย่างนั้นฉันขอทดสอบคุณว่าคุณพร้อมที่จะเป็น Hunter จริงๆแล้วหรือไม่
QUEST_LV_0100_20151102_010813	A true Hunter laughs at the 'face' of danger and enjoys the thrill it entails.{nl}Prove to me that you have such guts. Enter a dungeon and hunt some monsters.{nl}Prove me that you can remain calm in a dangerous situation.	Hunter ที่แท้จริงจะไม่กลัวอันตรายใดๆทั้งสิ้นพวกเราชอบความท้าทาย{nl}ถ้าอย่างนั้นพิสูจน์ให้ฉันเห็นว่าคุณมีความกล้าหาญเพียงพอเข้าไปยังดันเจี้ยนและล่ามอนสเตอร์{nl}พิสูจน์ให้ฉันเห็นว่าคุณสามารถรับมือกับสถานการณ์ที่เสี่ยงอันตรายได้
QUEST_LV_0100_20151102_010814	"Enter a dungeon and hunt some monsters. Only then, I will acknowledge you."	เข้าไปยังดันเจี้ยนและล่ามอนสเตอร์ แล้วฉันจะยอมรับในตัวคุณ
QUEST_LV_0100_20151102_010815	Not bad. Not bad at all.{nl}You have guts and power to back it up.{nl}	ทำได้ไม่เลวนี่ {nl} คุณมีความกล้าหาญเป็นอย่างมาก {nl}
QUEST_LV_0100_20151102_010816	Observe carefully and follow them.	ฉันจะสอนสกิลของฮันเตอร์ให้คุณ
QUEST_LV_0100_20151102_010817	You wanna learn more advanced Pyromancer skills?{nl}Having more powerful Pyromancers on our side is certainly a good thing. {nl}But a test is in order.{nl}	คุณต้องการที่จะเรียนรู้สกิลขั้นสูงของ Pyromancer อย่างนั้นหรือ{nl}มันเป็นสิ่งที่ดีสำหรับฉันที่จะมี Pyromancer ที่แข็งแกร่งเพิ่มขึ้น{nl}แต่เราต้องมีบททดสอบกันก่อน{nl}
QUEST_LV_0100_20151102_010818	"If you pass this trial of fire, I will let you advance in pyromancy.{nl}Don't think this will be easy."	ถ้าคุณได้ผ่านบททดสอบนี้ ฉันจะยอมรับในความสามารถของคุณ และฉันจะสอนคุณเกี่ยวกับเวทมนตร์ขั้นสูงของ Pyrotechnic {nl} แต่มันไม่ใช่เรื่องง่ายๆนะ
QUEST_LV_0100_20151102_010819	"You might be wondering, what is the trial of fire? Quite simple, actually.{nl}You defeat a Fire property monster. Simple, right? Hahaha.{nl}A Fire property monster is in a way the most familar to us, but the most troublesome as well.{nl}I will root for you. Good luck."	คุณอาจจะงงว่า บททดสอบนั้นคืออะไร {nl} คุณจะต้องเอาชนะมอนสเตอร์ประเภทไฟ ง่ายใช่ไหมล่ะ ฮ่าฮ่า {nl} มอนสเตอร์ประเภทไฟนี้เป็นสิ่งที่คุ้นเคยกับพวกเรามาก และก็ชอบสร้างปัญหาให้กับเราด้วยเช่นกัน {nl} ฉันจะเอาใจช่วย ขอให้โชคดี
QUEST_LV_0100_20151102_010820	"To battle against a Fire property monster, defeat it by becoming stronger or using your wits."	เพื่อที่จะต่อสู้กับมอนสเตอร์ประเภทไฟ คุณจะต้องใช้พลังที่แข็งแกร่งขึ้นหรือไหวพริบของคุณ
